study_id,bibtex_key,authors,authors_year,title,doi,venue,crop_or_domain,observation_regime,modality,identity_mechanism,class_attribute_family,evaluation_context,unique_instance_gt,metrics_reported,dedup_handled,evidence_status,assumptions_required,violated_conditions,evidence_pages,key_finding,limitations,retrieval_source,fulltext_path,review_order
M-3f8f02033fe9db3a,ledger_m_3f8f02033fe9db3a,"Von Hirschhausen, Laura-Sophia (59539414800); Magnusson, Jannes S. (57221307049); Kovalenko, Mykyta (56585590300); Boye, Fredrik (25930736700); Rawat, Tanay (59939932200); Eisert, Peter (55892485300); Hilsmann, Anna (24830180600); Pretzsch, Sebastian (57515289100); Bosse, Sebstian (60127388700)","Von Hirschhausen, Laura-Sophia (59539414800); Magnusson, Jannes S. (57221307049); Kovalenko, Mykyta (56585590300); Boye, Fredrik (25930736700); Rawat, Tanay (59939932200); Eisert, Peter (55892485300); Hilsmann, Anna (24830180600); Pretzsch, Sebastian (57515289100); Bosse, Sebstian (60127388700) (2025)","AppleGrowthVision: A Large-Scale Stereo Dataset for Phenological Analysis, Fruit Detection, and 3D Reconstruction in Apple Orchards",10.1109/cvprw67362.2025.00541,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,apple,multi-camera-rig,calibrated_stereo_rgb_multiview,M4,none,"object_detection_F1_AP_AR_mAP, BBCH_accuracy, qualitative_3D_reconstruction",n,"object_detection_F1_AP_AR_mAP, BBCH_accuracy, qualitative_3D_reconstruction",no,direct,"A2,A4",,"1,2,3,4,5,6,7","The dataset supports fruit detection, phenological stage classification, and calibrated stereo reconstruction with quantitative detection metrics.","Per-instance fruit boxes and stereo views are explicit, but cross-view unique identity or deduplication is not evaluated, do not treat this paper as proof of duplicate-free inventory.",https://openaccess.thecvf.com/content/CVPR2025W/V4A/papers/von_Hirschhausen_AppleGrowthVision_A_large-scale_stereo_dataset_for_phenological_analysis_fruit_detection_CVPRW_2025_paper.pdf,literature/search/fulltext/00001_m-3f8f02033fe9db3a_applegrowthvision-a-large-scale-stereo-dataset-for-phenological-analysis-fruit-detection-a.pdf,1
R-0eda6374aaf85fae,ledger_r_0eda6374aaf85fae,"Fusaro, Daniel (57278335600); Magistri, Federico (57208212994); Behley, Jens (35207956200); Pretto, Alberto (23393749700); Stachniss, Cyrill (6507517732)","Fusaro, Daniel (57278335600); Magistri, Federico (57208212994); Behley, Jens (35207956200); Pretto, Alberto (23393749700); Stachniss, Cyrill (6507517732) (2026)",Horticultural temporal fruit monitoring via 3D instance segmentation and re-identification using colored point clouds,10.1016/j.compag.2026.111723,Computers and Electronics in Agriculture,agricultural fruit or transferable mechanism,video-continuous,colored_3d_point_cloud_lidar,M2/M3/M4,none,"PQ_SQ_RQ_IoU, F1p_F1n_mF1, five_fold_cross_validation, runtime",n,"PQ_SQ_RQ_IoU, F1p_F1n_mF1, five_fold_cross_validation, runtime",explicit,direct,"A5,A3,A2,A4",,"1,2,5,6,7,9,12,13,14","Learned fruit descriptors and attention-based matching improve temporal identity association over the compared baselines on the strawberry benchmark, while the instance segmentation module also performs across strawberry and apple datasets.","Re-identification is evaluated only on strawberries because temporally consistent instance annotations are unavailable for other fruits, and segmentation errors propagate into re-identification. The sensor is a high-resolution terrestrial LiDAR scanner.",https://arxiv.org/pdf/2411.07799,literature/search/fulltext/00002_r-0eda6374aaf85fae_horticultural-temporal-fruit-monitoring-via-3d-instance-segmentation-and-re-identification.pdf,2
R-143d70deec8d2b1d,ledger_r_143d70deec8d2b1d,Suchet Bargoti; James Underwood,Suchet Bargoti; James Underwood (2016),Image Segmentation for Fruit Detection and Yield Estimation in Apple Orchards,10.48550/arxiv.1610.08120,arXiv (Cornell University),apple,single-view,monocular_rgb_ugv,M0,none,"pixel_F1, detection_F1, count_r_squared, yield_r_squared, yield_error",n,"pixel_F1, detection_F1, count_r_squared, yield_r_squared, yield_error",no,direct,A1,,"1,2,3,4,12,16,17,18,19,24",CNN segmentation followed by Watershed detection produced the reported best detection F1 of 0.858 and row-yield r-squared of 0.826 on the apple orchard data.,"The study counts detected fruits within images and aggregates rows, but it does not evaluate persistent identity or duplicate rejection across repeated views of one tree.",https://arxiv.org/pdf/1610.08120,literature/search/fulltext/00004_r-143d70deec8d2b1d_image-segmentation-for-fruit-detection-and-yield-estimation-in-apple-orchards.pdf,4
R-408d13511cac4177,ledger_r_408d13511cac4177,"Stein, Madeleine (57191994380); Bargoti, Suchet (56811452600); Underwood, James (17347180400)","Stein, Madeleine (57191994380); Bargoti, Suchet (56811452600); Underwood, James (17347180400) (2016)","Image based mango fruit detection, localisation and yield estimation using multiple view geometry",10.3390/s16111915,Sensors (Switzerland),mango,video-continuous,rgb_gps_ins_lidar,M3/M4,none,"count_r_squared, slope, percentage_error, repeatability, triangulation_nearest_neighbour_distance",n,"count_r_squared, slope, percentage_error, repeatability, triangulation_nearest_neighbour_distance",implicit,direct,"A3,A2,A4",P5,"HTML abstract, sections 1, 2, 3.3, 3.4, 3.5, 4.1, 4.4, 5",Multi-view tracking with epipolar geometry and tree masks converts repeated mango observations into tree-linked counts with near-unity calibration slope and 1.36 percent over-count on the 16-tree validation set.,"The evaluation is on mango orchard traversal data and depends on navigation quality, timing, image coverage, and LiDAR masks. The authors report that transfer to other fruit varieties or pruning regimes requires further testing.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5134574/,literature/search/fulltext/00005_r-408d13511cac4177_image-based-mango-fruit-detection-localisation-and-yield-estimation-using-multiple-view-ge.html,5
M-9966d81433d61ed3,ledger_m_9966d81433d61ed3,"Liu, Xu (57207948935); Chen, Steven W. (57203657925); Aditya, Shreyas (57207815155); Sivakumar, Nivedha (57217365471); Dcunha, Sandeep (57207818779); Qu, Chao (56640669900); Taylor, Camillo J. (7404823052); Das, Jnaneshwar (25823030300); Kumar, Vijay (57226667523)","Liu, Xu (57207948935); Chen, Steven W. (57203657925); Aditya, Shreyas (57207815155); Sivakumar, Nivedha (57217365471); Dcunha, Sandeep (57207818779); Qu, Chao (56640669900); Taylor, Camillo J. (7404823052); Das, Jnaneshwar (25823030300); Kumar, Vijay (57226667523) (2018)","Robust Fruit Counting: Combining Deep Learning, Tracking, and Structure from Motion",10.1109/iros.2018.8594239,IEEE International Conference on Intelligent Robots and Systems,agricultural fruit or transferable mechanism,video-continuous,monocular_rgb_video_sfm,M3/M4,none,"count_ground_truth, L1_loss, error_mean, error_standard_deviation, before_after_correction",n,"count_ground_truth, L1_loss, error_mean, error_standard_deviation, before_after_correction",explicit,direct,"A3,A2,A4","P1,P2,P3","1,2,3,4,5,6,7,8",The 3D reconstruction correction reduces duplicate and outlier tracks and substantially improves count error on both orange and apple sequences.,"The method uses relative 3D localization from monocular sequences and heuristic size and depth thresholds. Performance depends on illumination, occlusion, camera stability, and track continuity.",https://arxiv.org/pdf/1804.00307,literature/search/fulltext/00008_m-9966d81433d61ed3_robust-fruit-counting-combining-deep-learning-tracking-and-structure-from-motion.pdf,8
R-97003608b250cdc5,ledger_r_97003608b250cdc5,Fazida Hanim Hashim; Zuhaira Mohd Zulkifli; Thinal Raj; Aqilah Baseri Huddin,Fazida Hanim Hashim; Zuhaira Mohd Zulkifli; Thinal Raj; Aqilah Baseri Huddin (2018),A Rapid and Non-Destructive Technique in Determining The Ripeness of Oil Palm Fresh Fruit Bunch (FFB),10.17576/jkukm-2018-30(1)-12,Jurnal Kejuruteraan,oil palm FFB,single-view,lidar_intensity_point_cloud_905nm,M0,maturity,"intensity_ranges, reflectance_bands, four_tree_field_scan, fruit_to_leaf_ratio",n,"intensity_ranges, reflectance_bands, four_tree_field_scan, fruit_to_leaf_ratio",no,direct,A1,,"1,4,5,6,8",LiDAR intensity point clouds provide a preliminary non-destructive way to separate three FFB ripeness levels and support field-level fruit-to-leaf observations.,The paper does not report a conventional held-out classification accuracy or cross-view identity metric. The experiment uses a small number of fruitlets per category and four field-scanned trees.,https://doi.org/10.17576/jkukm-2018-30(1)-12,literature/search/fulltext/00010_r-97003608b250cdc5_a-rapid-and-non-destructive-technique-in-determining-the-ripeness-of-oil-palm-fresh-fruit-.pdf,10
M-084cfd5badbb63d3,ledger_m_084cfd5badbb63d3,"Fawcett, Dominic (57196051015); Azlan, Benjamin (57208124426); Hill, Timothy C. (35219951700); Kho, Lip Khoon (55907538000); Bennie, Jon (24337227400); Anderson, Karen (55455157700)","Fawcett, Dominic (57196051015); Azlan, Benjamin (57208124426); Hill, Timothy C. (35219951700); Kho, Lip Khoon (55907538000); Bennie, Jon (24337227400); Anderson, Karen (55455157700) (2019)",Unmanned aerial vehicle (UAV) derived structure-from-motion photogrammetry point clouds for oil palm (Elaeis guineensis) canopy segmentation and height estimation,10.1080/01431161.2019.1591651,International Journal of Remote Sensing,oil palm FFB,aerial,UAV_RGB_SfM_point_cloud,M4,size,98.2% mapping accuracy for 776 palms; stem-height RMSE 0.27 m (R2=0.63) for seven-year palms and 0.45 m (R2=0.69) for ten-year palms; mean point-cloud precision 26.7 cm,y,98.2% mapping accuracy for 776 palms; stem-height RMSE 0.27 m (R2=0.63) for seven-year palms and 0.45 m (R2=0.69) for ten-year palms; mean point-cloud precision 26.7 cm,explicit,direct,"A2,A4",,"PDF pp. 7538-7560; abstract; sections 2.1-2.2.2, 2.4, 3.1, 5","UAV SfM canopy-height models can support per-palm inventories and structural measurements, providing a transfer mechanism for geometry-based object association while not proving fruit-level cross-view deduplication.",Tree-canopy study rather than fruit or FFB inventory; local-maxima errors increase with undergrowth and overlapping canopies; no explicit cross-view fruit identity metric or duplicate-rejection experiment.,https://www.tandfonline.com/doi/full/10.1080/01431161.2019.1591651,,12
R-00f82e0f404d691b,ledger_r_00f82e0f404d691b,"Liu, Xu (57207948935); Chen, Steven W. (57203657925); Liu, Chenhao (57208017184); Shivakumar, Shreyas S. (57197792098); Das, Jnaneshwar (25823030300); Taylor, Camillo J. (7404823052); Underwood, James (17347180400); Kumar, Vijay (57226667523)","Liu, Xu (57207948935); Chen, Steven W. (57203657925); Liu, Chenhao (57208017184); Shivakumar, Shreyas S. (57197792098); Das, Jnaneshwar (25823030300); Taylor, Camillo J. (7404823052); Underwood, James (17347180400); Kumar, Vijay (57226667523) (2019)",Monocular Camera Based Fruit Counting and Mapping with Semantic Data Association,10.1109/lra.2019.2901987,IEEE Robotics and Automation Letters,mango,video-continuous,monocular_RGB_video,M3/M4,maturity,"18 ground-truth trees; average 175 mangoes per tree; Mono Final mean error 27.8 and standard deviation 29.6 fruits; regression slope 0.86 and R2=0.78, compared with sensor-suite multi-view slope 0.97 and R2=0.88",y,"18 ground-truth trees; average 175 mangoes per tree; Mono Final mean error 27.8 and standard deviation 29.6 fruits; regression slope 0.86 and R2=0.78, compared with sensor-suite multi-view slope 0.97 and R2=0.88",explicit,direct,"A3,A2,A4",P1,"pp. 1, 3-8; sections IV-VI","A monocular RGB sequence can support duplicate-aware fruit inventory by combining tracking, semantic SfM, landmark re-association, and tree-centroid depth filtering across opposite views.",Undercounting increases with heavy occlusion and high fruit counts; evaluation uses 18 manually counted trees and manual target-tree masks; performance depends on sequence ordering and does not classify fruit maturity or other class attributes.,https://arxiv.org/pdf/1811.01417,literature/search/fulltext/00013_r-00f82e0f404d691b_monocular-camera-based-fruit-counting-and-mapping-with-semantic-data-association.pdf,13
R-1358c0868a62c84a,ledger_r_1358c0868a62c84a,"Häni, Nicolai (57201378591); Roy, Pravakar (57191913312); Isler, Volkan (23009022100)","Häni, Nicolai (57201378591); Roy, Pravakar (57191913312); Isler, Volkan (23009022100) (2020)",A comparative study of fruit detection and counting methods for yield mapping in apple orchards,10.1002/rob.21902,Journal of Field Robotics,apple,video-continuous,RGB_image_sequences_plus_semantic_mapping,M3/M4,maturity,Seven detection test datasets and three two-side yield datasets; merged CNN counting yield 95.56%-97.83% of harvested ground truth; GMM detection highest F1 on six of seven datasets; CNN cluster counting reported about 90.5% accuracy,n,Seven detection test datasets and three two-side yield datasets; merged CNN counting yield 95.56%-97.83% of harvested ground truth; GMM detection highest F1 on six of seven datasets; CNN cluster counting reported about 90.5% accuracy,implicit,direct,"A3,A2,A4","P1,P2","pp. 1-6, 11-16, 20-25; sections 3.3, 4, 5, 6.4, 7","This is a strong design-space benchmark showing that fruit inventory quality depends on the composition of per-frame detection, cluster counting, temporal tracking, and geometric merging of opposite row sides, rather than detector choice alone.","Evaluation is concentrated on apple orchard row datasets; occlusion, changing illumination, annotation noise, and side-specific reconstruction affect performance; the row-merging mechanism is geometric and does not provide general fruit re-identification across arbitrary scenes or class attributes beyond counting.",https://arxiv.org/pdf/1810.09499,literature/search/fulltext/00015_r-1358c0868a62c84a_a-comparative-study-of-fruit-detection-and-counting-methods-for-yield-mapping-in-apple-orc.pdf,15
R-2f7d604b1d3fa5e4,ledger_r_2f7d604b1d3fa5e4,"Alfatni, Meftah Salem M. (24070118900); Mohamed Shariff, Abdul Rashid (13612157400); Ben Saaed, Osama M. (55669119800); Albhbah, Atia Mahmod (36959633200); Mustapha, Aouache (35435550200)","Alfatni, Meftah Salem M. (24070118900); Mohamed Shariff, Abdul Rashid (13612157400); Ben Saaed, Osama M. (55669119800); Albhbah, Atia Mahmod (36959633200); Mustapha, Aouache (35435550200) (2020)",Colour Feature Extraction Techniques for Real Time System of Oil Palm Fresh Fruit Bunch Maturity Grading,10.1088/1755-1315/540/1/012092,IOP Conference Series: Earth and Environmental Science,oil palm FFB,single-view,controlled_RGB_CCD,M0,maturity,"Three ROI sizes and colour feature families evaluated with ANN, KNN, and SVM; best reported ANN histogram result 94% test accuracy and 1.6 s processing at ROI3 100x100; AUC values above 90%",n,"Three ROI sizes and colour feature families evaluated with ANN, KNN, and SVM; best reported ANN histogram result 94% test accuracy and 1.6 s processing at ROI3 100x100; AUC values above 90%",no,direct,A1,P2,"article pages 1-9; sections 2, 3.1, 3.2, 4; Tables 1-2","Provides direct oil-palm class-attribute evidence for maturity grading and shows how an instance-level FFB attribute can be attached after segmentation, but it does not address duplicate-free inventory across tree observations.","Controlled conveyor and illumination setting; single-bunch image grading rather than orchard or tree-level multi-view inventory; no persistent identity, cross-view association, or duplicate-rejection evaluation.",https://www.researchgate.net/publication/343451626_Colour_Feature_Extraction_Techniques_for_Real_Time_System_of_Oil_Palm_Fresh_Fruit_Bunch_Maturity_Grading,,16
