epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1165,1.22252,5.00285,0.60294,0.54811,0.24668,0.06531,0.02141,0.59964,1.57218,0.26385,0.000413279,0.000413279,0.000413279
2,153.782,0.75472,0.82642,0.28699,0.50613,0.33486,0.28177,0.07404,0.77072,0.75615,0.36644,0.000816252,0.000816252,0.000816252
3,223.987,0.76582,0.71706,0.28702,0.76512,0.24175,0.26082,0.08759,nan,nan,nan,0.00120547,0.00120547,0.00120547
4,294.307,0.76439,0.70832,0.29897,0.619,0.37909,0.31845,0.11191,0.72192,0.73589,0.33593,0.00118812,0.00118812,0.00118812
5,364.942,0.75563,0.72196,0.27709,0.78189,0.33424,0.39392,0.12957,0.73906,0.68008,0.35175,0.0011675,0.0011675,0.0011675
6,435.413,0.73767,0.67406,0.2856,0.85125,0.32067,0.41502,0.13441,0.75324,0.61777,0.3685,0.00114688,0.00114688,0.00114688
7,505.746,0.73127,0.67743,0.27639,0.39053,0.47105,0.40588,0.12964,0.73638,0.62689,0.34122,0.00112625,0.00112625,0.00112625
8,575.332,0.72429,0.67863,0.28178,0.06937,0.01456,0.01058,0.00396,nan,nan,nan,0.00110563,0.00110563,0.00110563
9,645.174,0.74993,0.67077,0.29228,0.42006,0.43933,0.33366,0.11037,0.78426,0.66638,0.37687,0.001085,0.001085,0.001085
10,714.832,0.71763,0.69145,0.27036,0.48473,0.43837,0.36389,0.12672,0.75069,0.64026,0.35982,0.00106437,0.00106437,0.00106437
11,785.049,0.71577,0.67963,0.27443,0.36566,0.49089,0.40877,0.14546,0.69795,0.67918,0.32246,0.00104375,0.00104375,0.00104375
12,855.21,0.71584,0.65298,0.26963,0.45112,0.48801,0.39782,0.13688,0.73944,0.65155,0.34824,0.00102312,0.00102312,0.00102312
13,924.807,0.7088,0.64187,0.27177,0.5817,0.41867,0.37069,0.13309,0.74401,0.65763,0.35811,0.0010025,0.0010025,0.0010025
14,994.981,0.69839,0.65127,0.26042,0.80005,0.27312,0.31478,0.11133,0.74594,0.77702,0.36405,0.000981875,0.000981875,0.000981875
15,1064.36,0.70247,0.65568,0.2665,0.3284,0.19458,0.15785,0.06094,nan,nan,nan,0.00096125,0.00096125,0.00096125
16,1133.98,0.71027,0.64525,0.26625,0.35292,0.398,0.34897,0.11725,0.75795,0.72233,0.3664,0.000940625,0.000940625,0.000940625
17,1203.73,0.68344,0.68041,0.25681,0.26677,0.47073,0.37171,0.13248,0.74791,0.60764,0.35097,0.00092,0.00092,0.00092
18,1273.08,0.68877,0.64549,0.25951,0.44405,0.47705,0.43113,0.16279,nan,nan,nan,0.000899375,0.000899375,0.000899375
19,1343.51,0.66618,0.65642,0.25352,0.48213,0.42598,0.39368,0.13725,nan,nan,nan,0.00087875,0.00087875,0.00087875
20,1413.36,nan,nan,nan,0.44467,0.42075,0.38797,0.14197,nan,nan,nan,0.000858125,0.000858125,0.000858125
21,1551,0.66624,0.65201,0.25247,0.44395,0.42039,0.38782,0.14175,nan,nan,nan,0.0008375,0.0008375,0.0008375
22,1688.86,0.66527,0.65654,0.25954,0.44395,0.42039,0.38782,0.14175,nan,nan,nan,0.000816875,0.000816875,0.000816875
23,1758.55,0.66151,0.63659,0.25112,0.40649,0.42438,0.40796,0.14696,0.72641,0.6122,0.34259,0.00079625,0.00079625,0.00079625
24,1828.62,0.65339,0.63072,0.24091,0.37879,0.4214,0.33539,0.12083,nan,nan,nan,0.000775625,0.000775625,0.000775625
25,1898.91,0.66274,0.61238,0.25042,0.30665,0.37171,0.31261,0.10855,nan,nan,nan,0.000755,0.000755,0.000755
26,1969.1,0.65818,0.62447,0.24501,0.38366,0.41994,0.40598,0.1446,0.745,0.62589,0.35265,0.000734375,0.000734375,0.000734375
27,2106.94,0.64808,0.63222,0.23394,0.38356,0.41991,0.40791,0.14556,0.74487,0.62614,0.35255,0.00071375,0.00071375,0.00071375
28,2176.33,0.64422,0.61328,0.23914,0.39681,0.39342,0.36208,0.14102,nan,nan,nan,0.000693125,0.000693125,0.000693125
29,2246.21,0.63794,0.61309,0.24095,0.29632,0.39566,0.32204,0.09861,nan,nan,nan,0.0006725,0.0006725,0.0006725
30,2316.17,0.63116,0.61185,0.23623,0.38492,0.43394,0.39503,0.13263,nan,nan,nan,0.000651875,0.000651875,0.000651875
31,2386.36,0.64597,0.60963,0.23912,0.43426,0.40066,0.36921,0.1362,nan,nan,nan,0.00063125,0.00063125,0.00063125
32,2456.41,0.6354,0.61718,0.24067,0.40999,0.2853,0.29761,0.1017,nan,nan,nan,0.000610625,0.000610625,0.000610625
33,2526.83,0.61749,0.60889,0.22728,0.36679,0.42768,0.32489,0.10315,nan,nan,nan,0.00059,0.00059,0.00059
34,2596.64,0.61193,0.59911,0.22505,0.38765,0.43393,0.40025,0.14454,0.75863,0.57903,0.34907,0.000569375,0.000569375,0.000569375
35,2666.71,0.60055,0.59431,0.22251,0.48218,0.31643,0.31115,0.10844,nan,nan,nan,0.00054875,0.00054875,0.00054875
36,2736.23,0.58801,0.59766,0.2139,0.45674,0.44455,0.40897,0.15631,nan,nan,nan,0.000528125,0.000528125,0.000528125
