epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6238,1.19301,4.30798,0.55702,0.58439,0.34707,0.13883,0.04867,0.69113,1.02329,0.30789,0.000413279,0.000413279,0.000413279
2,153.821,0.81421,0.75141,0.31937,0.4322,0.29902,0.17395,0.05529,0.84803,0.75728,0.40593,0.000816252,0.000816252,0.000816252
3,223.244,0.76868,0.7316,0.2881,0.79865,0.27652,0.32036,0.10831,0.75222,0.71551,0.35222,0.00120547,0.00120547,0.00120547
4,293.291,0.75129,0.72961,0.28992,0.52879,0.30441,0.2637,0.08821,0.89692,0.66768,0.43098,0.00118812,0.00118812,0.00118812
5,362.22,0.77839,0.682,0.29038,0.83925,0.30925,0.34394,0.12608,0.73656,0.65268,0.35058,0.0011675,0.0011675,0.0011675
6,431.588,0.733,0.68292,0.28347,0.83273,0.32318,0.37954,0.14205,0.74685,0.62879,0.34413,0.00114688,0.00114688,0.00114688
7,500.781,0.74853,0.66665,0.28348,0.75149,0.31927,0.32271,0.09633,0.80297,0.64909,0.39048,0.00112625,0.00112625,0.00112625
8,568.149,0.71643,0.68916,0.27681,0.31862,0.3724,0.35372,0.11741,0.78796,0.60046,0.37629,0.00110563,0.00110563,0.00110563
9,637.383,0.72216,0.65056,0.27301,0.31975,0.44566,0.30959,0.08995,0.83932,0.59682,0.40629,0.001085,0.001085,0.001085
10,705.752,0.6884,0.67866,0.25885,0.31546,0.39767,0.33021,0.10512,0.76786,0.6155,0.36925,0.00106437,0.00106437,0.00106437
11,775.462,0.69198,0.66997,0.26179,0.42004,0.43841,0.40537,0.14953,0.69409,0.66626,0.33142,0.00104375,0.00104375,0.00104375
12,844.96,0.69081,0.64212,0.25951,0.32361,0.40926,0.37804,0.14483,0.72706,0.631,0.34284,0.00102312,0.00102312,0.00102312
13,914.473,0.6952,0.64146,0.26318,0.30305,0.4217,0.32446,0.10616,0.74732,0.67342,0.35792,0.0010025,0.0010025,0.0010025
14,983.459,0.68253,0.65854,0.25282,0.3596,0.48246,0.38157,0.1346,0.71775,0.64695,0.3411,0.000981875,0.000981875,0.000981875
