epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9375,2.10857,6.18738,0.01169,0.45078,0.21148,0.16546,0.05206,2.06364,3.63948,0.01744,0.000413279,0.000413279,0.000413279
2,127.248,2.14062,2.88406,0.0122,0.43689,0.28184,0.24093,0.07481,2.29475,2.7647,0.02002,0.000816252,0.000816252,0.000816252
3,179.729,2.19436,2.54943,0.01182,0.80949,0.23402,0.27536,0.09132,2.08711,2.85338,0.01775,0.00120547,0.00120547,0.00120547
4,231.868,2.10156,2.42001,0.01171,0.50305,0.26345,0.26745,0.07985,2.32646,2.27144,0.02172,0.00118812,0.00118812,0.00118812
5,286.23,2.12075,2.33006,0.01176,0.75052,0.29936,0.29339,0.09429,2.19202,2.16132,0.01866,0.0011675,0.0011675,0.0011675
6,346.917,2.13052,2.21167,0.01202,0.56457,0.32597,0.30278,0.09651,2.24433,2.11731,0.01928,0.00114688,0.00114688,0.00114688
7,402.241,2.11728,2.26322,0.0119,0.75267,0.28152,0.32954,0.11224,2.12249,2.14836,0.01813,0.00112625,0.00112625,0.00112625
8,457.028,2.06305,2.14053,0.01153,0.48585,0.33584,0.27954,0.09133,2.2963,2.08833,0.01941,0.00110563,0.00110563,0.00110563
9,515.959,2.10402,2.02919,0.01182,0.52607,0.38257,0.36,0.11473,2.30466,1.99777,0.02015,0.001085,0.001085,0.001085
10,569.705,2.06913,2.03399,0.01156,0.52489,0.35501,0.34911,0.12442,2.20453,1.90865,0.01859,0.00106437,0.00106437,0.00106437
11,617.655,2.05034,1.99845,0.0111,0.42095,0.38178,0.37308,0.131,2.24821,1.83818,0.01933,0.00104375,0.00104375,0.00104375
12,665.26,2.02938,1.79619,0.01129,0.53846,0.41724,0.36215,0.11816,2.33696,1.77388,0.02034,0.00102312,0.00102312,0.00102312
13,712.733,2.02988,1.82868,0.01103,0.4324,0.33977,0.38199,0.1252,2.33657,1.78036,0.01989,0.0010025,0.0010025,0.0010025
14,759.774,2.06449,1.82441,0.01154,0.33713,0.38998,0.35732,0.12788,2.16643,1.82212,0.01874,0.000981875,0.000981875,0.000981875
15,807.186,2.01955,1.8534,0.01123,0.43388,0.47554,0.38449,0.12576,2.3547,1.85071,0.02062,0.00096125,0.00096125,0.00096125
16,854.078,2.03772,1.76017,0.01135,0.45594,0.34093,0.34869,0.1245,2.32649,1.89091,0.01999,0.000940625,0.000940625,0.000940625
17,901.749,2.01471,1.71261,0.0111,0.31022,0.44383,0.35025,0.12591,2.30589,1.83889,0.0196,0.00092,0.00092,0.00092
18,949.256,2.01437,1.67984,0.01127,0.54354,0.31226,0.36135,0.12523,2.3752,1.77478,0.02068,0.000899375,0.000899375,0.000899375
19,997.248,1.98333,1.67457,0.01088,0.53873,0.40303,0.43172,0.15031,2.26029,1.71092,0.01959,0.00087875,0.00087875,0.00087875
20,1044.96,1.96333,1.64017,0.01114,0.44266,0.45996,0.39495,0.14233,2.2756,1.69667,0.01936,0.000858125,0.000858125,0.000858125
21,1091.9,1.92699,1.61973,0.01048,0.82476,0.32099,0.36235,0.12813,2.27905,1.75623,0.01996,0.0008375,0.0008375,0.0008375
22,1139.14,1.95708,1.53721,0.01075,0.56467,0.38766,0.36514,0.12238,2.33027,1.83872,0.01975,0.000816875,0.000816875,0.000816875
23,1186.89,1.94788,1.46316,0.01063,0.37703,0.42748,0.39089,0.1438,2.22489,1.64721,0.01918,0.00079625,0.00079625,0.00079625
24,1233.79,1.94629,1.4997,0.01092,0.59381,0.3061,0.3167,0.10612,2.46541,1.87093,0.02107,0.000775625,0.000775625,0.000775625
25,1281.08,1.87692,1.55033,0.01042,0.33317,0.44945,0.37924,0.1375,2.32746,1.69766,0.01999,0.000755,0.000755,0.000755
26,1328.56,1.89442,1.41015,0.01044,0.4608,0.41947,0.40094,0.14145,2.32528,1.72892,0.01998,0.000734375,0.000734375,0.000734375
27,1375.96,1.91445,1.38335,0.01047,0.41692,0.392,0.38223,0.13572,2.39126,1.69028,0.02109,0.00071375,0.00071375,0.00071375
28,1423.54,1.89628,1.31277,0.0102,0.49984,0.36018,0.3969,0.13835,2.32335,1.74729,0.02013,0.000693125,0.000693125,0.000693125
29,1470.63,1.89364,1.27045,0.01048,0.61018,0.3397,0.40137,0.14682,2.42807,1.63456,0.02095,0.0006725,0.0006725,0.0006725
30,1518.09,1.93944,1.26895,0.01056,0.33471,0.44969,0.35983,0.12875,2.30513,1.71975,0.02037,0.000651875,0.000651875,0.000651875
