epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8622,2.11686,5.57634,0.01159,0.69197,0.21683,0.19317,0.05662,2.06663,3.53626,0.01733,0.000413279,0.000413279,0.000413279
2,133.203,2.17385,2.84039,0.01214,0.71139,0.27987,0.22035,0.06847,2.28405,2.44702,0.0195,0.000816252,0.000816252,0.000816252
3,190.574,2.19082,2.52185,0.01253,0.64514,0.26854,0.15606,0.05615,2.14727,2.7453,0.01863,0.00120547,0.00120547,0.00120547
4,247.558,2.17245,2.48297,0.01208,0.7281,0.2602,0.26997,0.09477,2.15349,2.49216,0.01844,0.00118812,0.00118812,0.00118812
5,305.086,2.06759,2.37539,0.01174,0.51292,0.27675,0.273,0.09919,2.10734,2.45829,0.01773,0.0011675,0.0011675,0.0011675
6,362.15,2.11884,2.19859,0.01198,0.49648,0.30759,0.3129,0.11331,2.21562,2.0426,0.0191,0.00114688,0.00114688,0.00114688
7,419.29,2.09939,2.18515,0.01159,0.24353,0.31511,0.29891,0.11831,2.02003,2.12977,0.01697,0.00112625,0.00112625,0.00112625
8,476.23,2.06799,2.08632,0.01153,0.29977,0.33098,0.32146,0.11855,2.12122,2.14405,0.01797,0.00110563,0.00110563,0.00110563
9,533.587,2.06226,2.10042,0.01122,0.26346,0.37915,0.28163,0.08619,2.34211,2.22072,0.02068,0.001085,0.001085,0.001085
10,590.469,2.06992,2.01459,0.01134,0.21894,0.34821,0.2627,0.08098,2.3364,2.0811,0.01982,0.00106437,0.00106437,0.00106437
11,647.55,2.07499,1.96229,0.01124,0.53255,0.32147,0.3185,0.11716,2.16772,1.95035,0.01826,0.00104375,0.00104375,0.00104375
12,704.36,2.05202,1.87765,0.01148,0.36523,0.38869,0.33856,0.10948,2.30113,1.93642,0.01987,0.00102312,0.00102312,0.00102312
13,761.55,2.02144,1.92437,0.01117,0.36004,0.37528,0.3285,0.11653,2.26408,1.97857,0.01957,0.0010025,0.0010025,0.0010025
14,818.506,2.04287,1.88169,0.01098,0.39029,0.44387,0.38357,0.13302,2.25226,1.85627,0.01929,0.000981875,0.000981875,0.000981875
15,875.501,2.03524,1.8949,0.01163,0.76912,0.3109,0.36848,0.13316,2.22674,1.89228,0.01928,0.00096125,0.00096125,0.00096125
16,932.394,2.01671,1.81861,0.01133,0.39539,0.40649,0.38169,0.13949,2.25178,1.80818,0.01913,0.000940625,0.000940625,0.000940625
17,989.926,2.01163,1.78115,0.01103,0.35999,0.34693,0.32358,0.09976,2.35556,1.8558,0.02032,0.00092,0.00092,0.00092
18,1046.9,2.01568,1.83861,0.01119,0.44023,0.38338,0.36862,0.12994,2.15413,1.8177,0.01822,0.000899375,0.000899375,0.000899375
19,1103.91,1.9995,1.76204,0.01088,0.47551,0.42386,0.39664,0.14374,2.20952,1.77062,0.01892,0.00087875,0.00087875,0.00087875
20,1161.02,1.9973,1.67921,0.01107,0.34158,0.37518,0.34637,0.11631,2.26485,1.97128,0.01953,0.000858125,0.000858125,0.000858125
21,1217.84,1.94821,1.75933,0.01093,0.43498,0.36388,0.35841,0.13499,2.23931,1.83846,0.01944,0.0008375,0.0008375,0.0008375
22,1274.56,1.95532,1.6796,0.01054,0.38855,0.38294,0.38531,0.14873,2.15889,1.82231,0.01831,0.000816875,0.000816875,0.000816875
23,1331.78,1.93321,1.63004,0.01059,0.37311,0.38455,0.34918,0.11584,2.40933,1.97234,0.02083,0.00079625,0.00079625,0.00079625
24,1388.68,1.93443,1.59572,0.01065,0.3263,0.46145,0.37515,0.15233,2.18306,1.77146,0.01856,0.000775625,0.000775625,0.000775625
25,1445.67,1.94521,1.56916,0.01057,0.58612,0.3393,0.37227,0.12817,2.27812,1.73546,0.01942,0.000755,0.000755,0.000755
26,1502.5,1.93766,1.55742,0.01082,0.40181,0.44261,0.3679,0.1406,2.21185,1.7884,0.01875,0.000734375,0.000734375,0.000734375
27,1559.48,1.8902,1.53808,0.01018,0.47219,0.40126,0.38728,0.139,2.30508,1.80791,0.01951,0.00071375,0.00071375,0.00071375
28,1616.5,1.87798,1.4519,0.01009,0.42278,0.39257,0.37441,0.1208,2.41645,1.80448,0.02105,0.000693125,0.000693125,0.000693125
29,1673.39,1.86278,1.46573,0.01034,0.36759,0.42653,0.37489,0.14401,2.36058,1.90391,0.02056,0.0006725,0.0006725,0.0006725
30,1730.36,1.86988,1.42048,0.01036,0.40156,0.41473,0.37372,0.13799,2.28898,1.66249,0.01954,0.000651875,0.000651875,0.000651875
31,1786.98,1.85233,1.44467,0.0099,0.39205,0.37207,0.35312,0.12843,2.30836,1.72068,0.01993,0.00063125,0.00063125,0.00063125
