epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0815,2.10239,5.15268,0.01179,0.74787,0.28879,0.25293,0.07814,2.24431,3.25103,0.01892,0.000413279,0.000413279,0.000413279
2,143.888,2.09813,2.79981,0.01185,0.62051,0.3094,0.20559,0.07496,2.16298,2.70153,0.01823,0.000816252,0.000816252,0.000816252
3,198.474,2.12897,2.63508,0.01126,0.74829,0.2785,0.23265,0.07632,2.22826,3.19791,0.01877,0.00120547,0.00120547,0.00120547
4,260.189,2.13185,2.41151,0.01184,0.72306,0.25119,0.30497,0.10908,2.16552,2.14549,0.01864,0.00118812,0.00118812,0.00118812
5,321.16,2.13343,2.33358,0.01191,0.70428,0.28487,0.27672,0.08303,2.33012,2.30522,0.02076,0.0011675,0.0011675,0.0011675
6,380.674,2.1288,2.30712,0.012,0.7468,0.28251,0.28787,0.09977,2.22395,2.13636,0.01957,0.00114688,0.00114688,0.00114688
7,442.782,2.08922,2.22424,0.01171,0.7971,0.27165,0.30141,0.09824,2.2269,2.17863,0.01949,0.00112625,0.00112625,0.00112625
8,502.97,2.10852,2.1472,0.01187,0.33723,0.39409,0.33785,0.11627,2.17449,2.06992,0.01847,0.00110563,0.00110563,0.00110563
9,564.782,2.06822,2.05665,0.01152,0.51658,0.3157,0.29576,0.09974,2.28885,2.03779,0.01982,0.001085,0.001085,0.001085
10,626.878,2.11164,2.01814,0.0119,0.56776,0.36497,0.33052,0.11926,2.2115,1.97643,0.01917,0.00106437,0.00106437,0.00106437
11,687.289,2.06411,2.00325,0.01115,0.39796,0.34456,0.33783,0.12853,2.18387,2.09493,0.01853,0.00104375,0.00104375,0.00104375
12,749.587,2.05653,1.88645,0.01149,0.36715,0.42633,0.37992,0.14219,2.26415,1.87284,0.01974,0.00102312,0.00102312,0.00102312
13,809.01,2.03275,1.88311,0.01105,0.31893,0.42224,0.34535,0.11202,2.26438,1.9942,0.01982,0.0010025,0.0010025,0.0010025
14,863.924,2.04647,1.89991,0.01132,0.32221,0.41021,0.34721,0.13381,2.14281,1.97827,0.01844,0.000981875,0.000981875,0.000981875
15,922.895,2.0088,1.84436,0.01119,0.79625,0.28288,0.37778,0.14699,2.1441,1.91145,0.01824,0.00096125,0.00096125,0.00096125
