epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.322,2.17569,7.58654,0.01208,0.00379,0.61921,0.06589,0.01647,1.79261,7.80934,0.0145,0.000409946,0.000409946,0.000409946
2,81.3387,1.87662,5.76441,0.01002,0.71622,0.05696,0.12361,0.04049,1.86224,6.46726,0.0156,0.000812974,0.000812974,0.000812974
3,107.704,1.89853,4.66402,0.00997,0.66579,0.24416,0.22597,0.07081,2.05663,5.40015,0.0173,0.00120225,0.00120225,0.00120225
4,135.012,1.93183,4.01263,0.01038,0.69472,0.26936,0.23116,0.08122,1.89595,4.11921,0.01627,0.00118812,0.00118812,0.00118812
5,161.902,1.93086,3.36672,0.0103,0.70751,0.2565,0.25518,0.09781,1.96798,3.20275,0.01681,0.0011675,0.0011675,0.0011675
6,188.817,1.93752,3.03047,0.01062,0.79052,0.24722,0.30161,0.1149,1.96143,2.82276,0.01676,0.00114688,0.00114688,0.00114688
7,215.419,1.9207,2.79055,0.01054,0.77438,0.25064,0.30388,0.10323,2.01609,2.73532,0.01786,0.00112625,0.00112625,0.00112625
8,240.646,1.98045,2.5849,0.01083,0.76198,0.28369,0.30175,0.10824,2.0156,2.65525,0.01744,0.00110563,0.00110563,0.00110563
9,266.333,1.91625,2.49716,0.01038,0.62621,0.33179,0.33153,0.11164,2.10181,2.29538,0.0179,0.001085,0.001085,0.001085
10,291.907,1.96345,2.35886,0.01055,0.75955,0.27415,0.29888,0.10641,2.07541,2.40472,0.01746,0.00106437,0.00106437,0.00106437
11,317.719,1.93399,2.27932,0.01054,0.76387,0.30696,0.3466,0.12008,2.0337,2.30082,0.01746,0.00104375,0.00104375,0.00104375
12,343.348,1.90985,2.24318,0.0101,0.65319,0.295,0.34136,0.12284,1.97419,2.2537,0.01687,0.00102312,0.00102312,0.00102312
13,368.545,1.9046,2.1535,0.01034,0.54301,0.30475,0.30499,0.10642,2.12097,2.30932,0.0182,0.0010025,0.0010025,0.0010025
14,393.84,1.90245,2.08144,0.01019,0.70772,0.36172,0.35111,0.1305,2.08096,2.08095,0.01765,0.000981875,0.000981875,0.000981875
15,419.047,1.87428,2.06273,0.0099,0.62041,0.34189,0.32456,0.11862,2.03812,2.17496,0.01772,0.00096125,0.00096125,0.00096125
16,444.239,1.89097,2.03602,0.01026,0.60993,0.3052,0.32975,0.11754,2.12657,2.11033,0.01816,0.000940625,0.000940625,0.000940625
17,469.443,1.9002,2.00703,0.01007,0.54841,0.29663,0.33406,0.1329,2.03756,2.07882,0.01702,0.00092,0.00092,0.00092
18,494.619,1.8905,1.92351,0.01002,0.40704,0.35586,0.36987,0.14199,2.0479,2.04751,0.01722,0.000899375,0.000899375,0.000899375
19,519.729,1.86133,1.90146,0.00992,0.64042,0.34695,0.3534,0.13972,2.04664,2.01401,0.01706,0.00087875,0.00087875,0.00087875
20,544.924,1.86341,1.84782,0.01025,0.58223,0.35443,0.34149,0.12571,2.18999,1.95941,0.01845,0.000858125,0.000858125,0.000858125
21,570.619,1.89887,1.81856,0.01035,0.59395,0.3179,0.32203,0.11969,2.09052,2.03439,0.01818,0.0008375,0.0008375,0.0008375
22,596.225,1.86529,1.75033,0.01013,0.5354,0.31652,0.31711,0.11104,2.20958,2.00891,0.01897,0.000816875,0.000816875,0.000816875
23,621.912,1.86091,1.76265,0.00998,0.68768,0.34569,0.36484,0.12944,2.16756,2.04289,0.01885,0.00079625,0.00079625,0.00079625
24,647.351,1.84192,1.66719,0.01024,0.41383,0.34856,0.36101,0.13743,2.11302,2.1388,0.01827,0.000775625,0.000775625,0.000775625
25,672.637,1.82049,1.6807,0.00971,0.33829,0.43729,0.34054,0.12366,2.18994,1.88338,0.01882,0.000755,0.000755,0.000755
26,698.219,1.88856,1.68111,0.01042,0.33813,0.32352,0.31978,0.11661,2.2755,2.03138,0.01921,0.000734375,0.000734375,0.000734375
27,723.548,1.85345,1.63685,0.00994,0.28247,0.45259,0.34301,0.12478,2.22032,1.86075,0.01867,0.00071375,0.00071375,0.00071375
