epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5383,2.20221,7.50344,0.01216,0.00219,0.43355,0.08634,0.02588,1.72759,8.01306,0.0141,0.000409946,0.000409946,0.000409946
2,82.1065,1.91007,5.77014,0.0102,0.74317,0.12018,0.19581,0.06914,1.90674,6.16895,0.01611,0.000812974,0.000812974,0.000812974
3,108.488,1.90323,4.70199,0.00994,0.66852,0.22725,0.21289,0.08084,1.89633,5.31372,0.01635,0.00120225,0.00120225,0.00120225
4,135.609,1.93532,4.05159,0.01034,0.72145,0.25916,0.26221,0.09548,1.95511,3.92308,0.01718,0.00118812,0.00118812,0.00118812
5,162.41,1.92823,3.35226,0.01033,0.75976,0.27105,0.25882,0.09893,2.00964,3.27328,0.01696,0.0011675,0.0011675,0.0011675
6,189.525,1.90441,3.05978,0.01048,0.78532,0.27342,0.27129,0.1012,1.94731,3.10519,0.01636,0.00114688,0.00114688,0.00114688
7,216.1,1.9488,2.79049,0.01069,0.76775,0.22575,0.24928,0.08291,2.08922,2.97448,0.01829,0.00112625,0.00112625,0.00112625
8,241.389,1.96622,2.62008,0.01073,0.46225,0.33296,0.2947,0.10209,2.04613,2.63779,0.01753,0.00110563,0.00110563,0.00110563
9,267.12,1.91831,2.56271,0.01027,0.79869,0.26529,0.30304,0.10375,2.13891,2.47563,0.019,0.001085,0.001085,0.001085
10,292.792,1.98026,2.37739,0.01065,0.75953,0.27385,0.33437,0.11265,2.16755,2.39063,0.01862,0.00106437,0.00106437,0.00106437
11,318.728,1.94339,2.27931,0.01064,0.83996,0.27511,0.33202,0.10634,2.07654,2.3319,0.0176,0.00104375,0.00104375,0.00104375
12,344.097,1.92316,2.24179,0.01022,0.77763,0.30312,0.31635,0.11292,2.05959,2.14012,0.01767,0.00102312,0.00102312,0.00102312
13,369.32,1.93649,2.14654,0.01057,0.53024,0.27467,0.30605,0.10621,2.08474,2.30846,0.01804,0.0010025,0.0010025,0.0010025
14,394.492,1.93255,2.06413,0.01044,0.32423,0.33818,0.32634,0.11597,2.10147,2.13577,0.0183,0.000981875,0.000981875,0.000981875
15,419.997,1.88268,2.04033,0.00999,0.79194,0.29981,0.32181,0.118,2.13244,2.0633,0.01823,0.00096125,0.00096125,0.00096125
16,445.297,1.88107,2.01897,0.0103,0.48049,0.31087,0.32109,0.11637,2.10992,2.11835,0.01824,0.000940625,0.000940625,0.000940625
17,470.501,1.91531,1.99948,0.01012,0.22654,0.33296,0.31729,0.1221,2.11613,2.02323,0.01813,0.00092,0.00092,0.00092
18,495.433,1.91047,1.92465,0.01018,0.29792,0.39456,0.32524,0.12443,2.12698,1.95076,0.01833,0.000899375,0.000899375,0.000899375
19,520.495,1.8626,1.89862,0.00997,0.8052,0.31473,0.34865,0.13066,2.11442,2.0064,0.01778,0.00087875,0.00087875,0.00087875
20,545.688,1.88321,1.835,0.01038,0.32144,0.38731,0.34792,0.13301,2.12059,1.94317,0.01815,0.000858125,0.000858125,0.000858125
21,571.587,1.90445,1.82741,0.01038,0.59207,0.30387,0.34592,0.12783,2.11915,1.98754,0.01851,0.0008375,0.0008375,0.0008375
22,597.021,1.88365,1.71679,0.01024,0.32859,0.42935,0.36536,0.13978,2.18465,1.86523,0.01867,0.000816875,0.000816875,0.000816875
23,622.724,1.87785,1.70015,0.01009,0.40841,0.36017,0.34118,0.13152,2.1723,1.88229,0.01889,0.00079625,0.00079625,0.00079625
24,648.107,1.86738,1.6646,0.01048,0.27353,0.41697,0.35861,0.13716,2.15204,1.91579,0.0185,0.000775625,0.000775625,0.000775625
25,673.09,1.86349,1.69644,0.00992,0.61519,0.4246,0.36852,0.14063,2.14932,2.04076,0.01819,0.000755,0.000755,0.000755
26,698.997,1.8431,1.67182,0.01011,0.3387,0.32809,0.32964,0.11811,2.20122,1.95058,0.01904,0.000734375,0.000734375,0.000734375
27,724.334,1.84257,1.63086,0.0099,0.57967,0.32301,0.34823,0.12749,2.1887,1.95405,0.01865,0.00071375,0.00071375,0.00071375
28,749.897,1.82313,1.57261,0.01004,0.3238,0.38888,0.3323,0.11998,2.24709,1.89455,0.01932,0.000693125,0.000693125,0.000693125
29,775.339,1.82262,1.56398,0.00966,0.32426,0.39978,0.33232,0.11532,2.39454,1.8592,0.02052,0.0006725,0.0006725,0.0006725
30,800.195,1.79863,1.55851,0.00954,0.3295,0.33722,0.34271,0.11932,2.25211,1.92748,0.01947,0.000651875,0.000651875,0.000651875
31,825.826,1.8213,1.51399,0.00957,0.35953,0.35145,0.36114,0.1246,2.28821,1.80228,0.01949,0.00063125,0.00063125,0.00063125
32,851.186,1.77635,1.40387,0.00953,0.4046,0.42745,0.36955,0.13768,2.18027,1.82793,0.01857,0.000610625,0.000610625,0.000610625
33,876.733,1.77782,1.46366,0.00953,0.6466,0.29089,0.37092,0.1447,2.21814,1.8401,0.01906,0.00059,0.00059,0.00059
34,902.11,1.80079,1.43798,0.00949,0.37347,0.35387,0.32271,0.10634,2.42684,1.89579,0.02086,0.000569375,0.000569375,0.000569375
35,927.521,1.77778,1.37424,0.0097,0.50949,0.34222,0.30249,0.10335,2.27848,2.10684,0.01926,0.00054875,0.00054875,0.00054875
36,952.621,1.73395,1.32385,0.00902,0.3807,0.42047,0.34772,0.12952,2.27803,1.82265,0.01956,0.000528125,0.000528125,0.000528125
37,977.991,1.75493,1.32954,0.00908,0.31203,0.42943,0.32129,0.10566,2.36597,2.0358,0.02017,0.0005075,0.0005075,0.0005075
38,1003.31,1.72558,1.33449,0.00916,0.62019,0.42806,0.37119,0.13003,2.22752,1.85561,0.01913,0.000486875,0.000486875,0.000486875
39,1028.69,1.71918,1.2517,0.00902,0.53726,0.39423,0.35469,0.12712,2.25678,1.93848,0.01945,0.00046625,0.00046625,0.00046625
40,1054.31,1.68499,1.22537,0.00873,0.64816,0.43336,0.4101,0.14281,2.27142,1.86089,0.01952,0.000445625,0.000445625,0.000445625
41,1079.82,1.67042,1.20503,0.00871,0.39728,0.46891,0.36743,0.12641,2.32502,1.93857,0.02001,0.000425,0.000425,0.000425
42,1105,1.66623,1.18507,0.00868,0.6209,0.3918,0.3448,0.12943,2.31686,1.87352,0.01997,0.000404375,0.000404375,0.000404375
43,1130.01,1.67991,1.1346,0.00879,0.44751,0.40946,0.35298,0.12742,2.25829,2.05496,0.01923,0.00038375,0.00038375,0.00038375
44,1155.51,1.67963,1.15884,0.00884,0.36688,0.39773,0.34308,0.12681,2.25621,1.99904,0.01943,0.000363125,0.000363125,0.000363125
45,1181.02,1.65761,1.12012,0.00847,0.61031,0.36464,0.31962,0.11367,2.4394,2.00783,0.02091,0.0003425,0.0003425,0.0003425
46,1206.51,1.59448,1.07545,0.00847,0.53968,0.41272,0.3781,0.14018,2.32529,1.90102,0.01991,0.000321875,0.000321875,0.000321875
47,1231.59,1.60164,1.08439,0.00825,0.59686,0.37076,0.34015,0.12137,2.39375,1.94397,0.02089,0.00030125,0.00030125,0.00030125
48,1256.89,1.59354,1.05122,0.00838,0.47633,0.43202,0.3459,0.12187,2.40249,2.13708,0.0207,0.000280625,0.000280625,0.000280625
49,1281.92,1.58182,1.04853,0.00814,0.41002,0.41042,0.35287,0.12786,2.41582,1.9563,0.02069,0.00026,0.00026,0.00026
