epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.937,2.2252,7.77214,0.01243,0.00332,0.7188,0.06856,0.01863,1.70878,7.79155,0.01362,0.000409946,0.000409946,0.000409946
2,105.102,1.91706,6.076,0.01068,0.70007,0.09844,0.13197,0.04689,1.72394,6.27882,0.01401,0.000812974,0.000812974,0.000812974
3,140.51,1.9261,4.9056,0.01017,0.70188,0.16016,0.17021,0.0507,1.93929,5.34221,0.01692,0.00120225,0.00120225,0.00120225
4,175.811,1.92801,4.10318,0.01013,0.69279,0.18218,0.19802,0.06977,1.97612,4.04482,0.01686,0.00118812,0.00118812,0.00118812
5,211.204,1.93754,3.52445,0.01023,0.50617,0.25254,0.26213,0.0892,2.01314,3.42387,0.0175,0.0011675,0.0011675,0.0011675
6,246.493,1.92674,3.12745,0.01001,0.73823,0.25572,0.24224,0.08978,1.95372,3.11266,0.01651,0.00114688,0.00114688,0.00114688
7,281.692,1.94937,2.85156,0.01055,0.73147,0.29122,0.25753,0.08714,2.01003,3.00154,0.01723,0.00112625,0.00112625,0.00112625
8,316.487,1.90241,2.71057,0.01029,0.77373,0.23449,0.28104,0.10205,1.98359,2.67372,0.01721,0.00110563,0.00110563,0.00110563
9,351.496,1.90253,2.56124,0.01042,0.4612,0.2978,0.26969,0.10025,2.05382,2.57489,0.01731,0.001085,0.001085,0.001085
10,386.401,1.90064,2.47476,0.01023,0.70909,0.28487,0.28135,0.0964,2.12063,2.72676,0.01794,0.00106437,0.00106437,0.00106437
11,422.411,1.92688,2.38951,0.01031,0.49071,0.36943,0.26292,0.08097,2.07778,2.6015,0.01756,0.00104375,0.00104375,0.00104375
12,457.303,1.92444,2.34037,0.01064,0.78334,0.28517,0.32232,0.10329,2.08352,2.33906,0.01735,0.00102312,0.00102312,0.00102312
13,491.812,1.91203,2.28433,0.01031,0.7678,0.26182,0.31915,0.10049,2.21076,2.365,0.01861,0.0010025,0.0010025,0.0010025
14,526.494,1.8981,2.19274,0.0101,0.49893,0.33297,0.32377,0.1206,2.15471,2.10438,0.01832,0.000981875,0.000981875,0.000981875
15,561.702,1.90624,2.1209,0.01044,0.53948,0.40003,0.34266,0.1235,2.12933,2.15758,0.0183,0.00096125,0.00096125,0.00096125
16,596.395,1.92457,2.04096,0.01042,0.59774,0.35693,0.36872,0.13514,2.09031,1.98898,0.01749,0.000940625,0.000940625,0.000940625
17,631.319,1.89254,1.99943,0.01032,0.67008,0.35606,0.38893,0.15209,2.04833,2.02229,0.01711,0.00092,0.00092,0.00092
18,666.611,1.89458,1.97975,0.01008,0.61555,0.29095,0.32073,0.11894,2.0114,2.12955,0.01679,0.000899375,0.000899375,0.000899375
19,701.623,1.91426,1.95734,0.01003,0.68411,0.30769,0.33411,0.1297,2.04434,2.07496,0.01731,0.00087875,0.00087875,0.00087875
20,736.405,1.86846,1.88974,0.01019,0.63354,0.37658,0.34788,0.12616,2.10038,1.96431,0.01816,0.000858125,0.000858125,0.000858125
21,771.698,1.87732,1.86524,0.00995,0.49484,0.31097,0.29516,0.11284,2.14527,2.11254,0.01843,0.0008375,0.0008375,0.0008375
22,806.892,1.82597,1.84368,0.00964,0.3513,0.33212,0.32845,0.12079,2.21397,2.015,0.01859,0.000816875,0.000816875,0.000816875
23,841.91,1.86979,1.86544,0.01013,0.5969,0.31015,0.30662,0.11324,2.07715,2.11392,0.01773,0.00079625,0.00079625,0.00079625
24,877.016,1.84839,1.78436,0.00991,0.78596,0.27408,0.3031,0.11133,2.17991,2.07715,0.01876,0.000775625,0.000775625,0.000775625
25,912.023,1.83084,1.73521,0.00994,0.53306,0.38995,0.35348,0.12207,2.09766,1.91446,0.01773,0.000755,0.000755,0.000755
26,947.41,1.86447,1.73596,0.00993,0.78935,0.29639,0.31122,0.11073,2.15328,2.26016,0.01887,0.000734375,0.000734375,0.000734375
27,982.69,1.86987,1.70638,0.01015,0.55877,0.38518,0.3226,0.11565,2.18678,2.04155,0.01845,0.00071375,0.00071375,0.00071375
28,1018.11,1.79072,1.65345,0.00978,0.58684,0.3364,0.35328,0.12949,2.14927,1.93586,0.01809,0.000693125,0.000693125,0.000693125
29,1053.92,1.80118,1.65958,0.00955,0.61257,0.33979,0.36481,0.12197,2.17394,1.96166,0.0186,0.0006725,0.0006725,0.0006725
30,1088.61,1.83713,1.60382,0.00976,0.34611,0.42784,0.34195,0.12134,2.20373,1.8893,0.01897,0.000651875,0.000651875,0.000651875
31,1122.82,1.8076,1.54792,0.00983,0.62818,0.35848,0.35695,0.1096,2.3258,1.91778,0.01991,0.00063125,0.00063125,0.00063125
32,1156.9,1.76863,1.5683,0.00957,0.42476,0.35722,0.31862,0.09703,2.47167,1.98642,0.02147,0.000610625,0.000610625,0.000610625
33,1191.5,1.78258,1.53367,0.00964,0.55963,0.39144,0.36218,0.12282,2.24013,1.82785,0.01942,0.00059,0.00059,0.00059
34,1225.72,1.77319,1.44285,0.00966,0.38985,0.36444,0.35284,0.13359,2.27389,1.86458,0.01972,0.000569375,0.000569375,0.000569375
35,1260.2,1.74406,1.48322,0.00925,0.37781,0.37513,0.36275,0.13144,2.23778,1.80934,0.01913,0.00054875,0.00054875,0.00054875
36,1294.23,1.73043,1.3719,0.00911,0.3353,0.42881,0.35966,0.12185,2.31302,1.85787,0.0199,0.000528125,0.000528125,0.000528125
37,1328.23,1.72946,1.34482,0.00915,0.63096,0.35673,0.32,0.11036,2.31882,2.00357,0.01972,0.0005075,0.0005075,0.0005075
38,1362.3,1.72258,1.31506,0.00914,0.36625,0.44992,0.37638,0.13709,2.35807,1.88362,0.02015,0.000486875,0.000486875,0.000486875
39,1396.01,1.74931,1.33397,0.00918,0.43449,0.36656,0.37888,0.1224,2.39898,1.85402,0.02067,0.00046625,0.00046625,0.00046625
40,1430.19,1.71524,1.34467,0.0091,0.62616,0.319,0.3432,0.11464,2.42771,1.84404,0.02094,0.000445625,0.000445625,0.000445625
41,1463.5,1.68354,1.26213,0.009,0.63678,0.36462,0.34279,0.12196,2.30011,1.91992,0.01983,0.000425,0.000425,0.000425
42,1497.3,1.66363,1.23625,0.00886,0.69469,0.33214,0.3583,0.12967,2.31515,1.82013,0.01998,0.000404375,0.000404375,0.000404375
43,1531.01,1.65568,1.21164,0.00885,0.47142,0.40406,0.36134,0.12628,2.30967,1.87763,0.0202,0.00038375,0.00038375,0.00038375
44,1565.11,1.63987,1.22034,0.00876,0.68474,0.33554,0.36561,0.12387,2.2768,1.92234,0.01952,0.000363125,0.000363125,0.000363125
45,1598.63,1.63666,1.18463,0.0086,0.50598,0.4251,0.37002,0.13585,2.31735,1.81641,0.01988,0.0003425,0.0003425,0.0003425
46,1632.49,1.61901,1.13729,0.00846,0.67008,0.37188,0.35711,0.12537,2.37458,1.83494,0.0204,0.000321875,0.000321875,0.000321875
47,1666.09,1.57996,1.13559,0.0081,0.63079,0.34202,0.36229,0.12968,2.35803,1.85838,0.02022,0.00030125,0.00030125,0.00030125
48,1700.69,1.60048,1.12248,0.00839,0.40714,0.42797,0.36337,0.13281,2.31877,1.9477,0.01997,0.000280625,0.000280625,0.000280625
49,1734.22,1.60462,1.1098,0.00836,0.6684,0.36435,0.35108,0.11661,2.37678,1.96127,0.02049,0.00026,0.00026,0.00026
50,1767.8,1.55941,1.07188,0.00796,0.3392,0.40543,0.3669,0.12557,2.35383,1.9299,0.02017,0.000239375,0.000239375,0.000239375
51,1813.99,1.70183,1.04701,0.01085,0.526,0.38987,0.33957,0.13791,2.301,2.02597,0.01978,0.00021875,0.00021875,0.00021875
52,1846.81,1.55689,0.89658,0.00952,0.41869,0.46161,0.38522,0.14494,2.40707,1.92167,0.02077,0.000198125,0.000198125,0.000198125
53,1879.59,1.52225,0.84462,0.00928,0.52844,0.42231,0.37757,0.13421,2.38811,1.97138,0.02041,0.0001775,0.0001775,0.0001775
54,1912.6,1.49696,0.81693,0.00924,0.4557,0.44233,0.35605,0.13159,2.41197,1.9901,0.02078,0.000156875,0.000156875,0.000156875
55,1946,1.4791,0.78432,0.00922,0.43794,0.44311,0.383,0.14242,2.3841,1.83805,0.02052,0.00013625,0.00013625,0.00013625
56,1978.72,1.47463,0.80048,0.00915,0.59239,0.38567,0.39576,0.14546,2.40669,1.93106,0.02071,0.000115625,0.000115625,0.000115625
57,2011.9,1.42802,0.77482,0.00885,0.63976,0.3871,0.40557,0.15108,2.37734,1.89898,0.0205,9.5e-05,9.5e-05,9.5e-05
58,2044.62,1.40948,0.75231,0.00858,0.60582,0.42479,0.41628,0.15405,2.39715,1.92464,0.02059,7.4375e-05,7.4375e-05,7.4375e-05
59,2078.3,1.40838,0.74929,0.00867,0.56915,0.43723,0.4213,0.15241,2.39281,1.93201,0.0206,5.375e-05,5.375e-05,5.375e-05
60,2111.61,1.41137,0.76023,0.0088,0.57249,0.44607,0.40453,0.14995,2.40524,1.88131,0.02068,3.3125e-05,3.3125e-05,3.3125e-05
