epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.301,2.00582,4.4642,0.00903,0.3189,0.35009,0.26854,0.11306,1.75977,3.84753,0.00985,0.00041445,0.00041445,0.00041445
2,243.501,1.78835,2.99801,0.00781,0.36648,0.46861,0.33701,0.14633,1.77403,2.73637,0.01,0.000817404,0.000817404,0.000817404
3,341.479,1.79349,2.41766,0.00777,0.37593,0.49634,0.37701,0.15736,1.83,2.27036,0.01041,0.00120661,0.00120661,0.00120661
4,439.394,1.81088,2.12715,0.00798,0.42736,0.47119,0.40653,0.17476,1.86054,2.07869,0.01074,0.00118812,0.00118812,0.00118812
5,529.599,1.80545,2.00028,0.00786,0.35322,0.5042,0.35488,0.15041,1.89958,2.07753,0.01116,0.0011675,0.0011675,0.0011675
6,627.162,1.80689,1.94191,0.00783,0.46083,0.49602,0.42183,0.18818,1.8502,1.91429,0.01053,0.00114688,0.00114688,0.00114688
7,715.107,1.79568,1.86687,0.00791,0.46277,0.50186,0.43972,0.2004,1.82182,1.87414,0.0104,0.00112625,0.00112625,0.00112625
8,803.365,1.80374,1.8476,0.00795,0.44679,0.53614,0.45391,0.20005,1.85823,1.75654,0.01065,0.00110563,0.00110563,0.00110563
9,887.977,1.79437,1.81283,0.00789,0.47425,0.50652,0.45497,0.20653,1.8397,1.79844,0.01058,0.001085,0.001085,0.001085
10,984.871,1.80952,1.78128,0.00787,0.43792,0.51904,0.44851,0.2002,1.86569,1.797,0.01087,0.00106437,0.00106437,0.00106437
11,1073.57,1.78897,1.77215,0.00789,0.4471,0.53211,0.46105,0.20944,1.86419,1.73972,0.01074,0.00104375,0.00104375,0.00104375
12,1172.38,1.79604,1.75737,0.00782,0.47826,0.53711,0.46965,0.20897,1.87106,1.76659,0.01065,0.00102312,0.00102312,0.00102312
13,1268.58,1.77814,1.74173,0.00775,0.45197,0.54219,0.46518,0.20965,1.84853,1.73393,0.01052,0.0010025,0.0010025,0.0010025
14,1367.31,1.77919,1.69882,0.00775,0.4862,0.53753,0.47996,0.22,1.90193,1.66718,0.0109,0.000981875,0.000981875,0.000981875
15,1463.1,1.77044,1.70258,0.0077,0.4623,0.52236,0.45526,0.1956,1.91788,1.76765,0.01127,0.00096125,0.00096125,0.00096125
16,1556.89,1.77265,1.68291,0.00772,0.48266,0.5205,0.46546,0.20752,1.88616,1.70673,0.01102,0.000940625,0.000940625,0.000940625
17,1640.38,1.77786,1.65863,0.00777,0.48574,0.52251,0.46905,0.21027,1.91114,1.68017,0.01102,0.00092,0.00092,0.00092
18,1730.11,1.76176,1.65578,0.00767,0.47946,0.53231,0.47996,0.21543,1.88644,1.70582,0.01086,0.000899375,0.000899375,0.000899375
19,1827.38,1.7584,1.62996,0.00775,0.44525,0.5513,0.47401,0.21458,1.89045,1.68657,0.01092,0.00087875,0.00087875,0.00087875
20,1916.18,1.75356,1.63226,0.00768,0.49423,0.52284,0.47108,0.21274,1.88229,1.6896,0.01091,0.000858125,0.000858125,0.000858125
21,2012.99,1.7589,1.62131,0.00764,0.45158,0.55231,0.47719,0.21649,1.85892,1.70464,0.01065,0.0008375,0.0008375,0.0008375
22,2107.48,1.75949,1.60961,0.00767,0.49969,0.5309,0.48997,0.21614,1.90794,1.63804,0.01104,0.000816875,0.000816875,0.000816875
23,2204.31,1.76316,1.59243,0.00777,0.50556,0.49989,0.47121,0.20904,1.89808,1.69602,0.01089,0.00079625,0.00079625,0.00079625
24,2302,1.75214,1.58677,0.00762,0.50121,0.54143,0.49278,0.2151,1.93242,1.63621,0.01127,0.000775625,0.000775625,0.000775625
25,2398.66,1.74814,1.57081,0.00765,0.50854,0.52277,0.47877,0.21509,1.88362,1.67594,0.01083,0.000755,0.000755,0.000755
26,2484.41,1.74474,1.56532,0.00754,0.50186,0.50285,0.48233,0.21538,1.92174,1.66476,0.01103,0.000734375,0.000734375,0.000734375
27,2570.59,1.73882,1.55573,0.0075,0.49811,0.52584,0.48129,0.21595,1.90949,1.66141,0.01107,0.00071375,0.00071375,0.00071375
28,2666.61,1.74617,1.52627,0.00758,0.48708,0.5439,0.48801,0.22246,1.87536,1.65308,0.01078,0.000693125,0.000693125,0.000693125
29,2755.58,1.74212,1.53628,0.0075,0.48034,0.51928,0.47239,0.2088,1.91188,1.67088,0.01107,0.0006725,0.0006725,0.0006725
30,2854.98,1.73495,1.51256,0.00754,0.47434,0.53932,0.48513,0.21932,1.91518,1.62648,0.01087,0.000651875,0.000651875,0.000651875
31,2945.86,1.73792,1.50267,0.00754,0.51992,0.55568,0.49457,0.21963,1.90944,1.62038,0.01096,0.00063125,0.00063125,0.00063125
32,3043.6,1.72483,1.47557,0.00736,0.47655,0.55258,0.48314,0.22102,1.90583,1.63658,0.01086,0.000610625,0.000610625,0.000610625
33,3134.18,1.73246,1.47793,0.00758,0.48003,0.52132,0.47181,0.21449,1.91693,1.7006,0.01112,0.00059,0.00059,0.00059
34,3223.89,1.72226,1.47078,0.00739,0.4936,0.53522,0.48152,0.21332,1.93052,1.6657,0.01109,0.000569375,0.000569375,0.000569375
35,3305.21,1.71663,1.45645,0.00739,0.49407,0.55882,0.4954,0.22108,1.93504,1.62839,0.01112,0.00054875,0.00054875,0.00054875
36,3401.37,1.71536,1.44352,0.0074,0.4747,0.5473,0.47283,0.20845,1.93685,1.67589,0.01117,0.000528125,0.000528125,0.000528125
37,3490.8,1.70183,1.42059,0.0074,0.47627,0.52409,0.46439,0.20707,1.96003,1.64785,0.01136,0.0005075,0.0005075,0.0005075
38,3587.82,1.71953,1.40107,0.00741,0.48622,0.53459,0.47008,0.20891,1.96284,1.65298,0.01129,0.000486875,0.000486875,0.000486875
39,3655.51,1.6988,1.36826,0.0073,0.49257,0.52532,0.47057,0.20524,1.96432,1.66845,0.01128,0.00046625,0.00046625,0.00046625
40,3723.79,1.70187,1.36065,0.00742,0.52183,0.50951,0.48176,0.2094,1.96983,1.70144,0.01138,0.000445625,0.000445625,0.000445625
41,3800.67,1.67875,1.35857,0.0073,0.46999,0.54737,0.46843,0.19872,1.9962,1.68433,0.01158,0.000425,0.000425,0.000425
42,3901.18,1.6813,1.33564,0.0073,0.48893,0.5397,0.47433,0.20645,1.98998,1.67769,0.01153,0.000404375,0.000404375,0.000404375
43,3999.01,1.6903,1.32528,0.00727,0.49269,0.52923,0.47963,0.21083,1.99019,1.67115,0.01151,0.00038375,0.00038375,0.00038375
44,4079.18,1.67915,1.33946,0.00725,0.47801,0.54281,0.477,0.20321,1.98814,1.71119,0.01155,0.000363125,0.000363125,0.000363125
45,4179.68,1.66922,1.32533,0.0072,0.51399,0.5124,0.46849,0.20183,2.0053,1.70678,0.01161,0.0003425,0.0003425,0.0003425
46,4278.29,1.65762,1.27901,0.00716,0.51433,0.50648,0.4684,0.19963,2.01176,1.72624,0.01171,0.000321875,0.000321875,0.000321875
47,4375.2,1.67207,1.28189,0.00714,0.47268,0.52753,0.45858,0.19848,2.00329,1.72035,0.01158,0.00030125,0.00030125,0.00030125
48,4479.3,1.65345,1.26289,0.0071,0.48444,0.52441,0.46147,0.19856,2.00317,1.7285,0.01161,0.000280625,0.000280625,0.000280625
49,4578.81,1.65534,1.25494,0.00719,0.47199,0.52259,0.45212,0.19192,2.04557,1.73861,0.01199,0.00026,0.00026,0.00026
50,4681.47,1.6525,1.2547,0.00707,0.48666,0.5251,0.45652,0.20093,2.00888,1.74085,0.01165,0.000239375,0.000239375,0.000239375
51,4783.98,1.64964,1.11433,0.00846,0.46402,0.5322,0.46176,0.19725,2.02225,1.73146,0.01172,0.00021875,0.00021875,0.00021875
52,4867.55,1.61854,1.08061,0.00822,0.49205,0.50574,0.45395,0.19823,2.0228,1.74101,0.01176,0.000198125,0.000198125,0.000198125
53,4959.18,1.60637,1.04606,0.00812,0.49755,0.51039,0.45758,0.19357,2.03079,1.77074,0.01179,0.0001775,0.0001775,0.0001775
54,5055.71,1.59358,1.04095,0.00811,0.4756,0.50029,0.4442,0.18877,2.04944,1.77755,0.0119,0.000156875,0.000156875,0.000156875
55,5156.09,1.59444,1.01813,0.00812,0.48691,0.50345,0.45078,0.1908,2.0415,1.78377,0.01183,0.00013625,0.00013625,0.00013625
56,5249.57,1.5872,1.0082,0.00815,0.46747,0.53149,0.45696,0.19324,2.0465,1.75349,0.0119,0.000115625,0.000115625,0.000115625
57,5351.69,1.57815,0.99819,0.00791,0.49809,0.512,0.45208,0.19094,2.05573,1.76567,0.01194,9.5e-05,9.5e-05,9.5e-05
58,5444.91,1.56805,0.97819,0.00804,0.50136,0.49292,0.45072,0.19079,2.0465,1.78092,0.01188,7.4375e-05,7.4375e-05,7.4375e-05
59,5548.37,1.56658,0.98143,0.008,0.50022,0.4991,0.45076,0.19177,2.0478,1.78933,0.0119,5.375e-05,5.375e-05,5.375e-05
60,5639.96,1.56952,0.98122,0.00786,0.49369,0.50629,0.4501,0.19258,2.04453,1.7887,0.01185,3.3125e-05,3.3125e-05,3.3125e-05
