epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8408,2.67973,8.22554,0.01582,0.0002,0.06383,9e-05,1e-05,2.51514,8.79091,0.02274,0.000409946,0.000409946,0.000409946
2,68.1547,2.43778,7.05756,0.01424,0.00012,0.02209,0.00032,3e-05,2.48504,7.51599,0.02265,0.000821157,0.000821157,0.000821157
3,90.956,2.35573,5.54089,0.0135,0.76717,0.01736,0.0035,0.00058,2.05408,7.63619,0.01825,0.00122687,0.00122687,0.00122687
4,116.53,2.32913,4.58693,0.01358,0.50219,0.20553,0.003,0.00089,2.14078,13.1463,0.0196,0.00122525,0.00122525,0.00122525
5,136.708,2.32065,3.88392,0.01326,0.79939,0.05208,0.04763,0.01369,2.13763,5.24122,0.01806,0.001217,0.001217,0.001217
6,157.022,2.24015,3.53103,0.01247,0.62094,0.14569,0.09619,0.03091,2.08913,3.64973,0.01734,0.00120875,0.00120875,0.00120875
7,179.427,2.22818,3.26685,0.01247,0.59486,0.17502,0.1211,0.03706,2.11379,3.59772,0.01775,0.0012005,0.0012005,0.0012005
8,197.431,2.20242,3.13975,0.01247,0.60997,0.11074,0.08176,0.02108,2.19001,3.84509,0.01867,0.00119225,0.00119225,0.00119225
9,215.109,2.18121,3.0112,0.01176,0.60541,0.09907,0.08131,0.02269,2.22998,3.74225,0.01907,0.001184,0.001184,0.001184
10,232.824,2.21553,2.95454,0.01241,0.64307,0.16061,0.13627,0.03927,2.05873,3.20755,0.01719,0.00117575,0.00117575,0.00117575
11,250.71,2.1912,2.8397,0.01232,0.61474,0.17472,0.0989,0.02987,2.02736,3.8889,0.01717,0.0011675,0.0011675,0.0011675
12,268.646,2.17471,2.85501,0.01209,0.74605,0.21365,0.21305,0.06879,2.16116,2.99159,0.01832,0.00115925,0.00115925,0.00115925
13,287.329,2.13375,2.73892,0.01193,0.7187,0.20667,0.19509,0.0634,2.11627,2.77085,0.01749,0.001151,0.001151,0.001151
14,309.705,2.16706,2.72662,0.0121,0.68754,0.22584,0.20128,0.06511,2.05878,2.81185,0.0171,0.00114275,0.00114275,0.00114275
15,334.132,2.14437,2.69747,0.012,0.45101,0.2059,0.17671,0.06208,2.05741,2.76589,0.01743,0.0011345,0.0011345,0.0011345
16,353.833,2.10558,2.67642,0.01156,0.7516,0.22895,0.24434,0.08174,2.07795,2.59655,0.0175,0.00112625,0.00112625,0.00112625
17,375.997,2.10601,2.6305,0.01187,0.7748,0.19504,0.24112,0.07787,2.09749,2.69874,0.01762,0.001118,0.001118,0.001118
18,401.413,2.08103,2.5771,0.01164,0.75938,0.23138,0.26927,0.09302,2.04377,2.55717,0.01699,0.00110975,0.00110975,0.00110975
19,426.443,2.09784,2.59074,0.01156,0.77363,0.1981,0.25851,0.07649,2.04813,2.5528,0.01757,0.0011015,0.0011015,0.0011015
20,450.815,2.08405,2.55138,0.0117,0.5056,0.23013,0.24578,0.08192,2.11103,2.45619,0.01825,0.00109325,0.00109325,0.00109325
21,476.787,2.04934,2.57246,0.01132,0.74967,0.22951,0.28211,0.10005,1.98587,2.81289,0.01668,0.001085,0.001085,0.001085
22,502.324,2.03712,2.53259,0.01134,0.8022,0.23742,0.28062,0.09639,2.14159,2.51523,0.01848,0.00107675,0.00107675,0.00107675
23,528.631,2.09881,2.47211,0.01133,0.78437,0.26271,0.29257,0.1009,2.05525,2.50668,0.01697,0.0010685,0.0010685,0.0010685
24,556.294,2.05845,2.43231,0.01125,0.54113,0.26086,0.30261,0.10969,2.07657,2.40736,0.01739,0.00106025,0.00106025,0.00106025
25,583.902,2.09451,2.41601,0.01155,0.77361,0.22606,0.25211,0.08132,2.20479,2.37941,0.01846,0.001052,0.001052,0.001052
26,610.232,2.08944,2.42395,0.0114,0.73624,0.28428,0.29287,0.09722,2.19916,2.31387,0.01832,0.00104375,0.00104375,0.00104375
27,637.59,2.09172,2.37596,0.01171,0.77376,0.24291,0.24831,0.08591,1.98851,2.94628,0.01695,0.0010355,0.0010355,0.0010355
28,664.119,2.05894,2.37614,0.01129,0.8173,0.27403,0.32188,0.11571,2.08433,2.28271,0.01757,0.00102725,0.00102725,0.00102725
