epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.243,2.70406,8.18023,0.01632,0.00019,0.06649,7e-05,1e-05,2.46183,8.3597,0.02148,0.000413279,0.000413279,0.000413279
2,219.203,2.47391,6.733,0.01452,0.00083,0.10934,0.00071,0.00016,3.37394,6.72897,0.03213,0.000824468,0.000824468,0.000824468
3,294.506,2.40722,5.1586,0.01434,0.61182,0.1091,0.06645,0.01993,2.254,4.81366,0.01945,0.00123016,0.00123016,0.00123016
4,367.629,2.28317,4.14772,0.01327,0.57754,0.13342,0.05064,0.01349,2.31317,4.70194,0.02049,0.00122525,0.00122525,0.00122525
5,436.905,2.29773,3.54528,0.01295,0.59394,0.14266,0.08004,0.02181,2.1329,3.53815,0.01816,0.001217,0.001217,0.001217
6,509.725,2.27479,3.33411,0.01294,0.5829,0.16103,0.08071,0.02144,2.23662,3.6493,0.01897,0.00120875,0.00120875,0.00120875
7,577.935,2.2707,3.22588,0.01321,0.63796,0.17181,0.09043,0.02338,2.11173,3.46302,0.01755,0.0012005,0.0012005,0.0012005
8,651.306,2.22476,3.0477,0.01277,0.63333,0.1488,0.09062,0.02392,2.26249,3.6029,0.01883,0.00119225,0.00119225,0.00119225
9,725.436,2.1741,2.89287,0.01245,0.64345,0.21811,0.15541,0.04077,2.27757,3.00459,0.01884,0.001184,0.001184,0.001184
10,797.701,2.22453,2.85297,0.01239,0.66457,0.14266,0.16485,0.04953,2.12205,3.1822,0.01756,0.00117575,0.00117575,0.00117575
11,872.483,2.15889,2.85023,0.01206,0.69088,0.20028,0.19027,0.05954,2.18306,2.76073,0.01826,0.0011675,0.0011675,0.0011675
12,944.805,2.19548,2.74811,0.01237,0.86463,0.10069,0.14093,0.04205,2.33431,3.21187,0.01914,0.00115925,0.00115925,0.00115925
13,1014.79,2.18386,2.71517,0.01253,0.73366,0.18617,0.20991,0.06391,2.18477,2.84098,0.01783,0.001151,0.001151,0.001151
14,1091,2.15939,2.66159,0.01226,0.67585,0.19786,0.18638,0.05581,2.24499,2.71787,0.01858,0.00114275,0.00114275,0.00114275
15,1163.02,2.13819,2.61403,0.01187,0.68848,0.22013,0.20508,0.0683,2.20448,3.02013,0.0179,0.0011345,0.0011345,0.0011345
16,1233.29,2.1523,2.61842,0.01192,0.77576,0.1892,0.22702,0.08005,2.07108,2.88261,0.01713,0.00112625,0.00112625,0.00112625
17,1304.73,2.11607,2.61135,0.01184,0.72512,0.22252,0.23081,0.08221,2.07731,2.73751,0.01716,0.001118,0.001118,0.001118
18,1374.98,2.11758,2.50629,0.01143,0.76237,0.21277,0.25717,0.09042,2.04689,2.66137,0.01707,0.00110975,0.00110975,0.00110975
19,1446.7,2.10556,2.52144,0.01162,0.70969,0.21786,0.2075,0.05772,2.28918,2.85222,0.01893,0.0011015,0.0011015,0.0011015
20,1518.52,2.10917,2.4969,0.01177,0.76107,0.25222,0.27023,0.08897,2.09258,2.49564,0.01728,0.00109325,0.00109325,0.00109325
21,1591.4,2.07057,2.52552,0.01154,0.72143,0.22941,0.24793,0.07995,2.14332,2.55257,0.01744,0.001085,0.001085,0.001085
22,1665.18,2.15608,2.49567,0.01198,0.74511,0.25798,0.25565,0.08192,2.24233,2.48109,0.01847,0.00107675,0.00107675,0.00107675
23,1742.62,2.07123,2.43372,0.0115,0.75718,0.26426,0.28411,0.0965,2.07452,2.46077,0.01711,0.0010685,0.0010685,0.0010685
24,1815.2,2.08374,2.42503,0.01146,0.78236,0.27521,0.28829,0.09477,2.11559,2.42393,0.01731,0.00106025,0.00106025,0.00106025
25,1885.12,2.07779,2.38715,0.01144,0.7622,0.25731,0.26664,0.08535,2.23005,2.30066,0.01832,0.001052,0.001052,0.001052
26,1959.21,2.1094,2.39149,0.01181,0.76515,0.26921,0.2463,0.08491,2.16386,2.3926,0.01837,0.00104375,0.00104375,0.00104375
27,2029.91,2.08845,2.29997,0.0117,0.73827,0.23729,0.25533,0.08538,2.17773,2.30648,0.01788,0.0010355,0.0010355,0.0010355
28,2101.7,2.07615,2.29911,0.01149,0.75617,0.26426,0.27101,0.08734,2.25315,2.3426,0.01887,0.00102725,0.00102725,0.00102725
29,2173.04,2.05868,2.27498,0.01144,0.48733,0.29448,0.29442,0.09759,2.21334,2.30062,0.01839,0.001019,0.001019,0.001019
30,2243.22,2.05744,2.32809,0.01164,0.80294,0.25879,0.26885,0.09576,2.06702,2.48321,0.01709,0.00101075,0.00101075,0.00101075
31,2314.62,2.0208,2.33548,0.01135,0.79985,0.27314,0.29258,0.10237,2.08923,2.21898,0.01714,0.0010025,0.0010025,0.0010025
32,2388.31,2.09261,2.2449,0.01202,0.82,0.27045,0.30956,0.10628,2.15528,2.24364,0.0182,0.00099425,0.00099425,0.00099425
33,2465.38,2.09222,2.27798,0.01166,0.7569,0.29643,0.30137,0.09406,2.19259,2.31431,0.01857,0.000986,0.000986,0.000986
34,2540.49,2.03284,2.25626,0.01117,0.78078,0.26298,0.30536,0.10937,2.02242,2.23616,0.01678,0.00097775,0.00097775,0.00097775
35,2611.48,2.07215,2.20773,0.01144,0.77193,0.28275,0.29588,0.1128,2.08005,2.20107,0.01759,0.0009695,0.0009695,0.0009695
36,2682.6,2.0388,2.22096,0.01136,0.79927,0.24077,0.26487,0.0866,2.22298,2.40295,0.01849,0.00096125,0.00096125,0.00096125
37,2752.68,2.04823,2.22652,0.01146,0.80647,0.24041,0.26569,0.09257,2.20453,2.2239,0.01845,0.000953,0.000953,0.000953
38,2826.58,2.02395,2.17478,0.01109,0.81405,0.27475,0.28419,0.09864,2.10754,2.36977,0.01734,0.00094475,0.00094475,0.00094475
39,2897.04,2.02725,2.21262,0.01123,0.79203,0.26105,0.27519,0.09706,2.17234,2.33058,0.01794,0.0009365,0.0009365,0.0009365
40,2969.1,2.05707,2.16475,0.01153,0.80132,0.26854,0.32112,0.11641,2.08008,2.13955,0.01727,0.00092825,0.00092825,0.00092825
41,3040.4,2.00747,2.14862,0.01119,0.72112,0.30911,0.30115,0.10769,2.19255,2.15657,0.01834,0.00092,0.00092,0.00092
42,3112.81,2.00857,2.08182,0.01113,0.50651,0.27733,0.27359,0.09388,2.21983,2.35375,0.01851,0.00091175,0.00091175,0.00091175
43,3187.59,2.01166,2.10315,0.01098,0.77307,0.27431,0.30899,0.11388,2.10301,2.12219,0.0176,0.0009035,0.0009035,0.0009035
44,3263.5,2.02649,2.10726,0.01125,0.79446,0.27329,0.31456,0.11198,2.16196,2.1542,0.01819,0.00089525,0.00089525,0.00089525
45,3336.49,2.0127,2.0745,0.0111,0.51825,0.30803,0.29237,0.1011,2.16617,2.06903,0.018,0.000887,0.000887,0.000887
46,3408.78,2.0432,2.06127,0.01134,0.78696,0.26899,0.29272,0.09066,2.33239,2.23484,0.01945,0.00087875,0.00087875,0.00087875
47,3479.91,1.99986,2.08673,0.01111,0.80511,0.27283,0.31239,0.11237,2.12654,2.25097,0.01762,0.0008705,0.0008705,0.0008705
48,3551.21,2.01988,2.06633,0.01118,0.56669,0.31355,0.30177,0.10488,2.22773,2.0899,0.01853,0.00086225,0.00086225,0.00086225
49,3621.19,2.04977,2.05583,0.01142,0.81285,0.2651,0.29969,0.10784,2.19074,2.20636,0.01841,0.000854,0.000854,0.000854
50,3692.91,1.9861,2.07699,0.01062,0.82989,0.29477,0.34859,0.1224,2.22982,2.18062,0.01859,0.00084575,0.00084575,0.00084575
51,3765.99,2.02169,2.08363,0.01097,0.54986,0.28251,0.31365,0.11329,2.11836,2.16396,0.01767,0.0008375,0.0008375,0.0008375
52,3839.13,2.01131,2.02749,0.01074,0.82806,0.26345,0.32313,0.11301,2.14273,2.16818,0.01771,0.00082925,0.00082925,0.00082925
53,3912.2,1.99725,2.07494,0.01109,0.83159,0.24763,0.33208,0.11009,2.24263,2.22256,0.01874,0.000821,0.000821,0.000821
54,3983.13,1.99147,2.01282,0.01112,0.84491,0.27615,0.34231,0.12075,2.20824,2.06996,0.01857,0.00081275,0.00081275,0.00081275
55,4054.44,1.98055,2.01099,0.01093,0.47768,0.28842,0.26868,0.08573,2.2814,2.2514,0.01902,0.0008045,0.0008045,0.0008045
56,4115.61,1.96438,1.96069,0.01083,0.51825,0.34277,0.32138,0.11381,2.24219,2.04746,0.01872,0.00079625,0.00079625,0.00079625
57,4163.98,1.98226,1.96555,0.01072,0.78848,0.30703,0.31898,0.10953,2.25097,2.16923,0.01879,0.000788,0.000788,0.000788
58,4208.9,1.96246,1.93784,0.0107,0.79044,0.27309,0.30734,0.09848,2.24113,2.20992,0.01839,0.00077975,0.00077975,0.00077975
