epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2818,2.62435,7.8571,0.01546,0,0,0,0,2.50421,8.78145,0.02211,0.000409946,0.000409946,0.000409946
2,83.0678,2.40007,6.8397,0.01409,0.00043,0.125,0.00072,0.00015,2.34781,7.14731,0.02079,0.000821157,0.000821157,0.000821157
3,114.984,2.30757,5.33997,0.01318,0.7754,0.03472,0.02599,0.0042,2.20698,6.33161,0.02008,0.00122687,0.00122687,0.00122687
4,147.879,2.29005,4.39566,0.01327,0.8342,0.02778,0.04002,0.01024,2.19333,6.39846,0.0186,0.00122525,0.00122525,0.00122525
5,183.752,2.32994,3.73628,0.01339,0.59151,0.14694,0.07333,0.01688,2.26545,4.16847,0.01863,0.001217,0.001217,0.001217
6,219.185,2.25518,3.43992,0.01264,0.53018,0.05659,0.01624,0.00386,2.60156,5.20526,0.02194,0.00120875,0.00120875,0.00120875
7,254.752,2.21984,3.2613,0.01241,0.84843,0.09028,0.12542,0.03528,2.03817,3.44713,0.01704,0.0012005,0.0012005,0.0012005
8,290.854,2.23377,3.10669,0.0127,0.70998,0.08252,0.10297,0.03025,2.05595,3.47148,0.0173,0.00119225,0.00119225,0.00119225
9,325.308,2.23428,2.94669,0.0121,0.66214,0.16733,0.12763,0.03923,2.09068,3.44073,0.01764,0.001184,0.001184,0.001184
10,356.582,2.22527,2.93459,0.01251,0.64622,0.19332,0.15985,0.0516,2.0806,3.07666,0.01732,0.00117575,0.00117575,0.00117575
11,385.88,2.21546,2.84523,0.01245,0.694,0.20523,0.17893,0.06187,2.02857,2.80929,0.01691,0.0011675,0.0011675,0.0011675
12,412.852,2.16302,2.83679,0.012,0.75183,0.18318,0.20869,0.06666,2.09077,2.90319,0.01725,0.00115925,0.00115925,0.00115925
13,438.787,2.17005,2.74299,0.01217,0.67992,0.15714,0.15366,0.05102,2.07092,3.29973,0.01752,0.001151,0.001151,0.001151
14,464.677,2.15069,2.73731,0.01197,0.76608,0.20893,0.22513,0.07722,2.01957,2.78236,0.01685,0.00114275,0.00114275,0.00114275
15,490.647,2.17602,2.66589,0.01218,0.71711,0.19906,0.18669,0.05482,2.14992,2.80018,0.01815,0.0011345,0.0011345,0.0011345
16,516.575,2.15832,2.58994,0.01188,0.74747,0.20338,0.2299,0.08556,2.14934,2.52535,0.01776,0.00112625,0.00112625,0.00112625
17,542.295,2.15806,2.5769,0.01213,0.72961,0.25493,0.24333,0.08869,2.13927,2.55261,0.0178,0.001118,0.001118,0.001118
18,568.785,2.12204,2.54715,0.01185,0.71772,0.23035,0.22581,0.07728,2.09713,2.58974,0.0172,0.00110975,0.00110975,0.00110975
19,596.505,2.08943,2.54958,0.01148,0.70944,0.27202,0.2366,0.08496,2.10319,2.61473,0.01734,0.0011015,0.0011015,0.0011015
20,626.564,2.11775,2.48046,0.01189,0.79988,0.22237,0.26339,0.089,2.18295,2.54364,0.01869,0.00109325,0.00109325,0.00109325
21,659.48,2.12859,2.51019,0.01185,0.72271,0.24158,0.25168,0.09618,2.082,2.46938,0.01734,0.001085,0.001085,0.001085
22,688.259,2.06683,2.47933,0.01156,0.81354,0.24468,0.26522,0.09859,2.06859,2.50039,0.01731,0.00107675,0.00107675,0.00107675
23,721.78,2.13731,2.46733,0.01155,0.73825,0.25813,0.2801,0.0989,2.12612,2.35412,0.01791,0.0010685,0.0010685,0.0010685
24,755.76,2.07165,2.43236,0.01134,0.77057,0.23035,0.26865,0.09457,2.07231,2.5823,0.01701,0.00106025,0.00106025,0.00106025
25,789.449,2.09773,2.4108,0.0115,0.80037,0.22319,0.2813,0.09902,2.04758,2.41232,0.01739,0.001052,0.001052,0.001052
26,822.375,2.07201,2.4665,0.01129,0.75183,0.25597,0.27527,0.10047,2.10962,2.38974,0.01756,0.00104375,0.00104375,0.00104375
27,855.761,2.12585,2.37804,0.01191,0.72473,0.28082,0.27707,0.09695,2.08243,2.44048,0.01762,0.0010355,0.0010355,0.0010355
28,888.658,2.09798,2.33462,0.01156,0.78205,0.25649,0.2858,0.10002,2.11768,2.3229,0.01737,0.00102725,0.00102725,0.00102725
29,922.483,2.0641,2.26253,0.01158,0.75299,0.27859,0.29115,0.10341,2.13049,2.41106,0.01779,0.001019,0.001019,0.001019
30,955.593,2.06559,2.37451,0.01142,0.45689,0.28147,0.27514,0.09668,2.09692,2.38438,0.01823,0.00101075,0.00101075,0.00101075
31,988.489,2.07,2.30344,0.01112,0.74792,0.2534,0.28097,0.09823,2.20995,2.32429,0.01917,0.0010025,0.0010025,0.0010025
32,1021.85,2.09853,2.25335,0.01148,0.7031,0.28125,0.26307,0.10063,2.11512,2.22409,0.01762,0.00099425,0.00099425,0.00099425
33,1055.45,2.09189,2.30334,0.01158,0.75651,0.24318,0.29041,0.10549,2.0818,2.44144,0.01766,0.000986,0.000986,0.000986
34,1089.46,2.08345,2.25609,0.01142,0.72607,0.24852,0.27234,0.09833,2.17339,2.28913,0.01845,0.00097775,0.00097775,0.00097775
35,1123.65,2.04868,2.22922,0.01154,0.48828,0.30947,0.29664,0.08886,2.2127,2.32544,0.01985,0.0009695,0.0009695,0.0009695
36,1157.19,2.04585,2.26881,0.01122,0.8121,0.26514,0.27649,0.1107,2.10969,2.25739,0.01771,0.00096125,0.00096125,0.00096125
37,1190.37,2.05861,2.22774,0.01136,0.7809,0.25,0.27705,0.09886,2.12044,2.31737,0.01808,0.000953,0.000953,0.000953
38,1223.03,2.02972,2.20001,0.01117,0.78657,0.24793,0.27859,0.10089,2.14634,2.3698,0.01836,0.00094475,0.00094475,0.00094475
39,1256.07,2.02385,2.17527,0.01089,0.74705,0.27386,0.28475,0.10464,2.17346,2.32199,0.01842,0.0009365,0.0009365,0.0009365
40,1289.35,2.06791,2.17955,0.01124,0.75668,0.25244,0.2929,0.10509,2.04949,2.28905,0.01718,0.00092825,0.00092825,0.00092825
41,1322.9,1.99763,2.20438,0.01105,0.76167,0.27756,0.32519,0.11959,2.1131,2.2902,0.01777,0.00092,0.00092,0.00092
42,1355.98,2.00891,2.13501,0.01103,0.76675,0.26758,0.26775,0.09618,2.16564,2.34098,0.0179,0.00091175,0.00091175,0.00091175
43,1387.88,2.03898,2.1336,0.01114,0.74208,0.289,0.30557,0.10522,2.07,2.28005,0.01726,0.0009035,0.0009035,0.0009035
44,1421.57,2.02115,2.15547,0.01121,0.57141,0.30054,0.29267,0.10635,2.15281,2.23882,0.01848,0.00089525,0.00089525,0.00089525
45,1455.69,2.06925,2.1183,0.01122,0.5422,0.33785,0.29317,0.10426,2.1828,2.18856,0.01875,0.000887,0.000887,0.000887
46,1490.56,2.01265,2.03816,0.01099,0.53929,0.35411,0.32975,0.11516,2.13885,2.1556,0.01833,0.00087875,0.00087875,0.00087875
47,1527.36,2.00821,2.14764,0.01108,0.79282,0.25857,0.29757,0.10147,2.18135,2.16963,0.01828,0.0008705,0.0008705,0.0008705
48,1568.26,2.01804,2.08341,0.01107,0.78759,0.26269,0.31256,0.10442,2.17427,2.1921,0.01836,0.00086225,0.00086225,0.00086225
49,1607.18,1.98335,2.08408,0.01059,0.73529,0.32674,0.32419,0.10991,2.21597,2.08959,0.01904,0.000854,0.000854,0.000854
50,1646.96,2.01524,2.08676,0.01102,0.75851,0.27962,0.30877,0.09811,2.26939,2.33824,0.01976,0.00084575,0.00084575,0.00084575
51,1681.99,2.00071,2.08019,0.01083,0.79159,0.30326,0.30117,0.1067,2.24266,2.07484,0.01914,0.0008375,0.0008375,0.0008375
52,1720.75,2.02162,1.98772,0.01092,0.54623,0.32647,0.30319,0.10823,2.24176,2.19476,0.01877,0.00082925,0.00082925,0.00082925
53,1759.87,1.99579,2.08964,0.01099,0.63528,0.29392,0.27103,0.09051,2.28342,2.18429,0.01918,0.000821,0.000821,0.000821
54,1798.67,2.00392,2.01405,0.01094,0.79435,0.2798,0.28274,0.0931,2.25961,2.07233,0.01908,0.00081275,0.00081275,0.00081275
55,1838.16,1.97815,2.02906,0.01062,0.77921,0.28117,0.30384,0.10341,2.22325,2.11074,0.01912,0.0008045,0.0008045,0.0008045
56,1878.97,1.99059,2.00364,0.01093,0.52938,0.32449,0.29868,0.10595,2.20249,2.16241,0.01892,0.00079625,0.00079625,0.00079625
57,1918.45,2.00991,2.00159,0.01086,0.42718,0.33509,0.28329,0.10116,2.34874,2.18183,0.0201,0.000788,0.000788,0.000788
58,1959,2.01456,1.98544,0.0108,0.82032,0.28275,0.3304,0.11969,2.21197,2.08204,0.01881,0.00077975,0.00077975,0.00077975
59,1998.46,1.98114,1.97962,0.01069,0.82907,0.27187,0.31515,0.11006,2.19485,2.28626,0.0184,0.0007715,0.0007715,0.0007715
