epoch,step,test/AP/B1,test/AP/B2,test/AP/B3,test/AP/B4,test/F1,test/loss,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3373658061027527,0.1663753092288971,0.2356988489627838,0.1384086161851883,0.5191199779510498,295.3291931152344,295.3291931152344,295.30694580078125,295.32672119140625,295.3291931152344,32.397743225097656,0.5118157863616943,0.22469820082187653,0.5539921522140503,8.727861404418945,0.041525423526763916,0.04252999275922775,0.042339026927948,0.041958220303058624,0.04544047638773918,0.8945302963256836,0.9110532999038696,0.8888741731643677,0.892814040184021,0.8985251188278198,0.3110584616661072,0.3158452808856964,0.31551167368888855,0.3128425180912018,0.33129191398620605,0.4965793788433075,0.21946214139461517,0.1649332046508789,0.5524436235427856,0.48301976919174194,0.5806460976600647
0,187,,,,,,,,,,,,,3894.62890625,3895.037841796875,3894.310546875,3894.678955078125,3895.0810546875,40.58573913574219,9.15325927734375,0.047293536365032196,0.04846198111772537,0.048254240304231644,0.04746013507246971,0.051141053438186646,0.9385020732879639,0.9614160656929016,0.9379445314407349,0.9390596151351929,0.9505418539047241,0.3164331912994385,0.31955692172050476,0.32049858570098877,0.31729456782341003,0.33258751034736633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3844473659992218,0.20514370501041412,0.24283947050571442,0.15352492034435272,0.5423400402069092,295.3291931152344,295.32672119140625,295.28466796875,295.32672119140625,295.3291931152344,32.152732849121094,0.5394156575202942,0.25020140409469604,0.5529839396476746,8.578018188476562,0.04014179855585098,0.041996508836746216,0.041192881762981415,0.04038894921541214,0.044503193348646164,0.8841352462768555,0.889525830745697,0.8784645199775696,0.8792266249656677,0.8805078268051147,0.30536195635795593,0.31321290135383606,0.3111102879047394,0.30769461393356323,0.3251413106918335,0.5330678820610046,0.24648886919021606,0.18904338777065277,0.5414357781410217,0.49062231183052063,0.6403486728668213
1,375,,,,,,,,,,,,,3895.402587890625,3895.3125,3894.9052734375,3895.243896484375,3895.38525390625,31.446786880493164,8.572141647338867,0.04385630786418915,0.044787533581256866,0.04452705755829811,0.04407816380262375,0.047577012330293655,0.8829323053359985,0.8974345326423645,0.882539689540863,0.8831422924995422,0.8917936086654663,0.29645490646362305,0.2994820475578308,0.298946738243103,0.2973387837409973,0.3128614127635956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3817780911922455,0.21973460912704468,0.25061503052711487,0.1448078602552414,0.5485016107559204,295.3291931152344,295.3291931152344,295.2747497558594,295.3193054199219,295.3291931152344,30.121904373168945,0.5575831532478333,0.25560304522514343,0.5472644567489624,8.50579833984375,0.03961823880672455,0.04127417877316475,0.041072238236665726,0.03996655344963074,0.042725250124931335,0.8710422515869141,0.8782733082771301,0.8659214973449707,0.8696384429931641,0.8779011964797974,0.305968314409256,0.31332069635391235,0.3130834698677063,0.30743810534477234,0.32005971670150757,0.5359046459197998,0.2492339015007019,0.1944732815027237,0.5402712821960449,0.4788435995578766,0.6443136930465698
2,563,,,,,,,,,,,,,3895.377685546875,3895.28125,3894.45068359375,3895.27587890625,3895.356689453125,29.349544525146484,8.468698501586914,0.04325862601399422,0.04477990046143532,0.0443815179169178,0.04371539130806923,0.047891128808259964,0.8741036057472229,0.8834463953971863,0.8692565560340881,0.8718535900115967,0.8800126910209656,0.29034942388534546,0.29617491364479065,0.2956831157207489,0.29239141941070557,0.3103448450565338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39475107192993164,0.2139207422733307,0.25571209192276,0.15770509839057922,0.5718339085578918,295.3291931152344,295.3291931152344,295.2698059082031,295.3118896484375,295.3291931152344,29.85194206237793,0.5630279779434204,0.2585774064064026,0.5512207746505737,8.462475776672363,0.03974826633930206,0.04117073863744736,0.04014529287815094,0.04048305004835129,0.04241931438446045,0.8694441318511963,0.8754274249076843,0.8688787817955017,0.8650895953178406,0.870396077632904,0.3047615885734558,0.31009939312934875,0.30637070536613464,0.3074026107788086,0.3180690109729767,0.5634669065475464,0.2555222511291504,0.19402724504470825,0.5411975979804993,0.5226371884346008,0.6412208080291748
3,751,,,,,,,,,,,,,3895.41259765625,3895.25244140625,3893.972412109375,3895.31494140625,3895.411865234375,28.73794937133789,8.362858772277832,0.04188701882958412,0.043452512472867966,0.042655229568481445,0.04224221780896187,0.045515794306993484,0.8698211908340454,0.877336859703064,0.8683230876922607,0.8680503368377686,0.8787475228309631,0.2867782413959503,0.29279205203056335,0.290039986371994,0.28836992383003235,0.3029262125492096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
