query_id,openalex_id,doi,year,type,title,venue,authors,cited_by_count,is_oa,abstract
Q5,W2887311010,10.1016/j.compag.2018.08.001,2018,review,Computer vision and artificial intelligence in precision agriculture for grain crops: A systematic review,Computers and Electronics in Agriculture,Diego Patrício; Rafael Rieder,923,True,
Q5,W2936307272,10.1016/j.compag.2019.04.017,2019,article,Deep learning – Method overview and review of use for fruit detection and yield estimation,Computers and Electronics in Agriculture,Anand Koirala; Kerry B. Walsh; Zhenglin Wang; Cheryl McCarthy,556,True,
Q5,W3083926560,10.1016/j.compag.2020.105760,2020,article,A survey of public datasets for computer vision tasks in precision agriculture,Computers and Electronics in Agriculture,Yuzhen Lu; Sierra Young,372,True,"Computer vision technologies have attracted significant interest in precision agriculture in recent years. At the core of robotics and artificial intelligence, computer vision enables various tasks from planting to harvesting in the crop production cycle to be performed automatically and efficiently. However, the scarcity of public image datasets remains a crucial bottleneck for fast prototyping and evaluation of computer vision and machine learning algorithms for the targeted tasks. Since 2015, a number of image datasets have been established and made publicly available to alleviate this bottleneck. Despite this progress, a dedicated survey on these datasets is still lacking. To fill this gap, this paper makes the first comprehensive but not exhaustive review of the public image datasets collected under field conditions for facilitating precision agriculture, which include 15 datasets on weed control, 10 datasets on fruit detection, and 9 datasets on miscellaneous applications. We survey the main characteristics and applications of these datasets, and discuss the key considerations for creating high-quality public image datasets. This survey paper will be valuable for the research community on the selection of suitable image datasets for algorithm development and identification of where creation of new image datasets is needed to support precision agriculture."
Q5,W3120697286,10.1109/access.2020.3048415,2020,article,Machine Learning Applications for Precision Agriculture: A Comprehensive Review,IEEE Access,Abhinav Sharma; Arpit Jain; Prateek Gupta; Vinay Chowdary,1048,True,"Agriculture plays a vital role in the economic growth of any country. With the increase of population, frequent changes in climatic conditions and limited resources, it becomes a challenging task to fulfil the food requirement of the present population. Precision agriculture also known as smart farming have emerged as an innovative tool to address current challenges in agricultural sustainability. The mechanism that drives this cutting edge technology is machine learning (ML). It gives the machine ability to learn without being explicitly programmed. ML together with IoT (Internet of Things) enabled farm machinery are key components of the next agriculture revolution. In this article, authors present a systematic review of ML applications in the field of agriculture. The areas that are focused are prediction of soil parameters such as organic carbon and moisture content, crop yield prediction, disease and weed detection in crops and species detection. ML with computer vision are reviewed for the classification of a different set of crop images in order to monitor the crop quality and yield assessment. This approach can be integrated for enhanced livestock production by predicting fertility patterns, diagnosing eating disorders, cattle behaviour based on ML models using data collected by collar sensors, etc. Intelligent irrigation which includes drip irrigation and intelligent harvesting techniques are also reviewed that reduces human labour to a great extent. This article demonstrates how knowledge-based agriculture can improve the sustainable productivity and quality of the product."
Q5,W4406488712,10.1007/s10462-024-11100-x,2025,article,"Deep learning and computer vision in plant disease detection: a comprehensive review of techniques, models, and trends in precision agriculture",Artificial Intelligence Review,Abhishek Upadhyay; Narendra Singh Chandel; Krishna Pratap Singh; Subir Kumar Chakraborty,355,True,"Abstract Plant diseases cause significant damage to agriculture, leading to substantial yield losses and posing a major threat to food security. Detection, identification, quantification, and diagnosis of plant diseases are crucial parts of precision agriculture and crop protection. Modernizing agriculture and improving production efficiency are significantly affected by using computer vision technology for crop disease diagnosis. This technology is notable for its non-destructive nature, speed, real-time responsiveness, and precision. Deep learning (DL), a recent breakthrough in computer vision, has become a focal point in agricultural plant protection that can minimize the biases of manually selecting disease spot features. This study reviews the techniques and tools used for automatic disease identification, state-of-the-art DL models, and recent trends in DL-based image analysis. The techniques, performance, benefits, drawbacks, underlying frameworks, and reference datasets of more than 278 research articles were analyzed and subsequently highlighted in accordance with the architecture of computer vision and deep learning models. Key findings include the effectiveness of imaging techniques and sensors like RGB, multispectral, and hyperspectral cameras for early disease detection. Researchers also evaluated various DL architectures, such as convolutional neural networks, vision transformers, generative adversarial networks, vision language models, and foundation models. Moreover, the study connects academic research with practical agricultural applications, providing guidance on the suitability of these models for production environments. This comprehensive review offers valuable insights into the current state and future directions of deep learning in plant disease detection, making it a significant resource for researchers, academicians, and practitioners in precision agriculture."
Q5,W2993044411,10.3390/jimaging5120089,2019,article,Machine Vision Systems in Precision Agriculture for Crop Farming,Journal of Imaging,Efthimia Mavridou; Εleni Vrochidou; George A. Papakostas; Theodore Pachidis,286,True,"Machine vision for precision agriculture has attracted considerable research interest in recent years. The aim of this paper is to review the most recent work in the application of machine vision to agriculture, mainly for crop farming. This study can serve as a research guide for the researcher and practitioner alike in applying cognitive technology to agriculture. Studies of different agricultural activities that support crop harvesting are reviewed, such as fruit grading, fruit counting, and yield estimation. Moreover, plant health monitoring approaches are addressed, including weed, insect, and disease detection. Finally, recent research efforts considering vehicle guidance systems and agricultural harvesting robots are also reviewed."
Q5,W3210997334,10.1109/mgrs.2021.3115137,2021,article,Deep Learning for Unmanned Aerial Vehicle-Based Object Detection and Tracking: A survey,IEEE Geoscience and Remote Sensing Magazine,Xin Wu; Wei Li; Danfeng Hong; Ran Tao,342,True,"Owing to effective and flexible data acquisition, unmanned aerial vehicles (UAVs) have recently become a hotspot across the fields of computer vision (CV) and remote sensing (RS). Inspired by the recent success of deep learning (DL), many advanced object detection and tracking approaches have been widely applied to various UAV-related tasks, such as environmental monitoring, precision agriculture, and traffic management."
Q5,W2396098103,10.1016/j.compag.2015.05.021,2015,article,Sensors and systems for fruit detection and localization: A review,Computers and Electronics in Agriculture,Aleana Gongal; Suraj Amatya; Manoj Karkee; Q. Zhang,561,False,
Q5,W4280638333,10.1016/j.ecoinf.2022.101678,2022,review,A systematic review on hyperspectral imaging technology with a machine and deep learning methodology for agricultural applications,Ecological Informatics,Atiya Khan; Amol D. Vibhute; Shankar Mali; Chandrashekhar H. Patil,366,False,
Q5,W4390395337,10.3390/rs16010149,2023,article,A Survey of Object Detection for UAVs Based on Deep Learning,Remote Sensing,Guangyi Tang; Jianjun Ni; Yonghao Zhao; Yang Gu,191,True,"With the rapid development of object detection technology for unmanned aerial vehicles (UAVs), it is convenient to collect data from UAV aerial photographs. They have a wide range of applications in several fields, such as monitoring, geological exploration, precision agriculture, and disaster early warning. In recent years, many methods based on artificial intelligence have been proposed for UAV object detection, and deep learning is a key area in this field. Significant progress has been achieved in the area of deep-learning-based UAV object detection. Thus, this paper presents a review of recent research on deep-learning-based UAV object detection. This survey provides an overview of the development of UAVs and summarizes the deep-learning-based methods in object detection for UAVs. In addition, the key issues in UAV object detection are analyzed, such as small object detection, object detection under complex backgrounds, object rotation, scale change, and category imbalance problems. Then, some representative solutions based on deep learning for these issues are summarized. Finally, future research directions in the field of UAV object detection are discussed."
Q5,W4397001018,10.1016/j.compag.2024.109037,2024,review,A systematic review of hyperspectral imaging in precision agriculture: Analysis of its current state and future prospects,Computers and Electronics in Agriculture,Billy G. Ram; Peter G. Oduor; C. Igathinathane; Kirk Howatt,264,True,"Hyperspectral sensor adaptability in precision agriculture to digital images is still at its nascent stage. Hyperspectral imaging (HSI) is data rich in solving agricultural problems like disease detection, weed detection, stress detection, crop monitoring, nutrient application, soil mineralogy, yield estimation, and sorting applications. With modern precision agriculture, the challenge now is to bring these applications to the field for real-time solutions, where machines are enabled to conduct analyses without expert supervision and communicate the results to users for better management of farmlands; a necessary step to gain complete autonomy in agricultural farmlands. Significant advancements in HSI technology for precision agriculture are required to fully realize its potential. As a wide-ranging collection of the status of HSI and analysis in precision agriculture is lacking, this review endeavors to provide a comprehensive overview of the recent advancements and trends of HSI in precision agriculture for real-time applications. In this study, a systematic review of 163 scientific articles published over the past twenty years (2003–2023) was conducted. Of these, 97 were selected for further analysis based on their relevance to the topic at hand. Topics include conventional data preprocessing techniques, hyperspectral data acquisition, data compression methods, and segmentation methods. The hardware implementation of field-programmable gate arrays (FPGAs) and graphics processing units (GPUs) for high-speed data processing and application of machine learning and deep learning technologies were explored. This review highlights the potential of HSI as a powerful tool for precision agriculture, particularly in real-time applications, discusses limitations, and provides insights into future research directions."
Q5,W4298148810,10.1016/j.aiia.2022.09.007,2022,article,Deep learning based computer vision approaches for smart agricultural applications,Artificial Intelligence in Agriculture,V. G. Dhanya; A. Subeesh; Nand Lal Kushwaha; Dinesh Kumar Vishwakarma,290,True,"The agriculture industry is undergoing a rapid digital transformation and is growing powerful by the pillars of cutting-edge approaches like artificial intelligence and allied technologies. At the core of artificial intelligence, deep learning-based computer vision enables various agriculture activities to be performed automatically with utmost precision enabling smart agriculture into reality. Computer vision techniques, in conjunction with high-quality image acquisition using remote cameras, enable non-contact and efficient technology-driven solutions in agriculture. This review contributes to providing state-of-the-art computer vision technologies based on deep learning that can assist farmers in operations starting from land preparation to harvesting operations. Recent works in the area of computer vision were analyzed in this paper and categorized into (a) seed quality analysis, (b) soil analysis, (c) irrigation water management, (d) plant health analysis, (e) weed management (f) livestock management and (g) yield estimation. The paper also discusses recent trends in computer vision such as generative adversarial networks (GAN), vision transformers (ViT) and other popular deep learning architectures. Additionally, this study pinpoints the challenges in implementing the solutions in the farmer’s field in real-time. The overall finding indicates that convolutional neural networks are the corner stone of modern computer vision approaches and their various architectures provide high-quality solutions across various agriculture activities in terms of precision and accuracy. However, the success of the computer vision approach lies in building the model on a quality dataset and providing real-time solutions."
Q5,W3189663779,10.1109/access.2021.3102227,2021,article,Big Data and AI Revolution in Precision Agriculture: Survey and Challenges,IEEE Access,Showkat Ahmad Bhat; Nen-Fu Huang,407,True,"Sustainable agricultural development is a significant solution with fast population development through the use of information and communication (ICT) in precision agriculture, which produced new methods for making cultivation further productive, proficient, well-regulated while preserving the climate. Big data (machine learning, deep learning, etc.) is amongst the vital technologies of ICT employed in precision agriculture for their huge data analytical capabilities to abstract significant information and to assist agricultural practitioners to comprehend well farming practices and take precise decisions. The main goal of this article is to acquire an awareness of the Big Data latest applications in smart agriculture and be acquainted with related social and financial challenges to be concentrated on. This article features data creation methods, accessibility of technology, accessibility of devices, software tools, and data analytic methods, and appropriate applications of big data in precision agriculture. Besides, there are still a few challenges that come across the widespread implementation of big data technology in agriculture."
Q5,W3175992990,10.3389/fpls.2021.684328,2021,article,Intelligent Fruit Yield Estimation for Orchards Using Deep Learning Based Semantic Segmentation Techniques—A Review,Frontiers in Plant Science,Prabhakar Maheswari; Purushothaman Raja; Orly Enrique Apolo-Apolo; Manuel Pérez Ruiz,129,True,"Smart farming employs intelligent systems for every domain of agriculture to obtain sustainable economic growth with the available resources using advanced technologies. Deep Learning (DL) is a sophisticated artificial neural network architecture that provides state-of-the-art results in smart farming applications. One of the main tasks in this domain is yield estimation. Manual yield estimation undergoes many hurdles such as labor-intensive, time-consuming, imprecise results, etc. These issues motivate the development of an intelligent fruit yield estimation system that offers more benefits to the farmers in deciding harvesting, marketing, etc. Semantic segmentation combined with DL adds promising results in fruit detection and localization by performing pixel-based prediction. This paper reviews the different literature employing various techniques for fruit yield estimation using DL-based semantic segmentation architectures. It also discusses the challenging issues that occur during intelligent fruit yield estimation such as sampling, collection, annotation and data augmentation, fruit detection, and counting. Results show that the fruit yield estimation employing DL-based semantic segmentation techniques yields better performance than earlier techniques because of human cognition incorporated into the architecture. Future directions like customization of DL architecture for smart-phone applications to predict the yield, development of more comprehensive model encompassing challenging situations like occlusion, overlapping and illumination variation, etc., were also discussed."
Q5,W4323306744,10.1016/j.engappai.2023.106034,2023,article,A comparative study of deep learning and Internet of Things for precision agriculture,Engineering Applications of Artificial Intelligence,T. Saranya; C. Deisy; S. Sridevi; Kalaiarasi Sonai Muthu Anbananthen,205,False,
Q5,W4381165959,10.3390/agronomy13061625,2023,article,Fruit Detection and Recognition Based on Deep Learning for Automatic Harvesting: An Overview and Review,Agronomy,Feng Xiao; Haibin Wang; Yueqin Xu; Ruiqing Zhang,177,True,"Continuing progress in machine learning (ML) has led to significant advancements in agricultural tasks. Due to its strong ability to extract high-dimensional features from fruit images, deep learning (DL) is widely used in fruit detection and automatic harvesting. Convolutional neural networks (CNN) in particular have demonstrated the ability to attain accuracy and speed levels comparable to those of humans in some fruit detection and automatic harvesting fields. This paper presents a comprehensive overview and review of fruit detection and recognition based on DL for automatic harvesting from 2018 up to now. We focus on the current challenges affecting fruit detection performance for automatic harvesting: the scarcity of high-quality fruit datasets, fruit detection of small targets, fruit detection in occluded and dense scenarios, fruit detection of multiple scales and multiple species, and lightweight fruit detection models. In response to these challenges, we propose feasible solutions and prospective future development trends. Future research should prioritize addressing these current challenges and improving the accuracy, speed, robustness, and generalization of fruit vision detection systems, while reducing the overall complexity and cost. This paper hopes to provide a reference for follow-up research in the field of fruit detection and recognition based on DL for automatic harvesting."
Q5,W3127745513,10.1016/j.compag.2021.106019,2021,article,Assessment for crop water stress with infrared thermal imagery in precision agriculture: A review and future prospects for deep learning applications,Computers and Electronics in Agriculture,Zheng Zhou; Yaqoob Majeed; Geraldine Diverres Naranjo; Elena M.T. Gambacorta,246,False,
Q5,W4210248601,10.1155/2022/9210947,2022,article,Recent Advancements in Fruit Detection and Classification Using Deep Learning Techniques,Mathematical Problems in Engineering,Chiagoziem C. Ukwuoma; Qin Zhi-guang; Md Belal Bin Heyat; Liaqat Ali,177,True,"Recent advances in computer vision have allowed broad applications in every area of life, and agriculture is not left out. For the agri-food industry, the use of advanced technology is essential. Owing to deep learning’s capability to learn robust features from images, it has witnessed enormous application in several fields. Fruit detection and classification remains challenging due to the form, color, and texture of different fruit species. While studying the impact of computer vision on fruit detection and classification, we pointed out that till 2018 many conventional machine learning methods were utilized while a few methods exploited the application of deep learning methods for fruit detection and classification. This has prompted us to pursue an extensive study on surveying and implementing deep learning models for fruit detection and classification. In this article, we intensively discussed the datasets used by many scholars, the practical descriptors, the model’s implementation, and the challenges of using deep learning to detect and categorize fruits. Lastly, we summarized the results of different deep learning methods applied in previous studies for the purpose of fruit detection and classification. This review covers the study of recently published articles that utilized deep learning models for fruit identification and classification. Additionally, we also implemented from scratch a deep learning model for fruit classification using the popular dataset “Fruit 360” to make it easier for beginner researchers in the field of agriculture to understand the role of deep learning in the agriculture domain."
Q5,W3212489200,10.1016/j.compag.2021.106546,2021,article,Support Vector Machine in Precision Agriculture: A review,Computers and Electronics in Agriculture,Zhi Hong Kok; Abdul Rashid Mohamed Shariff; Meftah Salem M. Alfatni; Siti Khairunniza Bejo,243,False,
