epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,83.0325,1.48385,4.90143,0.90625,0.35425,0.26611,0.15169,0.04175,0.79815,0.76668,0.3713,0.000413279,0.000413279,0.000413279
2,155.383,0.82153,0.726,0.31988,0.72418,0.25596,0.244,0.08145,0.72103,0.76742,0.332,0.000816252,0.000816252,0.000816252
3,225.048,0.76822,0.72567,0.2903,0.74951,0.27512,0.25947,0.08666,0.78841,0.82211,0.37526,0.00120547,0.00120547,0.00120547
4,295.22,0.75876,0.69531,0.29998,0.76231,0.34222,0.34636,0.11421,0.75337,0.67603,0.36583,0.00118812,0.00118812,0.00118812
5,364.49,0.75894,0.69568,0.28256,0.79764,0.33925,0.35613,0.12081,0.76314,0.62926,0.36852,0.0011675,0.0011675,0.0011675
6,434.236,0.7437,0.65555,0.29094,0.58814,0.38522,0.37868,0.12804,0.72484,0.6717,0.33547,0.00114688,0.00114688,0.00114688
7,504.323,0.73449,0.6796,0.27944,0.8421,0.32687,0.3748,0.1256,0.74204,0.60957,0.34173,0.00112625,0.00112625,0.00112625
8,574.108,0.73451,0.65632,0.28827,0.37426,0.3807,0.36141,0.13093,0.74419,0.63662,0.35134,0.00110563,0.00110563,0.00110563
9,643.83,0.73531,0.65053,0.28487,0.38305,0.45239,0.34303,0.12546,0.78654,0.58903,0.37462,0.001085,0.001085,0.001085
10,712.96,0.70147,0.65667,0.26371,0.36579,0.42202,0.35592,0.1126,0.80358,0.60979,0.40334,0.00106437,0.00106437,0.00106437
11,783.486,0.69007,0.67764,0.26473,0.62297,0.346,0.37444,0.1333,0.74497,0.66658,0.35452,0.00104375,0.00104375,0.00104375
12,853.223,0.70029,0.64233,0.26654,0.56042,0.41108,0.39033,0.14351,0.72476,0.64911,0.35328,0.00102312,0.00102312,0.00102312
13,922.876,0.67862,0.65165,0.25977,0.51091,0.43189,0.36044,0.13114,0.71968,0.67474,0.33958,0.0010025,0.0010025,0.0010025
14,992.238,0.6752,0.64418,0.25015,0.35593,0.49807,0.39692,0.14164,0.72395,0.61573,0.34625,0.000981875,0.000981875,0.000981875
15,1060.98,0.66414,0.64713,0.25013,0.35588,0.38648,0.38308,0.13031,0.75052,0.60685,0.36237,0.00096125,0.00096125,0.00096125
16,1129.79,0.66532,0.62741,0.2428,0.39741,0.49247,0.43493,0.16002,0.69962,0.64178,0.33153,0.000940625,0.000940625,0.000940625
17,1199.29,0.65373,0.62443,0.242,0.37688,0.50701,0.40236,0.14754,0.70853,0.65466,0.34021,0.00092,0.00092,0.00092
18,1268.43,0.65677,0.64294,0.24146,0.32823,0.56794,0.40768,0.15277,0.70832,0.65189,0.32854,0.000899375,0.000899375,0.000899375
19,1337.95,0.62686,0.63547,0.232,0.2975,0.38852,0.32248,0.10341,0.8358,0.60449,0.42039,0.00087875,0.00087875,0.00087875
20,1406.97,0.63447,0.60937,0.24691,0.3552,0.52387,0.37482,0.13829,0.72265,0.65238,0.34776,0.000858125,0.000858125,0.000858125
21,1477.1,0.65189,0.61455,0.24084,0.41497,0.40431,0.36842,0.11771,0.80535,0.5891,0.39625,0.0008375,0.0008375,0.0008375
22,1546.42,0.63177,0.61162,0.23297,0.39558,0.52821,0.42943,0.15114,0.74462,0.61887,0.3655,0.000816875,0.000816875,0.000816875
23,1615.63,0.61267,0.6008,0.22875,0.39878,0.5424,0.41377,0.13443,0.74752,0.60795,0.35933,0.00079625,0.00079625,0.00079625
24,1684.1,0.6243,0.62076,0.23994,0.40969,0.4588,0.38734,0.14141,0.77964,0.60277,0.37639,0.000775625,0.000775625,0.000775625
25,1753.36,0.59585,0.62391,0.21623,0.4167,0.43195,0.38416,0.13198,0.7944,0.61487,0.38698,0.000755,0.000755,0.000755
26,1822.17,0.59473,0.61125,0.21617,0.3169,0.48418,0.38613,0.13693,0.76131,0.61772,0.36744,0.000734375,0.000734375,0.000734375
27,1891.6,0.59711,0.60492,0.22093,0.42958,0.43007,0.37015,0.11431,0.79229,0.61859,0.38406,0.00071375,0.00071375,0.00071375
28,1961.37,0.60892,0.59255,0.21848,0.49591,0.3863,0.40883,0.13671,0.76627,0.61452,0.36634,0.000693125,0.000693125,0.000693125
29,2031.73,0.59035,0.59636,0.21701,0.43555,0.41917,0.40321,0.14194,0.77178,0.60884,0.36885,0.0006725,0.0006725,0.0006725
30,2102.24,0.60086,0.58586,0.21391,0.34155,0.47393,0.35986,0.13141,0.77951,0.60951,0.37071,0.000651875,0.000651875,0.000651875
