epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1818,1.12552,6.34056,0.49015,0.67387,0.2543,0.19644,0.06369,0.73005,0.8797,0.32616,0.000413279,0.000413279,0.000413279
2,156.214,0.81024,0.72738,0.32169,0.73337,0.32004,0.29004,0.08971,0.74383,0.74166,0.35122,0.000816252,0.000816252,0.000816252
3,226.624,0.78709,0.73029,0.30279,0.63947,0.13283,0.09741,0.03209,nan,nan,nan,0.00120547,0.00120547,0.00120547
4,296.896,0.78181,0.71583,0.30928,0.79497,0.19966,0.26288,0.07791,0.86164,0.73834,0.42583,0.00118812,0.00118812,0.00118812
5,366.07,0.76055,0.71669,0.28247,0.85826,0.28576,0.33735,0.11987,0.76133,0.64288,0.35659,0.0011675,0.0011675,0.0011675
6,437.098,0.73251,0.7334,0.28426,0.77856,0.25163,0.26018,0.08555,nan,nan,nan,0.00114688,0.00114688,0.00114688
7,507.157,0.75615,0.70002,0.28476,0.4215,0.14955,0.12443,0.04208,nan,nan,nan,0.00112625,0.00112625,0.00112625
8,577.151,0.74992,0.67768,0.29335,0.87419,0.28,0.34976,0.12863,0.70252,0.70535,0.32892,0.00110563,0.00110563,0.00110563
9,647.959,0.75907,0.66718,0.29287,0.82652,0.24017,0.27364,0.07567,0.86372,0.62871,0.43547,0.001085,0.001085,0.001085
10,718.244,0.73787,0.70847,0.28051,0.53294,0.28183,0.27145,0.09121,0.77777,0.71363,0.36249,0.00106437,0.00106437,0.00106437
11,787.585,0.73418,0.68063,0.28579,0.61422,0.40795,0.39301,0.13646,0.70838,0.68874,0.33803,0.00104375,0.00104375,0.00104375
12,858.964,0.72315,0.65607,0.28033,0.49827,0.4244,0.35394,0.12414,0.77943,0.62712,0.368,0.00102312,0.00102312,0.00102312
13,928.356,0.71016,0.65883,0.27464,0.30954,0.44124,0.33328,0.11393,0.76858,0.6363,0.37645,0.0010025,0.0010025,0.0010025
14,998.91,0.71008,0.64824,0.26598,0.30497,0.4851,0.39706,0.14176,0.71639,0.63186,0.34601,0.000981875,0.000981875,0.000981875
15,1069.89,0.71122,0.64184,0.27201,0.31741,0.41886,0.36243,0.12219,0.76606,0.61134,0.37013,0.00096125,0.00096125,0.00096125
16,1140.65,0.69388,0.64531,0.25825,0.34468,0.48546,0.41005,0.15256,0.71773,0.62215,0.34547,0.000940625,0.000940625,0.000940625
17,1211.16,0.67616,0.65371,0.25485,0.3195,0.51649,0.39391,0.14463,0.71362,0.63641,0.34385,0.00092,0.00092,0.00092
18,1280.69,0.69268,0.6288,0.26237,0.34393,0.53459,0.40592,0.1527,0.69525,0.6328,0.33589,0.000899375,0.000899375,0.000899375
19,1351.06,0.66183,0.64858,0.25297,0.30515,0.41954,0.36065,0.12385,0.75993,0.60088,0.38057,0.00087875,0.00087875,0.00087875
20,1420.78,0.65739,0.63834,0.2594,0.3345,0.43291,0.39447,0.14025,0.76274,0.56869,0.37041,0.000858125,0.000858125,0.000858125
21,1490.25,0.67315,0.63101,0.25326,0.37742,0.41299,0.41046,0.15231,0.72682,0.60877,0.35397,0.0008375,0.0008375,0.0008375
22,1560.18,0.66034,0.63828,0.24588,0.33788,0.47207,0.35664,0.1186,0.7946,0.55823,0.39136,0.000816875,0.000816875,0.000816875
23,1629.82,0.64847,0.62901,0.24794,0.61222,0.36498,0.34689,0.10619,0.78763,0.60249,0.38496,0.00079625,0.00079625,0.00079625
24,1699.51,0.64295,0.63963,0.24252,0.32792,0.48729,0.37053,0.13298,0.72791,0.63938,0.35317,0.000775625,0.000775625,0.000775625
25,1769.63,0.64961,0.61138,0.24066,0.40794,0.50689,0.44932,0.16762,0.69926,0.61434,0.33256,0.000755,0.000755,0.000755
26,1839.84,0.62138,0.63982,0.22935,0.35904,0.44643,0.41962,0.15863,0.69996,0.6071,0.33344,0.000734375,0.000734375,0.000734375
27,1909.94,0.63431,0.62738,0.2403,0.38659,0.42931,0.39547,0.14259,0.73243,0.60781,0.34887,0.00071375,0.00071375,0.00071375
28,1979.65,0.63928,0.62034,0.23552,0.84301,0.34964,0.39193,0.14529,0.71251,0.67948,0.34004,0.000693125,0.000693125,0.000693125
29,2049.61,0.62304,0.61358,0.23356,0.46459,0.43486,0.38617,0.13141,0.78299,0.62562,0.38399,0.0006725,0.0006725,0.0006725
30,2119.66,0.62354,0.60528,0.22529,0.45979,0.41315,0.38144,0.13799,0.74474,0.60164,0.35525,0.000651875,0.000651875,0.000651875
31,2189.57,0.60989,0.60496,0.21894,0.45985,0.40202,0.42395,0.14358,0.73975,0.6253,0.35888,0.00063125,0.00063125,0.00063125
32,2259.71,0.59855,0.59429,0.22315,0.3269,0.42594,0.33257,0.10316,0.81827,0.60912,0.39958,0.000610625,0.000610625,0.000610625
33,2329.9,0.59991,0.59538,0.22214,0.35884,0.52145,0.40018,0.13154,0.76451,0.5883,0.37211,0.00059,0.00059,0.00059
34,2400.09,0.61452,0.58836,0.22478,0.43839,0.42179,0.41471,0.15092,0.72447,0.64083,0.34578,0.000569375,0.000569375,0.000569375
35,2470.24,0.58572,0.6129,0.2171,0.45206,0.35066,0.38917,0.13294,0.76015,0.62123,0.36554,0.00054875,0.00054875,0.00054875
36,2540.32,0.57725,0.59309,0.20754,0.52248,0.42351,0.42664,0.13332,0.77138,0.6227,0.37682,0.000528125,0.000528125,0.000528125
37,2610.55,0.57979,0.58049,0.20966,0.43802,0.4297,0.41833,0.14706,0.75233,0.59088,0.35697,0.0005075,0.0005075,0.0005075
38,2680.4,0.57011,0.57662,0.20772,0.52385,0.41341,0.44343,0.14048,0.75217,0.62977,0.35863,0.000486875,0.000486875,0.000486875
39,2750.38,0.5614,0.57476,0.20233,0.39345,0.40979,0.38331,0.1275,0.75564,0.63111,0.36039,0.00046625,0.00046625,0.00046625
40,2820.2,0.55974,0.57782,0.19799,0.43451,0.48761,0.42322,0.14428,0.73154,0.63951,0.34989,0.000445625,0.000445625,0.000445625
41,2890.33,0.57107,0.56062,0.20428,0.38856,0.41343,0.35336,0.11562,0.78022,0.62643,0.38036,0.000425,0.000425,0.000425
42,2960.55,0.54804,0.55327,0.19689,0.38997,0.58428,0.41424,0.14484,0.76562,0.60068,0.36613,0.000404375,0.000404375,0.000404375
43,3030.68,0.55229,0.56123,0.1959,0.41018,0.45083,0.38873,0.13772,0.7617,0.63103,0.36116,0.00038375,0.00038375,0.00038375
44,3100.64,0.52614,0.55598,0.19656,0.38013,0.4858,0.35214,0.12057,0.76112,0.66712,0.36836,0.000363125,0.000363125,0.000363125
45,3170.76,0.51556,0.54023,0.17658,0.42105,0.50516,0.40751,0.13798,0.75105,0.65075,0.36194,0.0003425,0.0003425,0.0003425
46,3241.1,0.50927,0.54367,0.17979,0.40379,0.45321,0.4108,0.13952,0.76051,0.64045,0.36609,0.000321875,0.000321875,0.000321875
47,3311.08,0.49514,0.53498,0.17384,0.40193,0.46451,0.38453,0.13739,0.78021,0.64595,0.37611,0.00030125,0.00030125,0.00030125
48,3381.03,0.51338,0.53577,0.1843,0.50919,0.44411,0.43001,0.14313,0.7634,0.63664,0.36089,0.000280625,0.000280625,0.000280625
49,3450.89,0.49028,0.52276,0.17081,0.55005,0.37945,0.38287,0.13049,0.77755,0.67219,0.37694,0.00026,0.00026,0.00026
50,3521.02,0.49028,0.52685,0.1697,0.48256,0.40026,0.40887,0.13465,0.77186,0.64429,0.37065,0.000239375,0.000239375,0.000239375
51,3593.15,0.44814,0.48364,0.19263,0.47098,0.42747,0.41309,0.13091,0.78684,0.62158,0.37255,0.00021875,0.00021875,0.00021875
52,3663.19,0.42133,0.4646,0.18663,0.4161,0.44157,0.42909,0.14623,0.79137,0.67053,0.37982,0.000198125,0.000198125,0.000198125
53,3733.44,0.41784,0.46072,0.17634,0.51441,0.37982,0.40112,0.12392,0.80393,0.65397,0.38616,0.0001775,0.0001775,0.0001775
54,3803.49,0.4054,0.45292,0.17189,0.43217,0.48719,0.41874,0.13438,0.78862,0.65414,0.37372,0.000156875,0.000156875,0.000156875
55,3873.61,0.3956,0.43318,0.16608,0.56683,0.40694,0.44448,0.14214,0.7931,0.69716,0.37205,0.00013625,0.00013625,0.00013625
56,3944.21,0.38619,0.4347,0.16408,0.54872,0.38214,0.39926,0.12075,0.81928,0.69548,0.39447,0.000115625,0.000115625,0.000115625
57,4014.45,0.37983,0.42358,0.15999,0.45422,0.44054,0.41416,0.12669,0.80092,0.70314,0.37855,9.5e-05,9.5e-05,9.5e-05
58,4084.49,0.37645,0.4216,0.15677,0.52542,0.42127,0.41387,0.1292,0.79916,0.70807,0.37629,7.4375e-05,7.4375e-05,7.4375e-05
59,4154.95,0.35937,0.41291,0.1457,0.53549,0.41633,0.41495,0.13473,0.78108,0.72919,0.36898,5.375e-05,5.375e-05,5.375e-05
60,4225.09,0.35367,0.40256,0.14639,0.56327,0.4049,0.41726,0.13589,0.77692,0.75108,0.36779,3.3125e-05,3.3125e-05,3.3125e-05
