epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,101.174,1.54283,4.39984,1.054,0.68605,0.28738,0.2575,0.08713,0.72648,0.88554,0.33892,0.000413279,0.000413279,0.000413279
2,182.884,0.8088,0.723,0.31362,0.80324,0.2322,0.26687,0.09091,0.79586,0.66254,0.38135,0.000816252,0.000816252,0.000816252
3,272.448,0.78486,0.72518,0.2907,0.80412,0.29596,0.33391,0.11352,0.7458,0.69703,0.34073,0.00120547,0.00120547,0.00120547
4,348.664,0.77853,0.67645,0.29445,0.49011,0.30216,0.27374,0.09152,0.76784,0.70217,0.36127,0.00118812,0.00118812,0.00118812
5,437.887,0.76112,0.68089,0.29061,0.84069,0.33134,0.39526,0.13061,0.73561,0.62057,0.3468,0.0011675,0.0011675,0.0011675
6,523.431,0.73602,0.68012,0.28083,0.82976,0.33008,0.37147,0.1373,0.70512,0.6967,0.33069,0.00114688,0.00114688,0.00114688
7,605.087,0.71875,0.64513,0.28327,0.61881,0.43971,0.386,0.13407,0.75359,0.61038,0.37971,0.00112625,0.00112625,0.00112625
8,695.88,0.72674,0.66063,0.27774,0.36196,0.39785,0.36671,0.12629,0.74306,0.68395,0.35098,0.00110563,0.00110563,0.00110563
9,770.377,0.70685,0.6695,0.27382,0.24223,0.44924,0.35732,0.12138,0.76631,0.65275,0.36776,0.001085,0.001085,0.001085
10,857.46,0.723,0.67357,0.2747,0.62802,0.32617,0.34584,0.11094,nan,nan,nan,0.00106437,0.00106437,0.00106437
11,942.374,0.7143,0.67953,0.26229,0.35859,0.48447,0.37532,0.12187,0.76338,0.63698,0.39119,0.00104375,0.00104375,0.00104375
12,1018.29,0.7219,0.62397,0.27101,0.57621,0.39878,0.36056,0.12929,0.79259,0.58026,0.38264,0.00102312,0.00102312,0.00102312
