epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1395,2.12085,7.84469,0.01167,0.65113,0.18123,0.14872,0.04456,1.9205,5.90096,0.01599,0.000413279,0.000413279,0.000413279
2,160.574,2.0573,3.05726,0.01129,0.44634,0.29191,0.22252,0.07511,2.03038,2.86403,0.01716,0.000816252,0.000816252,0.000816252
3,213.995,2.16832,2.7156,0.01228,0.72241,0.23013,0.24217,0.08294,2.07155,2.56072,0.01752,0.00120547,0.00120547,0.00120547
4,275.093,2.16662,2.42035,0.01195,0.54904,0.28189,0.3283,0.09524,2.2593,2.29003,0.01946,0.00118812,0.00118812,0.00118812
5,341.386,2.14276,2.273,0.01222,0.823,0.26751,0.35585,0.12249,2.28301,2.11695,0.01937,0.0011675,0.0011675,0.0011675
6,407.888,2.17703,2.20088,0.01223,0.81894,0.2941,0.33614,0.10902,2.24139,2.01517,0.01965,0.00114688,0.00114688,0.00114688
7,473.863,2.15326,2.08977,0.01192,0.37252,0.39159,0.35271,0.1219,2.25481,2.16869,0.01917,0.00112625,0.00112625,0.00112625
8,539.792,2.11955,2.10976,0.01191,0.81704,0.31944,0.35159,0.12208,2.26958,1.90667,0.01971,0.00110563,0.00110563,0.00110563
9,605.853,2.13549,2.02031,0.01174,0.57733,0.32655,0.37677,0.12572,2.28311,2.08916,0.0199,0.001085,0.001085,0.001085
10,671.664,2.09725,1.9879,0.01159,0.62771,0.37053,0.38539,0.12029,2.27378,1.95402,0.0196,0.00106437,0.00106437,0.00106437
11,737.377,2.10387,1.92453,0.01148,0.33846,0.40793,0.36989,0.12254,2.21544,1.99281,0.01942,0.00104375,0.00104375,0.00104375
12,802.834,2.09795,1.86457,0.01179,0.54387,0.37646,0.3653,0.11581,2.42195,1.95671,0.02087,0.00102312,0.00102312,0.00102312
13,868.411,2.04946,1.86859,0.01136,0.31218,0.30952,0.31586,0.11426,2.30857,2.01506,0.01951,0.0010025,0.0010025,0.0010025
14,934.243,2.06137,1.79103,0.01113,0.39931,0.42725,0.36766,0.12995,2.36654,1.83797,0.02046,0.000981875,0.000981875,0.000981875
15,999.853,2.09059,1.75936,0.01199,0.70829,0.36668,0.39407,0.12825,2.32156,1.79496,0.02059,0.00096125,0.00096125,0.00096125
16,1065.75,2.06353,1.69031,0.01165,0.49187,0.41115,0.39332,0.13824,2.2417,1.85281,0.01922,0.000940625,0.000940625,0.000940625
17,1131.26,2.02959,1.69456,0.0113,0.46825,0.35495,0.38286,0.13934,2.26287,1.90205,0.01959,0.00092,0.00092,0.00092
18,1196.59,2.03037,1.80169,0.01134,0.3723,0.41386,0.39274,0.13765,2.26071,1.89616,0.01947,0.000899375,0.000899375,0.000899375
