epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.049,2.0907,6.41588,0.01181,0.67261,0.14243,0.16,0.05623,2.05522,3.68158,0.01666,0.000413279,0.000413279,0.000413279
2,175.513,2.08506,2.88424,0.0115,0.77595,0.22422,0.27356,0.08791,2.36004,2.59257,0.02039,0.000816252,0.000816252,0.000816252
3,244.5,2.12997,2.59096,0.01175,0.67086,0.27017,0.24205,0.08586,2.07224,2.56603,0.01777,0.00120547,0.00120547,0.00120547
4,310.203,2.1069,2.43342,0.01178,0.77949,0.27718,0.30151,0.09388,2.23492,2.2951,0.01877,0.00118812,0.00118812,0.00118812
5,376.688,2.17788,2.25131,0.01181,0.74768,0.28553,0.31181,0.09958,2.26877,2.19215,0.01911,0.0011675,0.0011675,0.0011675
6,444.011,2.13434,2.2509,0.01207,0.50176,0.34182,0.31133,0.09348,2.29265,2.12376,0.02027,0.00114688,0.00114688,0.00114688
7,512.318,2.08477,2.15847,0.01164,0.76098,0.29595,0.33436,0.11676,2.20666,2.04547,0.019,0.00112625,0.00112625,0.00112625
8,583.127,2.09269,2.09871,0.01186,0.51106,0.35705,0.35774,0.12678,2.10272,2.04056,0.01809,0.00110563,0.00110563,0.00110563
9,653.84,2.06252,2.03942,0.01151,0.45217,0.42297,0.38207,0.14055,2.16649,1.99675,0.01824,0.001085,0.001085,0.001085
10,723.626,2.04208,1.97382,0.01121,0.37524,0.40489,0.34972,0.11771,2.33603,1.94437,0.02086,0.00106437,0.00106437,0.00106437
11,792,2.0831,1.99749,0.01161,0.50399,0.35711,0.37251,0.12811,2.27711,1.89542,0.01959,0.00104375,0.00104375,0.00104375
12,862.719,2.06289,1.91715,0.01155,0.40429,0.40101,0.37327,0.14694,2.20758,2.0257,0.01893,0.00102312,0.00102312,0.00102312
13,930.244,2.06283,1.86444,0.01152,0.40159,0.4032,0.38155,0.13365,2.30745,1.79325,0.0199,0.0010025,0.0010025,0.0010025
14,999.508,2.06014,1.83309,0.01135,0.62151,0.31651,0.30421,0.09457,2.45767,2.08004,0.02062,0.000981875,0.000981875,0.000981875
15,1070.63,2.03559,1.8188,0.01133,0.54865,0.35325,0.35859,0.12125,2.32845,1.89127,0.02023,0.00096125,0.00096125,0.00096125
16,1133.92,2.01841,1.84224,0.01103,0.41462,0.38288,0.3731,0.13203,2.28912,1.81585,0.01991,0.000940625,0.000940625,0.000940625
17,1197.73,1.96005,1.73114,0.01081,0.50983,0.45475,0.40903,0.15655,2.31042,1.67254,0.01993,0.00092,0.00092,0.00092
18,1266.44,2.00849,1.83356,0.01097,0.3787,0.41202,0.35751,0.13143,2.13245,2.1054,0.01849,0.000899375,0.000899375,0.000899375
19,1335.62,1.96377,1.74834,0.01092,0.50158,0.38986,0.40358,0.1333,2.30479,1.79164,0.01981,0.00087875,0.00087875,0.00087875
20,1405.82,1.96135,1.60893,0.01122,0.50671,0.3864,0.41402,0.14745,2.25585,1.78384,0.01945,0.000858125,0.000858125,0.000858125
21,1473.44,1.93956,1.68087,0.01062,0.51912,0.35911,0.42308,0.14873,2.27412,1.68561,0.01953,0.0008375,0.0008375,0.0008375
22,1544.25,1.93815,1.57255,0.01062,0.47896,0.32214,0.34709,0.1074,2.46389,1.82276,0.0206,0.000816875,0.000816875,0.000816875
23,1614.84,1.9439,1.56556,0.01078,0.45255,0.49637,0.41574,0.13767,2.31708,1.69303,0.01969,0.00079625,0.00079625,0.00079625
24,1680.54,1.93698,1.56133,0.01083,0.50773,0.4313,0.41272,0.14638,2.22455,1.74035,0.01899,0.000775625,0.000775625,0.000775625
25,1746.63,1.91408,1.55185,0.01053,0.47828,0.42727,0.42383,0.15558,2.32628,1.7055,0.0203,0.000755,0.000755,0.000755
26,1814.12,1.8704,1.50197,0.01024,0.47394,0.46891,0.41657,0.15135,2.25072,1.73332,0.01921,0.000734375,0.000734375,0.000734375
27,1878.73,1.88644,1.42505,0.01044,0.42779,0.47504,0.3751,0.1369,2.32554,1.70627,0.02018,0.00071375,0.00071375,0.00071375
28,1943.55,1.90163,1.38844,0.01059,0.44772,0.45475,0.4351,0.13744,2.43953,1.65277,0.02146,0.000693125,0.000693125,0.000693125
29,1994.91,1.86607,1.31938,0.01037,0.48038,0.43197,0.42542,0.14868,2.38507,1.67877,0.0208,0.0006725,0.0006725,0.0006725
30,2049.01,1.87884,1.31139,0.01008,0.50671,0.42122,0.41914,0.15046,2.37451,1.58082,0.02053,0.000651875,0.000651875,0.000651875
31,2101.74,1.79227,1.27719,0.00968,0.61982,0.37173,0.40513,0.14898,2.36477,1.6198,0.02018,0.00063125,0.00063125,0.00063125
32,2155.53,1.78958,1.22294,0.01005,0.3716,0.47481,0.37976,0.14188,2.37452,1.64886,0.02056,0.000610625,0.000610625,0.000610625
33,2209.65,1.78471,1.19956,0.00984,0.53533,0.40153,0.38903,0.1309,2.46624,1.67844,0.02137,0.00059,0.00059,0.00059
34,2263.01,1.76435,1.20603,0.0097,0.49641,0.39861,0.41509,0.15081,2.44492,1.67906,0.02092,0.000569375,0.000569375,0.000569375
35,2315.91,1.75441,1.13364,0.00976,0.3784,0.52809,0.43044,0.13932,2.43824,1.68443,0.02101,0.00054875,0.00054875,0.00054875
36,2368.84,1.74363,1.07676,0.00929,0.44712,0.47144,0.42213,0.14387,2.44806,1.66626,0.02129,0.000528125,0.000528125,0.000528125
37,2423.12,1.7161,1.06675,0.00926,0.55062,0.4228,0.39251,0.14319,2.41491,1.6694,0.02087,0.0005075,0.0005075,0.0005075
38,2479.6,1.71653,1.02569,0.0091,0.48785,0.43868,0.39075,0.14028,2.39898,1.73308,0.0206,0.000486875,0.000486875,0.000486875
39,2539.45,1.71318,1.02174,0.0093,0.45864,0.46838,0.39422,0.12886,2.50835,1.72005,0.02175,0.00046625,0.00046625,0.00046625
40,2598.05,1.65906,0.99324,0.00881,0.46985,0.48902,0.41758,0.13881,2.53227,1.78314,0.02203,0.000445625,0.000445625,0.000445625
41,2656.2,1.64433,0.9501,0.00873,0.70362,0.35709,0.38098,0.12014,2.55436,1.82029,0.02232,0.000425,0.000425,0.000425
42,2713.53,1.62359,0.94884,0.00863,0.38806,0.49596,0.39518,0.13886,2.43773,1.80859,0.02112,0.000404375,0.000404375,0.000404375
43,2766.02,1.59581,0.92442,0.00845,0.44765,0.50425,0.41568,0.13341,2.48805,1.72871,0.02136,0.00038375,0.00038375,0.00038375
44,2823,1.59021,0.8795,0.00863,0.49841,0.46165,0.38214,0.12238,2.5878,1.83653,0.02236,0.000363125,0.000363125,0.000363125
45,2877.61,1.5217,0.80367,0.00778,0.59957,0.43431,0.42046,0.13546,2.48505,1.75223,0.02138,0.0003425,0.0003425,0.0003425
46,2933.11,1.53106,0.81442,0.00809,0.41843,0.45332,0.4206,0.14917,2.48394,1.78754,0.02141,0.000321875,0.000321875,0.000321875
47,2988.3,1.47819,0.74822,0.00787,0.40216,0.49409,0.4029,0.13155,2.49905,1.89728,0.0216,0.00030125,0.00030125,0.00030125
48,3043.35,1.49002,0.76946,0.00803,0.46319,0.38784,0.3758,0.12206,2.54365,1.96302,0.02245,0.000280625,0.000280625,0.000280625
49,3098.35,1.45516,0.74036,0.00761,0.47265,0.45112,0.38263,0.1221,2.55656,1.84935,0.02232,0.00026,0.00026,0.00026
50,3152.31,1.46226,0.7468,0.00772,0.55353,0.43818,0.42235,0.145,2.47809,1.84685,0.02153,0.000239375,0.000239375,0.000239375
51,3210.35,1.44685,0.55061,0.00908,0.52953,0.36087,0.36912,0.11918,2.55205,1.88872,0.02235,0.00021875,0.00021875,0.00021875
52,3264.51,1.3853,0.52459,0.009,0.47369,0.43096,0.38282,0.12197,2.54751,1.87916,0.02241,0.000198125,0.000198125,0.000198125
53,3316.71,1.36214,0.49653,0.00852,0.54716,0.39635,0.39645,0.12745,2.54095,1.84459,0.02212,0.0001775,0.0001775,0.0001775
54,3367.21,1.3376,0.47765,0.00837,0.48871,0.38382,0.3774,0.11507,2.58252,1.90893,0.02265,0.000156875,0.000156875,0.000156875
55,3419.51,1.29758,0.46844,0.00808,0.51575,0.37768,0.38889,0.12659,2.55382,1.8749,0.02221,0.00013625,0.00013625,0.00013625
56,3470.25,1.29024,0.46254,0.00823,0.52903,0.35697,0.37344,0.12261,2.51506,1.94301,0.02199,0.000115625,0.000115625,0.000115625
57,3514.5,1.26665,0.42708,0.00796,0.46031,0.42781,0.38464,0.12554,2.54979,1.91388,0.02226,9.5e-05,9.5e-05,9.5e-05
58,3548.05,1.24922,0.42213,0.00778,0.47145,0.43148,0.37124,0.12305,2.53982,1.90851,0.02224,7.4375e-05,7.4375e-05,7.4375e-05
59,3587.77,1.23673,0.41287,0.00751,0.4543,0.41362,0.37443,0.12173,2.54364,1.95931,0.02229,5.375e-05,5.375e-05,5.375e-05
60,3639.01,1.22003,0.41095,0.00766,0.52534,0.35988,0.37771,0.12326,2.55227,1.92165,0.0224,3.3125e-05,3.3125e-05,3.3125e-05
