epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.5059,2.1352,5.31961,0.01211,0.6403,0.07624,0.07865,0.02286,2.44831,3.96749,0.01978,0.000413279,0.000413279,0.000413279
2,168.076,2.13927,2.95245,0.01192,0.88724,0.11806,0.12468,0.03789,2.46982,3.67168,0.02193,0.000816252,0.000816252,0.000816252
3,231.895,2.1642,2.5777,0.01201,0.52424,0.28672,0.29291,0.10819,2.06988,2.41722,0.01765,0.00120547,0.00120547,0.00120547
4,296.405,2.15771,2.54747,0.01224,0.67875,0.27608,0.2566,0.08358,2.28395,2.77687,0.01995,0.00118812,0.00118812,0.00118812
5,351.851,2.16487,2.42147,0.01173,0.77736,0.25096,0.30415,0.10732,2.12093,2.33613,0.01772,0.0011675,0.0011675,0.0011675
6,410.984,2.11402,2.37527,0.01203,0.76471,0.25406,0.26324,0.09263,2.18675,2.24712,0.01862,0.00114688,0.00114688,0.00114688
7,476.324,2.05677,2.31746,0.01149,0.7654,0.30537,0.30927,0.10484,2.21135,2.04506,0.01922,0.00112625,0.00112625,0.00112625
8,539.392,2.08434,2.19039,0.01196,0.77509,0.28856,0.31794,0.10386,2.18859,2.02519,0.01868,0.00110563,0.00110563,0.00110563
9,603.81,2.03123,2.19929,0.01135,0.78106,0.32087,0.34358,0.12482,2.10397,2.135,0.01787,0.001085,0.001085,0.001085
10,669.316,2.00291,2.14806,0.01105,0.32025,0.3389,0.33361,0.12042,2.17259,1.94967,0.01823,0.00106437,0.00106437,0.00106437
11,734.797,2.04393,2.12006,0.01143,0.51331,0.32888,0.33567,0.12,2.22816,1.87834,0.01904,0.00104375,0.00104375,0.00104375
12,796.487,2.02557,2.09041,0.01136,0.31626,0.38551,0.36857,0.12628,2.09056,2.07374,0.01793,0.00102312,0.00102312,0.00102312
13,863.592,2.01736,2.04611,0.01138,0.47886,0.37508,0.34776,0.12792,2.11938,2.00581,0.01802,0.0010025,0.0010025,0.0010025
14,929.204,2.04039,2.05316,0.01119,0.26917,0.33565,0.30579,0.10737,2.09353,2.05596,0.01791,0.000981875,0.000981875,0.000981875
15,991.626,2.01455,2.01172,0.01119,0.31144,0.36448,0.29915,0.10484,2.12515,2.18747,0.01789,0.00096125,0.00096125,0.00096125
16,1058.02,2.03963,2.01277,0.01108,0.29389,0.3947,0.32055,0.11361,2.08353,2.05004,0.01763,0.000940625,0.000940625,0.000940625
17,1118.73,1.96437,1.90492,0.0108,0.36609,0.40193,0.3723,0.14705,2.05929,1.99622,0.01765,0.00092,0.00092,0.00092
18,1175.04,1.97802,1.90961,0.01072,0.32532,0.42605,0.3553,0.12781,2.13346,1.94555,0.01829,0.000899375,0.000899375,0.000899375
19,1235.89,1.98355,1.82813,0.01101,0.33095,0.3604,0.34703,0.12906,2.24154,1.89554,0.01961,0.00087875,0.00087875,0.00087875
20,1298.61,1.96901,1.7786,0.01125,0.34377,0.40446,0.31508,0.10725,2.23622,2.163,0.01937,0.000858125,0.000858125,0.000858125
21,1362.28,1.9853,1.79694,0.01092,0.33859,0.34576,0.31896,0.11732,2.2226,1.91274,0.01918,0.0008375,0.0008375,0.0008375
22,1425.69,1.96551,1.71051,0.01079,0.27829,0.35842,0.26094,0.08156,2.32978,2.16789,0.01963,0.000816875,0.000816875,0.000816875
23,1488.82,1.93636,1.69988,0.01068,0.30277,0.45067,0.33252,0.12138,2.13003,2.10924,0.01798,0.00079625,0.00079625,0.00079625
24,1551.29,1.90871,1.71494,0.01065,0.32066,0.45709,0.38574,0.12873,2.1197,1.95259,0.01813,0.000775625,0.000775625,0.000775625
25,1615.5,1.93388,1.63979,0.01057,0.35722,0.4085,0.36383,0.12857,2.17279,2.08844,0.01845,0.000755,0.000755,0.000755
26,1679.62,1.92318,1.5978,0.01041,0.38986,0.40683,0.37104,0.12347,2.26459,1.86498,0.01943,0.000734375,0.000734375,0.000734375
27,1746.51,1.92602,1.46488,0.01069,0.41222,0.38638,0.36062,0.11953,2.32615,1.87824,0.01988,0.00071375,0.00071375,0.00071375
28,1813.21,1.95102,1.4776,0.01088,0.41062,0.42829,0.38142,0.13723,2.28989,1.74875,0.01967,0.000693125,0.000693125,0.000693125
29,1877.4,1.86304,1.48752,0.01029,0.35171,0.41539,0.33228,0.10926,2.39186,1.96179,0.02038,0.0006725,0.0006725,0.0006725
30,1941.98,1.88187,1.41469,0.01016,0.39302,0.41768,0.38619,0.1405,2.3265,1.80009,0.02008,0.000651875,0.000651875,0.000651875
31,1992.4,1.84246,1.38716,0.00995,0.4014,0.41086,0.38133,0.12855,2.40769,1.87313,0.021,0.00063125,0.00063125,0.00063125
32,2042.63,1.84262,1.34031,0.01037,0.47632,0.42292,0.37738,0.13386,2.28878,1.91878,0.01942,0.000610625,0.000610625,0.000610625
33,2093.89,1.83537,1.30763,0.01015,0.39567,0.41478,0.36486,0.12772,2.40726,1.82149,0.02113,0.00059,0.00059,0.00059
34,2145.39,1.84433,1.30054,0.01014,0.36037,0.43911,0.33545,0.11457,2.35824,1.98783,0.02023,0.000569375,0.000569375,0.000569375
35,2197.32,1.82353,1.22277,0.01024,0.5248,0.41929,0.42331,0.13428,2.42675,1.7911,0.02094,0.00054875,0.00054875,0.00054875
36,2248.38,1.76744,1.19398,0.00948,0.53298,0.36038,0.36823,0.12027,2.4958,1.85163,0.02179,0.000528125,0.000528125,0.000528125
37,2298.82,1.77512,1.1764,0.00957,0.32604,0.44249,0.37106,0.12816,2.33934,1.87578,0.02014,0.0005075,0.0005075,0.0005075
38,2349.99,1.76428,1.15154,0.00941,0.36437,0.44783,0.35668,0.12674,2.41178,1.80717,0.0209,0.000486875,0.000486875,0.000486875
39,2401.88,1.75032,1.11839,0.00951,0.46628,0.49542,0.41196,0.14263,2.35839,1.87811,0.02046,0.00046625,0.00046625,0.00046625
40,2454.91,1.71701,1.12332,0.00911,0.43338,0.45414,0.39431,0.13272,2.48268,1.84855,0.02164,0.000445625,0.000445625,0.000445625
41,2512.29,1.69356,1.11601,0.00904,0.41817,0.4087,0.35909,0.11772,2.46205,2.00972,0.02152,0.000425,0.000425,0.000425
