epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6229,2.12201,6.06893,0.01178,0.38853,0.28794,0.1669,0.05286,2.08311,3.43524,0.01779,0.000413279,0.000413279,0.000413279
2,149.419,2.08339,3.02625,0.01158,0.64589,0.25096,0.1952,0.06287,2.11667,3.12895,0.01831,0.000816252,0.000816252,0.000816252
3,215.239,2.16174,2.72747,0.01228,0.71673,0.24195,0.2232,0.07549,1.91468,2.95044,0.01618,0.00120547,0.00120547,0.00120547
4,281.061,2.1782,2.48968,0.01201,0.69291,0.26426,0.25865,0.087,2.13272,2.49782,0.01855,0.00118812,0.00118812,0.00118812
5,347.064,2.08297,2.44535,0.01184,0.68767,0.25975,0.26257,0.09443,2.03063,2.48125,0.01684,0.0011675,0.0011675,0.0011675
6,413.313,2.10304,2.32968,0.01181,0.54202,0.28946,0.22535,0.07207,2.07713,2.50987,0.01756,0.00114688,0.00114688,0.00114688
7,478.7,2.08118,2.23024,0.01143,0.59304,0.29733,0.30105,0.10296,2.14789,2.04261,0.01827,0.00112625,0.00112625,0.00112625
8,544.61,2.10809,2.17695,0.01177,0.55573,0.23554,0.27325,0.0921,2.15125,2.30283,0.0181,0.00110563,0.00110563,0.00110563
9,609.788,2.10501,2.15991,0.01147,0.4837,0.33226,0.24164,0.06933,2.33166,2.39132,0.02004,0.001085,0.001085,0.001085
10,675.453,2.06098,2.05893,0.01134,0.76892,0.30681,0.3359,0.11493,2.13971,1.99806,0.01866,0.00106437,0.00106437,0.00106437
11,741.704,2.06944,2.02152,0.01119,0.47845,0.37377,0.34299,0.11414,2.14053,1.98276,0.01804,0.00104375,0.00104375,0.00104375
12,806.613,2.02749,2.01009,0.01141,0.52612,0.39317,0.34504,0.13362,2.13528,1.8712,0.01807,0.00102312,0.00102312,0.00102312
13,872.792,1.99544,1.97079,0.01096,0.3544,0.42292,0.33937,0.12794,2.09238,1.8925,0.01769,0.0010025,0.0010025,0.0010025
14,937.903,2.0389,1.95319,0.01099,0.52513,0.32255,0.31761,0.11773,2.13603,1.94579,0.01817,0.000981875,0.000981875,0.000981875
15,1003.22,1.98979,1.9033,0.01128,0.86212,0.2945,0.35549,0.12957,2.16498,1.84432,0.01887,0.00096125,0.00096125,0.00096125
