epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9836,2.17381,7.66508,0.01201,0.01016,0.53742,0.05397,0.01452,1.74256,8.09302,0.01416,0.000409946,0.000409946,0.000409946
2,47.1838,1.88987,5.93601,0.01017,0.65097,0.07602,0.11015,0.0365,1.75236,6.58816,0.01453,0.000812974,0.000812974,0.000812974
3,56.7786,1.88569,4.92551,0.00989,0.71848,0.20434,0.19825,0.06646,1.90063,5.16979,0.01613,0.00120225,0.00120225,0.00120225
4,65.7301,1.89625,4.20944,0.01015,0.77002,0.25199,0.27579,0.08601,2.02001,4.07142,0.01739,0.00118812,0.00118812,0.00118812
5,75.2735,1.88445,3.47023,0.01016,0.75579,0.2725,0.29742,0.10932,2.07361,3.25581,0.01789,0.0011675,0.0011675,0.0011675
6,84.5658,1.90017,3.18833,0.01041,0.75176,0.23316,0.26209,0.08296,2.18809,3.11926,0.01828,0.00114688,0.00114688,0.00114688
7,93.6451,1.90915,2.93038,0.01054,0.77136,0.26241,0.28105,0.1022,1.96368,2.91098,0.01691,0.00112625,0.00112625,0.00112625
8,103.151,1.93005,2.72446,0.01059,0.74384,0.2925,0.28574,0.11156,2.05999,2.64256,0.01756,0.00110563,0.00110563,0.00110563
9,112.598,1.90436,2.60084,0.01032,0.77118,0.28879,0.29027,0.10211,2.10968,2.48845,0.01858,0.001085,0.001085,0.001085
10,122.267,1.95932,2.38664,0.01056,0.76035,0.2947,0.32888,0.11608,2.12976,2.27588,0.01835,0.00106437,0.00106437,0.00106437
11,131.505,1.94432,2.28954,0.01065,0.80825,0.28613,0.33498,0.12253,2.13625,2.25821,0.01833,0.00104375,0.00104375,0.00104375
12,140.833,1.91968,2.24446,0.01022,0.36874,0.40883,0.36732,0.1337,2.04574,2.0866,0.01743,0.00102312,0.00102312,0.00102312
13,150.177,1.92641,2.18666,0.01052,0.80884,0.28511,0.34773,0.10608,2.20554,2.40024,0.01952,0.0010025,0.0010025,0.0010025
14,159.428,1.90684,2.13677,0.01025,0.2946,0.35725,0.30002,0.11546,2.13339,2.08415,0.0185,0.000981875,0.000981875,0.000981875
15,168.885,1.91301,2.05905,0.01023,0.83368,0.27061,0.35214,0.12882,2.10083,2.03935,0.01816,0.00096125,0.00096125,0.00096125
16,178.045,1.92158,2.01618,0.01053,0.31934,0.37624,0.34899,0.13346,2.14401,1.89148,0.01825,0.000940625,0.000940625,0.000940625
17,187.039,1.91909,1.97669,0.01015,0.2952,0.33896,0.34361,0.12777,2.15271,2.02255,0.0182,0.00092,0.00092,0.00092
18,196.666,1.8821,1.96922,0.01002,0.46764,0.36047,0.35345,0.13052,2.08037,2.0626,0.01765,0.000899375,0.000899375,0.000899375
19,206.155,1.88389,1.88959,0.01012,0.61768,0.33417,0.33831,0.12045,2.08571,2.00694,0.018,0.00087875,0.00087875,0.00087875
20,215.881,1.90996,1.85246,0.01055,0.59362,0.28157,0.34037,0.11852,2.24684,1.94233,0.01931,0.000858125,0.000858125,0.000858125
21,224.952,1.91356,1.82567,0.01045,0.53646,0.36369,0.33594,0.1248,2.14558,2.00398,0.01819,0.0008375,0.0008375,0.0008375
22,234.272,1.88887,1.7686,0.01027,0.465,0.38065,0.36281,0.12955,2.13364,1.8892,0.01801,0.000816875,0.000816875,0.000816875
23,243.458,1.88009,1.75082,0.01008,0.32791,0.36455,0.33398,0.12453,2.12655,2.00174,0.01806,0.00079625,0.00079625,0.00079625
24,252.854,1.87383,1.66216,0.01055,0.36165,0.38141,0.31066,0.10597,2.30628,2.21867,0.02007,0.000775625,0.000775625,0.000775625
25,261.876,1.84587,1.71124,0.00989,0.29585,0.40441,0.32629,0.11797,2.26669,1.9239,0.01955,0.000755,0.000755,0.000755
26,271.382,1.86206,1.66966,0.01031,0.53784,0.41603,0.34379,0.11632,2.27842,2.00515,0.01938,0.000734375,0.000734375,0.000734375
27,280.415,1.83201,1.67388,0.00993,0.57833,0.3386,0.33177,0.12149,2.20498,1.98509,0.01857,0.00071375,0.00071375,0.00071375
28,289.802,1.82416,1.62468,0.01011,0.32616,0.41131,0.34476,0.1299,2.22794,1.8793,0.01898,0.000693125,0.000693125,0.000693125
29,299.031,1.85389,1.55518,0.00984,0.57202,0.29073,0.28288,0.0952,2.452,2.05495,0.02076,0.0006725,0.0006725,0.0006725
30,308.143,1.79683,1.55596,0.00958,0.32995,0.36589,0.32531,0.12179,2.20598,2.05648,0.01861,0.000651875,0.000651875,0.000651875
31,317.266,1.81428,1.53873,0.00963,0.3002,0.46263,0.31796,0.10789,2.32921,1.9788,0.01976,0.00063125,0.00063125,0.00063125
32,326.927,1.80716,1.40232,0.00976,0.27741,0.40899,0.2911,0.10962,2.31134,1.91301,0.01973,0.000610625,0.000610625,0.000610625
33,336.443,1.7923,1.44141,0.00967,0.39007,0.3556,0.36222,0.13806,2.27513,1.92966,0.0194,0.00059,0.00059,0.00059
34,345.917,1.80446,1.4214,0.00949,0.32898,0.40764,0.35211,0.12976,2.28375,1.93165,0.01958,0.000569375,0.000569375,0.000569375
35,355.611,1.80221,1.39132,0.00986,0.5832,0.31815,0.31617,0.11363,2.29266,2.10946,0.01959,0.00054875,0.00054875,0.00054875
36,365.154,1.74564,1.35467,0.00912,0.68453,0.30948,0.33771,0.12468,2.30139,2.00711,0.01964,0.000528125,0.000528125,0.000528125
