epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1746,2.2096,7.74665,0.01231,0.00463,0.5206,0.04303,0.01225,1.71857,8.26676,0.01396,0.000409946,0.000409946,0.000409946
2,76.7817,1.90119,6.04345,0.00995,0.58617,0.12104,0.07865,0.02251,1.84801,7.30489,0.01471,0.000812974,0.000812974,0.000812974
3,100.7,1.88398,5.10663,0.01019,0.63605,0.09175,0.11716,0.03648,1.7777,5.69052,0.01379,0.00120225,0.00120225,0.00120225
4,124.981,1.86398,4.28511,0.00984,0.42056,0.22553,0.17433,0.0639,1.78897,4.48558,0.01491,0.00118812,0.00118812,0.00118812
5,148.989,1.90987,3.68588,0.01048,0.72501,0.20883,0.22601,0.08745,1.85923,3.72722,0.01527,0.0011675,0.0011675,0.0011675
6,173.139,1.86346,3.28963,0.01015,0.75771,0.22822,0.23984,0.0832,2.04113,3.39534,0.01695,0.00114688,0.00114688,0.00114688
7,197.332,1.89591,2.98284,0.01027,0.71993,0.24773,0.24477,0.10241,1.89216,2.89152,0.01536,0.00112625,0.00112625,0.00112625
8,221.682,1.87544,2.80929,0.01026,0.15028,0.31284,0.20171,0.08002,1.9239,3.14568,0.01585,0.00110563,0.00110563,0.00110563
9,245.812,1.92937,2.62721,0.01029,0.74031,0.30815,0.30144,0.11111,1.95769,2.6417,0.01632,0.001085,0.001085,0.001085
10,270.312,1.92298,2.54312,0.01037,0.67708,0.26713,0.22867,0.07257,2.04352,2.74686,0.01667,0.00106437,0.00106437,0.00106437
11,294.623,1.87696,2.4173,0.0098,0.74344,0.24677,0.25394,0.0981,2.01015,2.44991,0.01729,0.00104375,0.00104375,0.00104375
12,318.624,1.90086,2.284,0.01021,0.56279,0.32394,0.33415,0.13201,1.96881,2.30281,0.01621,0.00102312,0.00102312,0.00102312
13,342.925,1.90603,2.23421,0.01009,0.50425,0.36403,0.31926,0.12251,1.97687,2.25996,0.01622,0.0010025,0.0010025,0.0010025
14,366.991,1.90895,2.22892,0.0101,0.80585,0.257,0.29779,0.12572,1.96969,2.17401,0.01608,0.000981875,0.000981875,0.000981875
15,391.002,1.89962,2.11943,0.01044,0.76811,0.28439,0.31198,0.12427,2.02298,2.20557,0.01657,0.00096125,0.00096125,0.00096125
16,415.218,1.94195,2.0601,0.01084,0.26668,0.33918,0.27965,0.09175,2.20472,2.33818,0.01845,0.000940625,0.000940625,0.000940625
17,439.633,1.85469,2.05432,0.01009,0.32223,0.36731,0.34363,0.13489,2.04036,2.06751,0.01703,0.00092,0.00092,0.00092
18,463.878,1.86483,2.08981,0.01018,0.35986,0.3661,0.32611,0.12509,2.02184,2.10654,0.01661,0.000899375,0.000899375,0.000899375
19,487.886,1.86391,2.00434,0.00999,0.50496,0.28873,0.30449,0.11155,2.03577,2.13176,0.01672,0.00087875,0.00087875,0.00087875
20,511.81,1.86295,1.94374,0.00999,0.37128,0.42386,0.33615,0.12385,2.09134,2.16628,0.01754,0.000858125,0.000858125,0.000858125
21,535.787,1.84551,1.96837,0.01016,0.34784,0.44463,0.36056,0.13758,2.04027,2.01138,0.01683,0.0008375,0.0008375,0.0008375
22,560.135,1.83665,1.9026,0.00978,0.7569,0.26943,0.32431,0.11857,2.15813,2.07379,0.01787,0.000816875,0.000816875,0.000816875
23,584.103,1.84314,1.8499,0.00993,0.34331,0.38385,0.33534,0.12708,2.09161,2.01485,0.01747,0.00079625,0.00079625,0.00079625
24,608.287,1.8633,1.75292,0.01018,0.57898,0.28974,0.29081,0.10383,2.33017,2.00573,0.01925,0.000775625,0.000775625,0.000775625
25,632.589,1.84544,1.78677,0.01025,0.25508,0.35272,0.2909,0.10102,2.23999,2.04308,0.01816,0.000755,0.000755,0.000755
26,656.797,1.82736,1.69029,0.00995,0.56209,0.33673,0.30719,0.12367,2.23194,2.02262,0.01884,0.000734375,0.000734375,0.000734375
27,681.13,1.84887,1.69658,0.0098,0.30992,0.43545,0.30366,0.11182,2.20022,2.11872,0.01854,0.00071375,0.00071375,0.00071375
