epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3709,2.21698,7.71441,0.01241,0.0037,0.65241,0.07618,0.02275,1.73399,7.79572,0.01431,0.000409946,0.000409946,0.000409946
2,81.7917,1.85975,5.93921,0.01023,0.69869,0.11416,0.11781,0.03464,1.95637,6.6358,0.01563,0.000812974,0.000812974,0.000812974
3,108.182,1.93267,4.78104,0.01025,0.41866,0.17516,0.16585,0.05369,1.8801,5.21926,0.01629,0.00120225,0.00120225,0.00120225
4,135.208,1.93057,3.91022,0.01015,0.7801,0.21206,0.24968,0.08569,1.92611,3.76329,0.01648,0.00118812,0.00118812,0.00118812
5,162.117,1.93601,3.39043,0.0102,0.8075,0.2285,0.25387,0.07911,2.15195,3.53755,0.01792,0.0011675,0.0011675,0.0011675
6,188.995,1.92987,3.00524,0.01005,0.71477,0.25502,0.26757,0.10141,1.94954,3.01927,0.01643,0.00114688,0.00114688,0.00114688
7,215.591,1.94109,2.7476,0.01045,0.72605,0.27748,0.26728,0.09783,2.03806,2.7949,0.01726,0.00112625,0.00112625,0.00112625
8,241.095,1.90299,2.61527,0.01032,0.54123,0.31569,0.29247,0.10664,1.96888,2.57664,0.01645,0.00110563,0.00110563,0.00110563
9,266.796,1.91697,2.45034,0.01049,0.81312,0.2575,0.30956,0.11733,2.06125,2.42883,0.01756,0.001085,0.001085,0.001085
10,292.42,1.92589,2.36816,0.0104,0.83042,0.24538,0.30884,0.11712,1.94773,2.41092,0.01628,0.00106437,0.00106437,0.00106437
11,318.182,1.91404,2.31116,0.01022,0.79939,0.25835,0.30906,0.12062,1.98371,2.34672,0.01679,0.00104375,0.00104375,0.00104375
12,343.88,1.94612,2.28604,0.01079,0.73271,0.25953,0.30047,0.11537,2.00243,2.28706,0.01659,0.00102312,0.00102312,0.00102312
