epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1521,2.2174,7.47182,0.01245,0.0045,0.63699,0.10102,0.03488,1.78295,7.94092,0.01413,0.000409946,0.000409946,0.000409946
2,77.3852,1.89767,5.84016,0.00993,0.73361,0.10698,0.1263,0.04276,1.9996,7.08505,0.01668,0.000812974,0.000812974,0.000812974
3,101.308,1.91916,4.83094,0.01033,0.65584,0.25793,0.19661,0.07671,1.89302,4.97779,0.01526,0.00120225,0.00120225,0.00120225
4,125.537,1.96677,4.00955,0.01065,0.68691,0.2221,0.21578,0.07705,1.89347,4.03962,0.01597,0.00118812,0.00118812,0.00118812
5,149.615,1.91813,3.41552,0.01037,0.74987,0.23798,0.26387,0.10092,2.00396,3.28029,0.01613,0.0011675,0.0011675,0.0011675
6,174.021,1.93431,2.96722,0.01041,0.81799,0.22511,0.26622,0.10222,1.85518,3.09044,0.01563,0.00114688,0.00114688,0.00114688
7,197.94,1.89819,2.78538,0.01044,0.43869,0.2993,0.25113,0.10023,1.9309,2.8692,0.01601,0.00112625,0.00112625,0.00112625
8,222.312,1.93494,2.69815,0.01061,0.75098,0.27913,0.29063,0.109,1.88806,2.65806,0.01562,0.00110563,0.00110563,0.00110563
9,246.405,1.89076,2.56628,0.01008,0.50305,0.31126,0.28971,0.11257,1.88699,2.57785,0.01556,0.001085,0.001085,0.001085
10,270.91,1.9353,2.3804,0.01045,0.54071,0.30306,0.29716,0.11812,1.93105,2.3072,0.01606,0.00106437,0.00106437,0.00106437
11,295.219,1.92242,2.30108,0.01032,0.54939,0.31046,0.31745,0.12476,1.89586,2.3273,0.01564,0.00104375,0.00104375,0.00104375
12,319.506,1.90186,2.35104,0.01009,0.78241,0.26454,0.28857,0.11735,1.90524,2.46943,0.01576,0.00102312,0.00102312,0.00102312
13,343.541,1.88631,2.1588,0.01023,0.49604,0.253,0.28207,0.09663,2.07378,2.46385,0.01801,0.0010025,0.0010025,0.0010025
