epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7588,2.21993,7.70678,0.01234,0.00365,0.75713,0.13473,0.04293,1.87314,7.67438,0.01543,0.000409946,0.000409946,0.000409946
2,105.917,1.91117,5.87783,0.0103,0.87507,0.07639,0.13479,0.03983,1.91009,6.56813,0.0159,0.000812974,0.000812974,0.000812974
3,141.406,1.93179,4.84816,0.01008,0.69945,0.18787,0.20244,0.07266,1.93121,5.34923,0.01632,0.00120225,0.00120225,0.00120225
4,176.71,1.95026,4.19035,0.01051,0.4865,0.29709,0.23497,0.09074,1.93271,3.95629,0.01629,0.00118812,0.00118812,0.00118812
5,212.219,1.95317,3.45418,0.01051,0.49173,0.21176,0.22866,0.0822,2.03826,3.41299,0.01747,0.0011675,0.0011675,0.0011675
6,247.011,1.97004,3.13608,0.01087,0.65901,0.19644,0.15514,0.04628,2.38343,3.50971,0.01942,0.00114688,0.00114688,0.00114688
7,282.306,1.96918,2.88152,0.0108,0.71104,0.26404,0.26511,0.0989,2.00024,2.97383,0.0163,0.00112625,0.00112625,0.00112625
8,317.304,1.95735,2.72205,0.01061,0.69112,0.24205,0.21964,0.07517,2.06722,2.86012,0.01767,0.00110563,0.00110563,0.00110563
9,352.028,1.89198,2.6395,0.01024,0.78668,0.25044,0.30482,0.10931,2.06101,2.4278,0.01776,0.001085,0.001085,0.001085
10,387.211,1.93502,2.50731,0.01034,0.80447,0.27815,0.27901,0.10352,1.99614,2.46851,0.01683,0.00106437,0.00106437,0.00106437
11,422.796,1.94997,2.34171,0.01061,0.76869,0.3111,0.29587,0.11439,2.08701,2.25719,0.01779,0.00104375,0.00104375,0.00104375
12,457.916,1.91602,2.34046,0.01018,0.50442,0.35694,0.27953,0.10275,2.06451,2.3609,0.01774,0.00102312,0.00102312,0.00102312
13,492.629,1.93286,2.22153,0.01057,0.47368,0.32359,0.28733,0.10387,2.11395,2.48058,0.01822,0.0010025,0.0010025,0.0010025
14,527.311,1.94648,2.13229,0.01048,0.77515,0.23729,0.28021,0.10683,2.03945,2.17868,0.01785,0.000981875,0.000981875,0.000981875
15,562.014,1.8944,2.10045,0.01007,0.77193,0.29329,0.29592,0.10973,2.10999,2.27238,0.01808,0.00096125,0.00096125,0.00096125
16,596.805,1.91629,2.08616,0.01052,0.54898,0.32552,0.32748,0.12457,2.10446,2.1024,0.01793,0.000940625,0.000940625,0.000940625
17,632.12,1.93031,2.01676,0.01016,0.57029,0.31245,0.32245,0.12507,2.07708,2.09575,0.01729,0.00092,0.00092,0.00092
18,667.301,1.9056,1.98967,0.01018,0.58747,0.39397,0.34314,0.12947,2.09546,2.02267,0.01762,0.000899375,0.000899375,0.000899375
19,702.502,1.88226,1.95446,0.01009,0.77481,0.28172,0.33789,0.12881,2.02138,2.07046,0.01714,0.00087875,0.00087875,0.00087875
20,737.495,1.89613,1.90564,0.01047,0.60142,0.33241,0.35131,0.12912,2.10813,2.02645,0.01805,0.000858125,0.000858125,0.000858125
21,772.73,1.88558,1.94227,0.01027,0.58075,0.33545,0.33333,0.12153,2.06575,2.10785,0.01765,0.0008375,0.0008375,0.0008375
22,807.699,1.84703,1.88003,0.01001,0.80584,0.28044,0.35758,0.13636,2.04663,2.00925,0.01732,0.000816875,0.000816875,0.000816875
23,842.813,1.86337,1.81812,0.00998,0.54914,0.29558,0.35473,0.14064,2.10603,1.95954,0.01801,0.00079625,0.00079625,0.00079625
24,878.397,1.82587,1.73441,0.01021,0.57584,0.34631,0.3278,0.11066,2.34119,2.25394,0.02055,0.000775625,0.000775625,0.000775625
25,913.01,1.84706,1.77847,0.00986,0.31365,0.40114,0.34337,0.11569,2.25216,1.90683,0.01937,0.000755,0.000755,0.000755
