epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0495,2.65031,8.22635,0.01579,0.00018,0.06383,6e-05,1e-05,2.5313,8.80778,0.02293,0.000409946,0.000409946,0.000409946
2,56.1569,2.39744,6.73099,0.01395,0.00057,0.13224,0.00095,0.00018,2.37558,8.87003,0.02151,0.000821157,0.000821157,0.000821157
3,71.5335,2.26362,5.46871,0.01274,0.00227,0.35816,0.00382,0.001,1.867,6.14205,0.0157,0.00122687,0.00122687,0.00122687
4,88.0318,2.25725,4.5414,0.01256,0.77056,0.03472,0.01236,0.00312,2.27175,6.5054,0.02091,0.00122525,0.00122525,0.00122525
5,102.15,2.24008,3.95497,0.01298,0.62575,0.10875,0.09346,0.02587,2.12214,4.00846,0.0178,0.001217,0.001217,0.001217
6,116.718,2.2214,3.59775,0.01249,0.60176,0.1246,0.10604,0.03331,1.99471,3.63646,0.01654,0.00120875,0.00120875,0.00120875
7,136.917,2.20509,3.30055,0.01218,0.67035,0.17243,0.13881,0.04059,2.03193,3.38783,0.01705,0.0012005,0.0012005,0.0012005
8,158.819,2.19965,3.14137,0.01224,0.61152,0.11215,0.12694,0.03572,2.08843,3.24364,0.0177,0.00119225,0.00119225,0.00119225
9,182.595,2.1657,3.1048,0.01199,0.67397,0.17383,0.15288,0.04795,2.10496,3.05396,0.01764,0.001184,0.001184,0.001184
10,201.244,2.1487,2.97279,0.01174,0.65707,0.19984,0.17492,0.06382,2.011,3.0342,0.01652,0.00117575,0.00117575,0.00117575
11,221.019,2.12681,2.93019,0.01175,0.61717,0.16711,0.15443,0.04946,2.11303,3.08885,0.01743,0.0011675,0.0011675,0.0011675
12,243.03,2.13823,2.83492,0.01193,0.72144,0.20745,0.1993,0.0583,2.19487,2.85032,0.01816,0.00115925,0.00115925,0.00115925
13,260.857,2.13002,2.76677,0.01166,0.69245,0.24261,0.20707,0.07926,2.02809,2.66144,0.01654,0.001151,0.001151,0.001151
14,278.615,2.1737,2.76843,0.01185,0.70377,0.23685,0.2291,0.08326,2.013,2.66586,0.01669,0.00114275,0.00114275,0.00114275
15,296.371,2.12597,2.71026,0.01158,0.70808,0.17634,0.16601,0.05085,2.15703,2.82673,0.01796,0.0011345,0.0011345,0.0011345
16,314.114,2.11281,2.68416,0.0118,0.69269,0.22747,0.2107,0.07326,1.94709,2.98316,0.01596,0.00112625,0.00112625,0.00112625
17,331.946,2.13839,2.62564,0.01173,0.71237,0.16822,0.17564,0.0528,2.29807,2.857,0.01915,0.001118,0.001118,0.001118
18,350.648,2.13159,2.62339,0.0117,0.70753,0.2712,0.23823,0.08221,2.05011,2.50893,0.01716,0.00110975,0.00110975,0.00110975
19,373,2.13627,2.59787,0.01214,0.69893,0.24074,0.22174,0.07963,2.07728,2.57488,0.01713,0.0011015,0.0011015,0.0011015
20,397.235,2.10852,2.55485,0.0115,0.65877,0.21299,0.18248,0.05351,2.36823,2.79318,0.01979,0.00109325,0.00109325,0.00109325
21,416.945,2.11277,2.5275,0.0115,0.71141,0.24749,0.2567,0.09574,2.03626,2.56234,0.01705,0.001085,0.001085,0.001085
22,439.01,2.08881,2.46515,0.01153,0.79002,0.19947,0.2581,0.08337,2.22463,2.43235,0.01903,0.00107675,0.00107675,0.00107675
23,464.404,2.05995,2.46051,0.01138,0.75981,0.26432,0.28988,0.10749,2.07048,2.41525,0.01762,0.0010685,0.0010685,0.0010685
24,489.44,2.0719,2.4512,0.01121,0.74202,0.22496,0.2481,0.08126,2.35442,2.58991,0.01974,0.00106025,0.00106025,0.00106025
25,514.107,2.07419,2.41743,0.01134,0.771,0.24926,0.27542,0.10629,2.07609,2.26881,0.01735,0.001052,0.001052,0.001052
26,539.912,2.09984,2.41427,0.01161,0.77986,0.24365,0.2934,0.11259,2.08521,2.29651,0.01764,0.00104375,0.00104375,0.00104375
27,565.728,2.08959,2.41078,0.01137,0.76565,0.25059,0.28544,0.10911,2.03032,2.38563,0.01704,0.0010355,0.0010355,0.0010355
28,591.736,2.03755,2.42558,0.01109,0.78764,0.27652,0.30059,0.11181,2.03153,2.19658,0.01737,0.00102725,0.00102725,0.00102725
29,619.524,2.02052,2.35684,0.011,0.52169,0.2455,0.24857,0.0846,2.26393,2.32212,0.01912,0.001019,0.001019,0.001019
30,647.197,2.07059,2.31422,0.0115,0.74234,0.28612,0.28885,0.10778,2.07719,2.29088,0.01753,0.00101075,0.00101075,0.00101075
31,673.221,2.06591,2.28755,0.01118,0.76829,0.21739,0.23985,0.09389,2.20673,2.53424,0.0185,0.0010025,0.0010025,0.0010025
32,700.805,2.05739,2.28948,0.01127,0.76618,0.27526,0.30762,0.11655,2.06955,2.21934,0.01744,0.00099425,0.00099425,0.00099425
33,727.499,2.0387,2.37996,0.01116,0.7883,0.2647,0.28133,0.10295,2.04866,2.26623,0.01737,0.000986,0.000986,0.000986
34,753.452,2.05262,2.21084,0.01124,0.76561,0.27386,0.31007,0.11147,2.06109,2.1844,0.01761,0.00097775,0.00097775,0.00097775
35,779.524,2.06393,2.26661,0.01125,0.76995,0.23079,0.24475,0.08792,2.25531,2.31995,0.01894,0.0009695,0.0009695,0.0009695
36,805.3,2.01379,2.21076,0.01124,0.82151,0.2712,0.29279,0.1159,2.07256,2.1951,0.0177,0.00096125,0.00096125,0.00096125
37,831.83,2.03042,2.18833,0.0111,0.77084,0.28901,0.30677,0.11526,2.10034,2.17243,0.01761,0.000953,0.000953,0.000953
38,857.739,2.00404,2.18596,0.01088,0.80719,0.27756,0.3367,0.12364,2.14709,2.19084,0.01803,0.00094475,0.00094475,0.00094475
39,884.33,2.01631,2.13664,0.01104,0.77869,0.27371,0.30663,0.09835,2.32243,2.11553,0.01915,0.0009365,0.0009365,0.0009365
40,910.843,2.03302,2.13913,0.01083,0.81503,0.25342,0.29849,0.11298,2.19502,2.28793,0.01853,0.00092825,0.00092825,0.00092825
41,937.41,2.00967,2.12804,0.011,0.8098,0.27999,0.30829,0.1036,2.18154,2.084,0.01938,0.00092,0.00092,0.00092
42,963.946,2.01587,2.12784,0.01121,0.79186,0.25947,0.29243,0.1164,2.09891,2.22147,0.01773,0.00091175,0.00091175,0.00091175
43,990.01,2.01569,2.15356,0.01096,0.7847,0.2845,0.31112,0.11432,2.14124,2.02268,0.01797,0.0009035,0.0009035,0.0009035
44,1016.81,2.00605,2.11486,0.01095,0.53089,0.3111,0.32703,0.12298,2.10454,2.07807,0.01771,0.00089525,0.00089525,0.00089525
45,1042.82,2.01748,2.17729,0.01081,0.79068,0.25997,0.29843,0.11155,2.13652,2.27141,0.01795,0.000887,0.000887,0.000887
46,1069.34,1.96498,2.10323,0.01068,0.80818,0.2922,0.31159,0.12012,2.15874,1.99987,0.01826,0.00087875,0.00087875,0.00087875
47,1095.62,1.96664,2.09397,0.01053,0.79715,0.28584,0.31306,0.11613,2.1179,2.06505,0.01771,0.0008705,0.0008705,0.0008705
