epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7134,2.72076,8.05937,0.01611,0,0,0,0,2.50444,8.76969,0.02225,0.000409946,0.000409946,0.000409946
2,92.4712,2.45928,6.95772,0.01442,0,0,0,0,2.79533,7.64359,0.02529,0.000821157,0.000821157,0.000821157
3,117.591,2.32347,5.4924,0.01328,0.00262,0.41077,0.01889,0.00408,2.50692,5.51213,0.02212,0.00122687,0.00122687,0.00122687
4,143.296,2.29164,4.56234,0.01333,0.78018,0.03528,0.01507,0.003,2.77086,5.2048,0.02509,0.00122525,0.00122525,0.00122525
5,168.168,2.29225,3.88227,0.01311,0.28725,0.09294,0.02068,0.00522,2.26573,5.69094,0.01907,0.001217,0.001217,0.001217
6,193.302,2.25159,3.50036,0.01264,0.64537,0.17487,0.11233,0.03192,2.17211,4.30543,0.01796,0.00120875,0.00120875,0.00120875
7,216.855,2.20742,3.26492,0.01236,0.63738,0.20124,0.1279,0.03389,2.16332,3.40791,0.01796,0.0012005,0.0012005,0.0012005
8,241.591,2.21528,3.1218,0.01263,0.57723,0.11784,0.05092,0.01243,2.32485,3.93537,0.01941,0.00119225,0.00119225,0.00119225
9,262.682,2.18514,3.03478,0.01175,0.61239,0.1677,0.12177,0.03064,2.18212,3.34462,0.01822,0.001184,0.001184,0.001184
10,283.677,2.19463,2.96453,0.01234,0.6767,0.196,0.17441,0.05302,2.13974,3.0971,0.01746,0.00117575,0.00117575,0.00117575
11,304.754,2.16797,2.84077,0.01217,0.73063,0.16615,0.18889,0.0608,2.17065,2.79525,0.01771,0.0011675,0.0011675,0.0011675
12,322.872,2.13578,2.8236,0.01187,0.7358,0.20896,0.22914,0.07759,2.01681,2.84419,0.01645,0.00115925,0.00115925,0.00115925
13,337.659,2.13779,2.73059,0.01195,0.75919,0.24346,0.24214,0.0811,2.1343,2.73114,0.01785,0.001151,0.001151,0.001151
14,351.987,2.10555,2.78566,0.01168,0.73071,0.20109,0.21914,0.06611,2.17022,2.75926,0.01773,0.00114275,0.00114275,0.00114275
15,366.525,2.13771,2.71134,0.01191,0.72814,0.16674,0.15385,0.03576,2.3518,3.10894,0.01977,0.0011345,0.0011345,0.0011345
16,380.607,2.08007,2.64167,0.01138,0.48003,0.2087,0.22229,0.0795,2.15136,2.63854,0.01851,0.00112625,0.00112625,0.00112625
17,394.468,2.12554,2.59276,0.01193,0.76206,0.24371,0.26571,0.09144,2.0917,2.48106,0.01722,0.001118,0.001118,0.001118
18,408.208,2.0705,2.56461,0.0115,0.68617,0.16571,0.15877,0.04378,2.54149,2.89717,0.02125,0.00110975,0.00110975,0.00110975
19,422.387,2.06502,2.56963,0.01131,0.74838,0.26064,0.2595,0.09314,2.17331,2.46739,0.01841,0.0011015,0.0011015,0.0011015
20,436.427,2.08815,2.52161,0.01172,0.62631,0.09788,0.12188,0.03689,2.2696,3.3704,0.02038,0.00109325,0.00109325,0.00109325
21,450.709,2.06622,2.57181,0.01141,0.72121,0.24435,0.24264,0.08974,2.21202,2.41502,0.01865,0.001085,0.001085,0.001085
22,464.843,2.04607,2.48718,0.01141,0.754,0.24496,0.26003,0.08662,2.175,2.54658,0.01839,0.00107675,0.00107675,0.00107675
23,478.876,2.09889,2.43312,0.0113,0.74196,0.23936,0.25399,0.08559,2.18449,2.41242,0.01815,0.0010685,0.0010685,0.0010685
24,493.064,2.05531,2.42457,0.01126,0.73728,0.21853,0.23866,0.08034,2.23218,2.48299,0.01844,0.00106025,0.00106025,0.00106025
25,506.843,2.06447,2.42119,0.01129,0.81909,0.21809,0.2716,0.08801,2.2148,2.50006,0.01916,0.001052,0.001052,0.001052
26,518.623,2.06519,2.45403,0.01127,0.75695,0.2296,0.24743,0.07009,2.34457,2.43771,0.01958,0.00104375,0.00104375,0.00104375
27,530.041,2.06774,2.40912,0.01155,0.80584,0.22919,0.29079,0.09823,2.15472,2.50082,0.01784,0.0010355,0.0010355,0.0010355
28,539.408,2.05664,2.35231,0.01132,0.77212,0.26187,0.29725,0.10827,2.09762,2.35261,0.01766,0.00102725,0.00102725,0.00102725
29,549.062,2.02626,2.31688,0.01131,0.79111,0.27674,0.32177,0.11939,2.06859,2.38586,0.01709,0.001019,0.001019,0.001019
30,559.119,2.02505,2.37837,0.01114,0.78362,0.24136,0.29456,0.10353,2.18401,2.29775,0.01877,0.00101075,0.00101075,0.00101075
31,568.416,2.05083,2.26105,0.011,0.816,0.28739,0.29475,0.11053,2.14558,2.143,0.01793,0.0010025,0.0010025,0.0010025
32,577.763,2.03388,2.23753,0.01104,0.77836,0.2797,0.31295,0.10506,2.18131,2.43881,0.01829,0.00099425,0.00099425,0.00099425
33,586.799,2.06165,2.26852,0.01139,0.71311,0.22747,0.22691,0.07243,2.3313,2.53204,0.01933,0.000986,0.000986,0.000986
34,596.754,2.03502,2.26927,0.01113,0.77309,0.24749,0.29916,0.10331,2.05555,2.58183,0.01751,0.00097775,0.00097775,0.00097775
35,605.97,2.01798,2.21541,0.01137,0.52228,0.30881,0.31574,0.11104,2.14286,2.24965,0.01832,0.0009695,0.0009695,0.0009695
36,615.399,2.00732,2.24637,0.01093,0.7946,0.27453,0.31426,0.1033,2.22685,2.14173,0.01905,0.00096125,0.00096125,0.00096125
37,624.613,2.03368,2.23528,0.01119,0.77166,0.29189,0.31171,0.10547,2.1387,2.3813,0.01847,0.000953,0.000953,0.000953
38,634.639,1.98787,2.23475,0.01093,0.80434,0.2483,0.28731,0.09764,2.16182,2.4725,0.0183,0.00094475,0.00094475,0.00094475
39,643.974,2.02089,2.21569,0.0109,0.79818,0.26101,0.31236,0.10524,2.18619,2.28644,0.01825,0.0009365,0.0009365,0.0009365
40,653.325,2.02626,2.20059,0.01095,0.75687,0.2966,0.31541,0.11029,2.17518,2.26005,0.01813,0.00092825,0.00092825,0.00092825
41,663.661,1.94116,2.196,0.01073,0.77068,0.29859,0.32416,0.11493,2.12932,2.16471,0.01777,0.00092,0.00092,0.00092
42,673.107,2.02721,2.13071,0.01116,0.74418,0.28413,0.28952,0.10177,2.22833,2.17583,0.01918,0.00091175,0.00091175,0.00091175
43,682.402,1.96711,2.16176,0.01072,0.78111,0.30024,0.3036,0.10098,2.19502,2.24793,0.01852,0.0009035,0.0009035,0.0009035
44,691.714,1.97123,2.13422,0.01086,0.52629,0.25103,0.27559,0.09569,2.18309,2.29269,0.01847,0.00089525,0.00089525,0.00089525
45,701.514,2.0093,2.14516,0.01088,0.7837,0.25409,0.29069,0.10163,2.20241,2.1478,0.0194,0.000887,0.000887,0.000887
46,710.57,1.95346,2.06861,0.01059,0.75897,0.29085,0.29176,0.10745,2.21769,2.16651,0.01901,0.00087875,0.00087875,0.00087875
47,720.057,1.97357,2.1136,0.01092,0.83291,0.30761,0.33126,0.12469,2.15,2.03159,0.01842,0.0008705,0.0008705,0.0008705
48,729.617,1.98071,2.0859,0.01081,0.80782,0.26472,0.30188,0.11138,2.19252,2.1739,0.01849,0.00086225,0.00086225,0.00086225
49,739.39,1.94752,2.09603,0.01039,0.79535,0.2635,0.31365,0.11305,2.19869,2.14076,0.01875,0.000854,0.000854,0.000854
50,748.652,1.97528,2.09262,0.01085,0.80198,0.28738,0.30477,0.10589,2.2686,2.24074,0.0191,0.00084575,0.00084575,0.00084575
51,757.743,1.96158,2.0774,0.01064,0.7816,0.27837,0.29283,0.09888,2.1856,2.46563,0.01881,0.0008375,0.0008375,0.0008375
52,767.274,1.95473,1.98623,0.0105,0.75477,0.34975,0.3196,0.11233,2.22552,2.17152,0.019,0.00082925,0.00082925,0.00082925
53,777.181,1.93889,2.02508,0.01067,0.80569,0.27726,0.32752,0.11729,2.18821,2.11033,0.01872,0.000821,0.000821,0.000821
54,786.8,1.94663,2.01028,0.01063,0.84137,0.27916,0.32475,0.11435,2.19016,2.0882,0.01862,0.00081275,0.00081275,0.00081275
55,796.26,1.93992,1.99553,0.01041,0.5227,0.29476,0.31652,0.09722,2.31141,2.12326,0.01957,0.0008045,0.0008045,0.0008045
56,805.89,1.96941,2.00079,0.01086,0.83318,0.28817,0.32428,0.1105,2.1943,2.13171,0.01864,0.00079625,0.00079625,0.00079625
57,814.962,1.95755,1.96633,0.01063,0.5944,0.35042,0.3287,0.11145,2.37485,2.12113,0.02094,0.000788,0.000788,0.000788
58,824.207,1.97485,1.94161,0.01054,0.30865,0.36524,0.33391,0.1135,2.30534,2.0913,0.01995,0.00077975,0.00077975,0.00077975
