epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7064,2.70927,8.15714,0.01625,0,0,0,0,2.57089,8.87393,0.02306,0.000409946,0.000409946,0.000409946
2,104.606,2.43774,6.90925,0.01424,0.0005,0.11384,0.00134,0.00024,2.8333,7.84198,0.02527,0.000821157,0.000821157,0.000821157
3,129.712,2.2937,5.50162,0.01298,0.00125,0.26574,0.00697,0.00186,2.84188,6.783,0.02839,0.00122687,0.00122687,0.00122687
4,158.824,2.25064,4.49395,0.01253,0.6782,0.1346,0.08162,0.02418,2.04527,5.46869,0.01693,0.00122525,0.00122525,0.00122525
5,190.792,2.2303,3.86813,0.0129,0.59177,0.1263,0.10489,0.03082,2.25624,4.09936,0.01975,0.001217,0.001217,0.001217
6,216.764,2.24563,3.5039,0.01274,0.65325,0.17598,0.13665,0.04227,2.11505,3.24852,0.01741,0.00120875,0.00120875,0.00120875
7,247.678,2.22487,3.25591,0.01239,0.65401,0.20885,0.12892,0.03867,2.06715,3.47563,0.01696,0.0012005,0.0012005,0.0012005
8,280.116,2.22579,3.10839,0.01244,0.64609,0.23333,0.14816,0.05113,2.18431,3.07882,0.01865,0.00119225,0.00119225,0.00119225
9,312.774,2.20874,3.03329,0.01231,0.64097,0.19777,0.17434,0.05763,2.22974,2.97277,0.01953,0.001184,0.001184,0.001184
10,345.39,2.20394,2.88597,0.01209,0.69366,0.20658,0.17896,0.05902,2.10507,2.93465,0.01723,0.00117575,0.00117575,0.00117575
11,379.201,2.16131,2.83773,0.012,0.64722,0.23751,0.19156,0.06473,2.04659,3.04312,0.01693,0.0011675,0.0011675,0.0011675
12,414.177,2.17486,2.76302,0.01217,0.70087,0.22009,0.21111,0.06754,2.11433,2.88261,0.01748,0.00115925,0.00115925,0.00115925
13,447.891,2.15086,2.73815,0.01178,0.69912,0.21587,0.20077,0.06845,2.07769,2.66059,0.01717,0.001151,0.001151,0.001151
14,480.583,2.15369,2.68194,0.01173,0.68936,0.25176,0.22199,0.07072,2.10908,2.8311,0.01763,0.00114275,0.00114275,0.00114275
15,514.022,2.11462,2.62527,0.01154,0.70326,0.23013,0.23311,0.07185,2.13781,2.63541,0.01779,0.0011345,0.0011345,0.0011345
16,547.115,2.10507,2.61573,0.01181,0.72004,0.23783,0.25876,0.09145,2.04738,2.57138,0.01702,0.00112625,0.00112625,0.00112625
17,579.726,2.14809,2.55039,0.01191,0.74783,0.24505,0.26542,0.08945,2.11866,2.4428,0.01763,0.001118,0.001118,0.001118
18,613.61,2.12553,2.55613,0.01171,0.71062,0.25471,0.24278,0.08447,2.075,2.46677,0.01689,0.00110975,0.00110975,0.00110975
19,647.455,2.12833,2.47336,0.01209,0.7544,0.22835,0.24949,0.08125,2.13369,2.45206,0.01758,0.0011015,0.0011015,0.0011015
20,681.208,2.10721,2.44719,0.01154,0.77744,0.2271,0.26513,0.09732,2.08335,2.38347,0.01744,0.00109325,0.00109325,0.00109325
21,715.888,2.13595,2.44547,0.01171,0.47622,0.29942,0.29951,0.1046,2.09151,2.32798,0.01741,0.001085,0.001085,0.001085
22,749.18,2.09062,2.42443,0.01154,0.76154,0.25569,0.28266,0.09627,2.17359,2.37866,0.01823,0.00107675,0.00107675,0.00107675
23,783.972,2.07487,2.40279,0.01152,0.76397,0.25883,0.32332,0.10797,2.13788,2.24951,0.01792,0.0010685,0.0010685,0.0010685
24,817.367,2.08637,2.38305,0.01126,0.536,0.26127,0.29398,0.09971,2.15029,2.36974,0.01777,0.00106025,0.00106025,0.00106025
25,850.908,2.08375,2.38034,0.01143,0.78143,0.23418,0.27779,0.09161,2.09433,2.41517,0.01749,0.001052,0.001052,0.001052
26,884.002,2.06744,2.37663,0.0114,0.81426,0.23116,0.29472,0.09889,2.09248,2.33579,0.01764,0.00104375,0.00104375,0.00104375
27,916.268,2.07238,2.3794,0.01126,0.7985,0.25813,0.29941,0.10748,1.99215,2.35684,0.01652,0.0010355,0.0010355,0.0010355
28,948.326,2.04856,2.3256,0.01117,0.50169,0.31829,0.27668,0.09946,2.04654,2.3907,0.01706,0.00102725,0.00102725,0.00102725
29,979.5,2.02814,2.26741,0.01105,0.55282,0.25888,0.27482,0.09706,2.03276,2.34341,0.01705,0.001019,0.001019,0.001019
30,1011.56,2.03704,2.32287,0.01133,0.77369,0.24189,0.29803,0.0989,2.10671,2.34714,0.0175,0.00101075,0.00101075,0.00101075
31,1043.26,2.07903,2.25556,0.01128,0.76105,0.24542,0.29778,0.10607,2.14148,2.26018,0.01796,0.0010025,0.0010025,0.0010025
32,1075.86,2.04572,2.26422,0.0112,0.78693,0.25718,0.28092,0.0958,2.09204,2.31146,0.01765,0.00099425,0.00099425,0.00099425
