epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0585,2.7182,8.13629,0.01609,0,0,0,0,2.50134,8.82978,0.02242,0.000409946,0.000409946,0.000409946
2,52.4129,2.41498,7.01761,0.01412,5e-05,0.00532,0,0,2.55007,7.25932,0.02305,0.000821157,0.000821157,0.000821157
3,63.1201,2.31467,5.5046,0.01322,0.77349,0.07639,0.03174,0.00662,2.26168,6.12343,0.02036,0.00122687,0.00122687,0.00122687
4,77.1008,2.24184,4.56871,0.01286,0.29875,0.09397,0.0471,0.01177,2.12258,4.90076,0.01806,0.00122525,0.00122525,0.00122525
5,91.1146,2.26511,3.89808,0.0129,0.27556,0.04211,0.0064,0.00182,2.99571,5.55893,0.02692,0.001217,0.001217,0.001217
6,108.277,2.2391,3.53329,0.01257,0.60862,0.11381,0.08679,0.02516,2.09812,3.69512,0.01791,0.00120875,0.00120875,0.00120875
7,121.028,2.22331,3.30632,0.01245,0.62273,0.14894,0.12202,0.04255,1.94949,3.65014,0.01661,0.0012005,0.0012005,0.0012005
8,137.702,2.21298,3.1153,0.01256,0.54199,0.0096,0.00819,0.0031,3.68183,5.49501,0.03708,0.00119225,0.00119225,0.00119225
9,159.504,2.18908,3.00481,0.01181,0.59385,0.14258,0.11681,0.04083,2.07748,3.68292,0.01725,0.001184,0.001184,0.001184
10,181.596,2.19959,2.95663,0.01242,0.33692,0.0523,0.03927,0.00692,3.08327,5.15218,0.02771,0.00117575,0.00117575,0.00117575
11,204.377,2.20839,2.81771,0.01242,0.73095,0.17147,0.18895,0.06213,2.05911,3.1928,0.0173,0.0011675,0.0011675,0.0011675
12,224.426,2.16785,2.85626,0.01211,0.39304,0.17923,0.15728,0.05322,2.10378,3.25763,0.01768,0.00115925,0.00115925,0.00115925
13,248.182,2.14629,2.72132,0.01205,0.65535,0.1414,0.11157,0.03272,2.55467,3.50414,0.02105,0.001151,0.001151,0.001151
14,268.852,2.14874,2.72048,0.01203,0.73611,0.22239,0.22971,0.07315,2.05483,2.69373,0.01735,0.00114275,0.00114275,0.00114275
15,288.02,2.18821,2.68089,0.01235,0.66882,0.21683,0.18579,0.05826,2.10256,2.86685,0.01808,0.0011345,0.0011345,0.0011345
16,306.944,2.16176,2.58451,0.01197,0.7564,0.21786,0.25003,0.08614,2.08392,2.47116,0.0176,0.00112625,0.00112625,0.00112625
17,325.267,2.17648,2.5714,0.0124,0.71197,0.20176,0.18166,0.05017,2.32553,2.77086,0.0196,0.001118,0.001118,0.001118
18,344.215,2.13175,2.52922,0.01201,0.70873,0.22192,0.224,0.06737,2.10689,2.61785,0.01766,0.00110975,0.00110975,0.00110975
19,364.393,2.12669,2.52724,0.01182,0.77549,0.21928,0.24426,0.08443,2.08564,2.59672,0.01765,0.0011015,0.0011015,0.0011015
20,387.742,2.17347,2.47219,0.0123,0.72551,0.25002,0.22866,0.06911,2.1653,2.82594,0.01842,0.00109325,0.00109325,0.00109325
21,411.891,2.12563,2.53581,0.01189,0.76686,0.21151,0.24699,0.07727,2.2367,2.48718,0.019,0.001085,0.001085,0.001085
22,432.41,2.09006,2.48012,0.01172,0.73255,0.1693,0.16588,0.03925,2.43817,3.17888,0.02062,0.00107675,0.00107675,0.00107675
23,454.527,2.16933,2.46242,0.01182,0.79276,0.222,0.25991,0.08468,2.19012,2.42277,0.0184,0.0010685,0.0010685,0.0010685
24,479.99,2.07466,2.41109,0.01135,0.76239,0.2203,0.24324,0.07973,2.06446,2.70109,0.0174,0.00106025,0.00106025,0.00106025
25,504.979,2.09622,2.3833,0.01155,0.77473,0.25672,0.27329,0.08755,2.26652,2.21711,0.0193,0.001052,0.001052,0.001052
26,529.734,2.11605,2.40102,0.0116,0.73661,0.21277,0.22437,0.06177,2.31862,2.53562,0.01957,0.00104375,0.00104375,0.00104375
27,555.688,2.13073,2.35846,0.01194,0.78382,0.23692,0.25325,0.08523,2.1405,2.30458,0.01822,0.0010355,0.0010355,0.0010355
28,581.2,2.06665,2.3573,0.01139,0.74346,0.2469,0.24923,0.08293,2.16909,2.45132,0.01826,0.00102725,0.00102725,0.00102725
29,607.381,2.06637,2.25696,0.01161,0.76825,0.23501,0.26443,0.07988,2.2073,2.55201,0.01833,0.001019,0.001019,0.001019
30,635.409,2.05243,2.39263,0.01137,0.7345,0.24738,0.24264,0.07739,2.17853,2.51893,0.01848,0.00101075,0.00101075,0.00101075
31,662.799,2.07048,2.28691,0.01113,0.78537,0.23234,0.28224,0.09126,2.19399,2.31609,0.01905,0.0010025,0.0010025,0.0010025
32,688.885,2.06557,2.25124,0.01126,0.76414,0.283,0.29608,0.0941,2.22179,2.15068,0.0189,0.00099425,0.00099425,0.00099425
33,716.417,2.0893,2.29747,0.01157,0.80803,0.24365,0.2934,0.10101,2.15087,2.20548,0.01809,0.000986,0.000986,0.000986
34,743.215,2.11145,2.26442,0.01164,0.78029,0.21114,0.23704,0.07396,2.29258,2.39489,0.01938,0.00097775,0.00097775,0.00097775
35,768.803,2.04975,2.21852,0.0116,0.81113,0.26303,0.30861,0.10647,2.14961,2.17799,0.01852,0.0009695,0.0009695,0.0009695
36,795.093,2.07681,2.26742,0.01137,0.76256,0.24756,0.2563,0.08523,2.24554,2.26607,0.01913,0.00096125,0.00096125,0.00096125
37,820.882,2.06534,2.20955,0.01142,0.78151,0.24945,0.30804,0.10658,2.15084,2.16456,0.01839,0.000953,0.000953,0.000953
38,847.312,2.03645,2.178,0.01125,0.78813,0.27859,0.30039,0.09822,2.19546,2.37988,0.01848,0.00094475,0.00094475,0.00094475
39,873.312,2.07037,2.18516,0.01123,0.78717,0.26389,0.28479,0.08886,2.23687,2.27085,0.01874,0.0009365,0.0009365,0.0009365
