epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.621,1.82149,1.52547,0.00822,0.48901,0.55652,0.49013,0.21665,1.96131,1.60607,0.01164,0.000415556,0.000415556,0.000415556
2,683.213,1.81471,1.48215,0.00835,0.49217,0.5582,0.49991,0.21716,1.94425,1.58943,0.01146,0.000831409,0.000831409,0.000831409
3,1010.42,1.81928,1.52,0.00827,0.46612,0.59201,0.50436,0.22082,1.93566,1.56286,0.01137,0.00124401,0.00124401,0.00124401
4,1339.8,1.81363,1.54345,0.00827,0.47368,0.58697,0.50153,0.22541,1.92231,1.59494,0.01141,0.00123904,0.00123904,0.00123904
5,1666.3,1.8087,1.51753,0.00816,0.50547,0.57336,0.50662,0.22062,1.90968,1.57012,0.01129,0.00123056,0.00123056,0.00123056
6,1993.74,1.79351,1.51799,0.00807,0.48776,0.56722,0.48653,0.21049,1.95942,1.55743,0.01174,0.00121972,0.00121972,0.00121972
7,2321.19,1.78889,1.5057,0.00812,0.51123,0.5853,0.51949,0.23609,1.92357,1.50616,0.0113,0.00120655,0.00120655,0.00120655
8,2650.87,1.77143,1.50902,0.00804,0.49758,0.54783,0.48363,0.2132,1.92095,1.58078,0.01134,0.00119111,0.00119111,0.00119111
9,2980.07,1.78223,1.48295,0.00808,0.51141,0.58634,0.52627,0.22759,1.94329,1.48469,0.01154,0.00117346,0.00117346,0.00117346
10,3307.14,1.76708,1.49459,0.00789,0.50969,0.55705,0.50622,0.23059,1.89581,1.55129,0.01118,0.00115368,0.00115368,0.00115368
11,3635.97,1.76618,1.50005,0.00793,0.4993,0.57543,0.51187,0.23537,1.87081,1.55555,0.01092,0.00113183,0.00113183,0.00113183
12,3961.78,1.75183,1.44392,0.00778,0.48923,0.57254,0.5159,0.23339,1.89025,1.56061,0.01107,0.00110801,0.00110801,0.00110801
13,4287.49,1.74654,1.44137,0.00784,0.45371,0.60224,0.48183,0.2146,1.92648,1.57148,0.01134,0.0010823,0.0010823,0.0010823
14,4613.09,1.73569,1.44546,0.00769,0.50975,0.56772,0.5139,0.23012,1.92451,1.51444,0.01136,0.00105481,0.00105481,0.00105481
15,4938.36,1.73565,1.44021,0.00773,0.50998,0.5743,0.51654,0.23123,1.93548,1.53335,0.01143,0.00102566,0.00102566,0.00102566
16,5265.09,1.7245,1.40507,0.00766,0.51004,0.58602,0.52311,0.22892,1.9433,1.48899,0.01146,0.000994942,0.000994942,0.000994942
