epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.474,2.01881,3.42871,0.00911,0.29937,0.48988,0.28709,0.11394,2.00434,2.29755,0.01127,0.000412234,0.000412234,0.000412234
2,188.421,1.90454,1.92532,0.00845,0.40516,0.53299,0.4197,0.17392,2.03511,1.80187,0.01155,0.000815224,0.000815224,0.000815224
3,273.991,1.91281,1.81587,0.00846,0.42037,0.54263,0.44663,0.18915,2.0449,1.79866,0.01195,0.00120446,0.00120446,0.00120446
4,357.754,1.90478,1.80927,0.00843,0.40287,0.55581,0.4453,0.19139,2.00633,1.89831,0.01161,0.00118812,0.00118812,0.00118812
5,441.973,1.88616,1.72835,0.00825,0.4855,0.52662,0.46799,0.20982,1.96813,1.67395,0.01114,0.0011675,0.0011675,0.0011675
6,522.932,1.856,1.69326,0.00808,0.44426,0.55094,0.46224,0.20705,1.94549,1.66841,0.01106,0.00114688,0.00114688,0.00114688
7,602.999,1.84275,1.68831,0.0082,0.46628,0.5436,0.47913,0.21351,1.91552,1.63052,0.01083,0.00112625,0.00112625,0.00112625
8,683.411,1.84203,1.66032,0.00819,0.47132,0.56095,0.49193,0.21306,1.95111,1.66658,0.01109,0.00110563,0.00110563,0.00110563
9,763.118,1.82792,1.63899,0.00808,0.48486,0.52306,0.47354,0.21373,1.91671,1.66833,0.01091,0.001085,0.001085,0.001085
10,843.363,1.83492,1.63706,0.00796,0.47319,0.52926,0.48245,0.21861,1.90587,1.60541,0.0108,0.00106437,0.00106437,0.00106437
11,924.161,1.80953,1.59683,0.00798,0.50119,0.54034,0.4857,0.21934,1.91787,1.55644,0.01085,0.00104375,0.00104375,0.00104375
12,1008.43,1.79894,1.57482,0.00784,0.46053,0.52864,0.47183,0.21597,1.91973,1.65789,0.01102,0.00102312,0.00102312,0.00102312
13,1089.63,1.79216,1.58062,0.00776,0.46973,0.56222,0.48401,0.21799,1.90496,1.59676,0.01074,0.0010025,0.0010025,0.0010025
14,1169.72,1.77791,1.5681,0.00778,0.49131,0.54528,0.4936,0.22692,1.89763,1.61208,0.01078,0.000981875,0.000981875,0.000981875
15,1252.47,1.78486,1.55725,0.00773,0.48194,0.55394,0.49597,0.233,1.90143,1.58226,0.01077,0.00096125,0.00096125,0.00096125
16,1334.44,1.77418,1.55167,0.00771,0.4971,0.54461,0.49983,0.23369,1.89949,1.58814,0.01069,0.000940625,0.000940625,0.000940625
17,1415.17,1.75366,1.52603,0.00765,0.49761,0.53652,0.49814,0.2333,1.87359,1.58688,0.01062,0.00092,0.00092,0.00092
18,1495.03,1.74527,1.5042,0.00758,0.47067,0.56923,0.49676,0.23067,1.88191,1.57297,0.01064,0.000899375,0.000899375,0.000899375
19,1575.44,1.75623,1.50626,0.00765,0.49313,0.52473,0.49763,0.23223,1.89427,1.54577,0.01067,0.00087875,0.00087875,0.00087875
20,1655.16,1.75481,1.48545,0.00771,0.4863,0.56785,0.50319,0.23251,1.88529,1.59005,0.01071,0.000858125,0.000858125,0.000858125
21,1735.5,1.7418,1.46923,0.00749,0.5002,0.54919,0.50394,0.23726,1.85075,1.58895,0.01046,0.0008375,0.0008375,0.0008375
22,1816.48,1.73637,1.46969,0.0075,0.52103,0.56305,0.51351,0.23608,1.91575,1.53949,0.01092,0.000816875,0.000816875,0.000816875
23,1896.77,1.7191,1.42693,0.00746,0.43811,0.56604,0.46484,0.21132,1.90074,1.61495,0.01073,0.00079625,0.00079625,0.00079625
24,1976.1,1.72412,1.42372,0.00743,0.46494,0.57546,0.49119,0.21461,1.94198,1.56266,0.01119,0.000775625,0.000775625,0.000775625
25,2057.83,1.71542,1.41077,0.00753,0.50173,0.53964,0.49716,0.23329,1.87592,1.584,0.01061,0.000755,0.000755,0.000755
26,2137.35,1.69925,1.398,0.00727,0.49526,0.53275,0.48236,0.21978,1.91662,1.58698,0.01076,0.000734375,0.000734375,0.000734375
27,2217.03,1.69181,1.39252,0.00727,0.50934,0.54119,0.50622,0.23304,1.92615,1.54253,0.01091,0.00071375,0.00071375,0.00071375
28,2296.91,1.70136,1.3646,0.00734,0.48522,0.57069,0.50557,0.23244,1.9421,1.53617,0.01097,0.000693125,0.000693125,0.000693125
29,2378.64,1.6762,1.35614,0.00723,0.48349,0.56354,0.49684,0.23062,1.91799,1.55075,0.01085,0.0006725,0.0006725,0.0006725
30,2467.05,1.67848,1.33325,0.00725,0.50524,0.54554,0.49923,0.23455,1.90705,1.57265,0.01084,0.000651875,0.000651875,0.000651875
