epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,465.055,0.85659,1.51775,0.29621,0.46269,0.64058,0.48985,0.2172,0.67319,0.61529,0.22883,0.000416111,0.000416111,0.000416111
2,916.931,0.65909,0.62623,0.19641,0.48487,0.59703,0.48871,0.22011,0.66751,0.61403,0.2246,0.000832213,0.000832213,0.000832213
3,1368.3,0.64931,0.63379,0.19289,0.47755,0.60415,0.50495,0.2312,0.63308,0.63458,0.21486,0.00124606,0.00124606,0.00124606
4,1812.11,0.6359,0.62498,0.18468,0.48977,0.59897,0.4987,0.21969,0.63702,0.64613,0.21945,0.00124238,0.00124238,0.00124238
5,2254.99,0.63523,0.6199,0.18307,0.49043,0.63688,0.53252,0.2454,0.63291,0.60629,0.21202,0.00123648,0.00123648,0.00123648
6,2713.14,0.62862,0.61443,0.18333,0.48888,0.63009,0.53928,0.24471,0.64928,0.59745,0.22768,0.00122892,0.00122892,0.00122892
7,3155.04,0.62029,0.60639,0.18408,0.48433,0.62962,0.5267,0.2406,0.63633,0.60832,0.21837,0.00121972,0.00121972,0.00121972
8,3602.86,0.62279,0.60785,0.18488,0.4503,0.66457,0.53326,0.24872,0.63241,0.60432,0.21234,0.0012089,0.0012089,0.0012089
9,4045.85,0.6169,0.60418,0.18252,0.47382,0.64378,0.54269,0.24322,0.63116,0.61051,0.21614,0.00119651,0.00119651,0.00119651
10,4491.8,0.61296,0.60784,0.1783,0.51008,0.5961,0.53171,0.24454,0.63034,0.61534,0.21052,0.00118256,0.00118256,0.00118256
11,4934.95,0.62081,0.60616,0.18491,0.50871,0.61681,0.5324,0.24442,0.63564,0.59562,0.21467,0.0011671,0.0011671,0.0011671
12,5379.56,0.61138,0.6019,0.17696,0.49497,0.62108,0.52634,0.24004,0.61712,0.62864,0.20744,0.00115018,0.00115018,0.00115018
13,5821.03,0.60402,0.60337,0.17557,0.48415,0.65156,0.53157,0.24392,0.63417,0.61096,0.21719,0.00113183,0.00113183,0.00113183
14,6263.42,0.60361,0.60209,0.17446,0.52492,0.64041,0.54266,0.24877,0.6298,0.59778,0.21132,0.00111211,0.00111211,0.00111211
15,6721.08,0.60731,0.59747,0.17712,0.52574,0.64967,0.54933,0.24926,0.63583,0.6048,0.21338,0.00109107,0.00109107,0.00109107
16,7166.05,0.60503,0.60202,0.1767,0.5071,0.63521,0.54526,0.24707,0.6356,0.60414,0.21254,0.00106877,0.00106877,0.00106877
17,7607.91,0.59963,0.59189,0.1756,0.5405,0.60979,0.55405,0.24889,0.63329,0.60072,0.21519,0.00104527,0.00104527,0.00104527
18,8049.5,0.59814,0.5997,0.17455,0.52761,0.59585,0.53766,0.23821,0.64102,0.60897,0.21554,0.00102064,0.00102064,0.00102064
19,8493.14,0.59805,0.59559,0.17444,0.50371,0.64013,0.54998,0.24641,0.63731,0.58986,0.21461,0.000994942,0.000994942,0.000994942
20,8936.68,0.59547,0.59249,0.17662,0.53337,0.60117,0.55285,0.25086,0.64263,0.59127,0.21771,0.000968245,0.000968245,0.000968245
21,9387.14,0.59125,0.58597,0.17172,0.50951,0.62769,0.53969,0.24752,0.64491,0.5995,0.21986,0.000940625,0.000940625,0.000940625
22,9831.07,0.58851,0.57973,0.16893,0.5145,0.64782,0.55233,0.25134,0.64358,0.59321,0.21913,0.000912157,0.000912157,0.000912157
23,10275,0.58083,0.59169,0.17078,0.53605,0.60657,0.55288,0.247,0.64417,0.596,0.21803,0.000882918,0.000882918,0.000882918
24,10716.6,0.58559,0.5868,0.1679,0.51239,0.62156,0.53698,0.24782,0.63519,0.60291,0.21456,0.00085299,0.00085299,0.00085299
25,11160,0.57727,0.58459,0.16779,0.54114,0.60611,0.54685,0.25438,0.63257,0.59517,0.21346,0.000822454,0.000822454,0.000822454
26,11603.5,0.57348,0.58363,0.16367,0.53077,0.63896,0.55144,0.25323,0.63684,0.60497,0.21519,0.000791394,0.000791394,0.000791394
27,12047,0.56697,0.58415,0.16334,0.5091,0.61462,0.52962,0.24305,0.6482,0.60214,0.21961,0.000759895,0.000759895,0.000759895
28,12489.8,0.56448,0.57809,0.16258,0.48271,0.66193,0.54403,0.24567,0.64311,0.59142,0.21951,0.000728044,0.000728044,0.000728044
29,12934.1,0.56061,0.57698,0.16278,0.48946,0.63707,0.53211,0.24162,0.64652,0.60094,0.22054,0.000695927,0.000695927,0.000695927
30,13376.9,0.56869,0.57665,0.1636,0.55179,0.5905,0.55019,0.25082,0.64255,0.59726,0.21519,0.000663633,0.000663633,0.000663633
31,13819.7,0.56104,0.57233,0.16028,0.52477,0.61548,0.55169,0.24189,0.64685,0.60032,0.22114,0.00063125,0.00063125,0.00063125
32,14261.7,0.54955,0.57009,0.15726,0.54291,0.60252,0.55488,0.24586,0.64603,0.61691,0.22066,0.000598867,0.000598867,0.000598867
33,14704.1,0.55194,0.56565,0.16121,0.50537,0.63864,0.54768,0.24422,0.6581,0.59727,0.22708,0.000566573,0.000566573,0.000566573
34,15146.2,0.54828,0.56538,0.15773,0.52439,0.60991,0.54938,0.24365,0.64798,0.6072,0.22237,0.000534456,0.000534456,0.000534456
35,15588.3,0.54253,0.56506,0.15584,0.53221,0.62058,0.54898,0.23771,0.6529,0.60384,0.22591,0.000502605,0.000502605,0.000502605
