epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.637,1.80603,4.57351,0.00825,0.34377,0.40695,0.30358,0.11928,1.94226,2.41981,0.01149,0.000416111,0.000416111,0.000416111
2,818.427,1.8752,2.08621,0.00863,0.40555,0.51015,0.39679,0.16919,1.88979,1.95764,0.01112,0.000832213,0.000832213,0.000832213
3,1214.54,1.868,1.98704,0.00858,0.37958,0.50828,0.38589,0.16897,1.84546,2.02702,0.01092,0.00124606,0.00124606,0.00124606
4,1602.54,1.85159,1.91516,0.00858,0.42222,0.52785,0.4298,0.18849,1.91138,1.79306,0.01129,0.00124238,0.00124238,0.00124238
5,1992.94,1.84108,1.89449,0.00843,0.38765,0.57583,0.44114,0.19003,1.91736,1.76947,0.01124,0.00123648,0.00123648,0.00123648
6,2394.31,1.82534,1.84296,0.00826,0.46708,0.52554,0.47516,0.21398,1.85723,1.74595,0.01079,0.00122892,0.00122892,0.00122892
7,2779.31,1.80924,1.83279,0.00831,0.41785,0.53949,0.43344,0.19,1.84121,1.7834,0.01085,0.00121972,0.00121972,0.00121972
8,3162.26,1.79888,1.8076,0.00814,0.41883,0.54126,0.44347,0.20133,1.84224,1.7202,0.01072,0.0012089,0.0012089,0.0012089
9,3544.07,1.80684,1.74836,0.00819,0.42563,0.53646,0.45872,0.21435,1.83511,1.71612,0.01072,0.00119651,0.00119651,0.00119651
10,3930.74,1.80142,1.73076,0.00828,0.39926,0.55191,0.44581,0.20572,1.82921,1.77001,0.01082,0.00118256,0.00118256,0.00118256
11,4313.7,1.77451,1.74161,0.00819,0.45989,0.56145,0.471,0.21414,1.86964,1.64486,0.01117,0.0011671,0.0011671,0.0011671
12,4695.38,1.77721,1.70827,0.00806,0.45081,0.58053,0.49115,0.22486,1.8474,1.6572,0.01099,0.00115018,0.00115018,0.00115018
13,5077.76,1.74698,1.70853,0.00797,0.44865,0.54995,0.47035,0.21619,1.85493,1.64426,0.01102,0.00113183,0.00113183,0.00113183
14,5462.05,1.76675,1.68385,0.00799,0.41266,0.54961,0.44842,0.2077,1.84015,1.64327,0.01077,0.00111211,0.00111211,0.00111211
15,5843.76,1.75025,1.67542,0.00795,0.48337,0.56125,0.5026,0.22547,1.85033,1.61763,0.01089,0.00109107,0.00109107,0.00109107
16,6226.82,1.75672,1.66312,0.00797,0.48252,0.56822,0.49403,0.22053,1.91727,1.56743,0.01135,0.00106877,0.00106877,0.00106877
17,6607.52,1.75055,1.63707,0.00804,0.43823,0.58914,0.48558,0.22712,1.81667,1.61292,0.0106,0.00104527,0.00104527,0.00104527
18,6989.27,1.73822,1.63832,0.00778,0.46832,0.6022,0.51122,0.23035,1.84538,1.5973,0.01087,0.00102064,0.00102064,0.00102064
19,7370.24,1.74131,1.60633,0.00797,0.44496,0.58874,0.49729,0.23866,1.8242,1.59409,0.0106,0.000994942,0.000994942,0.000994942
20,7756.57,1.72678,1.58358,0.00786,0.45138,0.59358,0.49344,0.22565,1.84833,1.59718,0.01088,0.000968245,0.000968245,0.000968245
21,8137.2,1.73494,1.5789,0.00788,0.4981,0.55179,0.50738,0.23367,1.84151,1.59516,0.01085,0.000940625,0.000940625,0.000940625
22,8519.31,1.71135,1.57264,0.00785,0.47073,0.55241,0.49486,0.23424,1.81361,1.60511,0.01066,0.000912157,0.000912157,0.000912157
23,8900.61,1.72498,1.56188,0.00778,0.49081,0.54941,0.50324,0.23723,1.83457,1.57667,0.01071,0.000882918,0.000882918,0.000882918
24,9281.12,1.72339,1.54698,0.00781,0.49492,0.5937,0.52595,0.24621,1.85461,1.53449,0.0109,0.00085299,0.00085299,0.00085299
25,9661.56,1.70112,1.53132,0.00757,0.49647,0.5625,0.50182,0.23187,1.86615,1.55536,0.01096,0.000822454,0.000822454,0.000822454
26,10041.7,1.71301,1.53606,0.00771,0.48326,0.58641,0.49898,0.23704,1.83424,1.55218,0.01077,0.000791394,0.000791394,0.000791394
27,10424.4,1.70496,1.51418,0.00762,0.48374,0.56437,0.50159,0.23533,1.84947,1.5578,0.0109,0.000759895,0.000759895,0.000759895
28,10809.2,1.69721,1.47666,0.00773,0.50572,0.58473,0.51387,0.24529,1.82949,1.52321,0.0107,0.000728044,0.000728044,0.000728044
29,11188.8,1.69205,1.48968,0.00765,0.50311,0.55241,0.50611,0.2309,1.88016,1.5392,0.01116,0.000695927,0.000695927,0.000695927
30,11568.6,1.67594,1.45472,0.00766,0.50727,0.59234,0.53688,0.25175,1.83631,1.50236,0.01073,0.000663633,0.000663633,0.000663633
31,11950.4,1.68621,1.4622,0.00766,0.52046,0.56921,0.52988,0.25192,1.82958,1.51405,0.01067,0.00063125,0.00063125,0.00063125
32,12331.2,1.66192,1.46265,0.00741,0.50997,0.57017,0.50868,0.23833,1.83291,1.5464,0.01067,0.000598867,0.000598867,0.000598867
33,12712.2,1.65769,1.44428,0.00742,0.51567,0.57234,0.51816,0.24517,1.82545,1.52473,0.01065,0.000566573,0.000566573,0.000566573
34,13092.3,1.62916,1.43885,0.00729,0.50572,0.57507,0.50995,0.2447,1.8221,1.54548,0.0106,0.000534456,0.000534456,0.000534456
35,13472,1.63796,1.40651,0.00741,0.49297,0.57748,0.5052,0.23872,1.85346,1.54282,0.01087,0.000502605,0.000502605,0.000502605
36,13852,1.64723,1.40052,0.00742,0.51629,0.55216,0.51007,0.23946,1.84311,1.54073,0.01081,0.000471106,0.000471106,0.000471106
37,14231.7,1.6353,1.36484,0.00738,0.48601,0.59295,0.51556,0.2391,1.85068,1.51652,0.01078,0.000440046,0.000440046,0.000440046
38,14611.5,1.63305,1.3639,0.00739,0.51997,0.53696,0.50646,0.2358,1.85368,1.56424,0.01082,0.00040951,0.00040951,0.00040951
39,14992.2,1.62363,1.33848,0.0073,0.49295,0.55243,0.49612,0.22444,1.90665,1.54698,0.01128,0.000379582,0.000379582,0.000379582
40,15375.6,1.60056,1.31527,0.00724,0.50025,0.54347,0.49854,0.2319,1.88321,1.55025,0.01106,0.000350343,0.000350343,0.000350343
41,15756.1,1.59771,1.31523,0.00718,0.50339,0.56476,0.51012,0.2361,1.87758,1.5571,0.01106,0.000321875,0.000321875,0.000321875
42,16135.3,1.58522,1.30217,0.00712,0.49367,0.5737,0.51327,0.24033,1.87016,1.55151,0.01099,0.000294255,0.000294255,0.000294255
43,16515.1,1.5779,1.27178,0.00709,0.51866,0.57996,0.53354,0.24695,1.89295,1.5106,0.0111,0.000267558,0.000267558,0.000267558
44,16896.3,1.57659,1.25385,0.00711,0.50808,0.57097,0.51147,0.24023,1.88712,1.5321,0.011,0.000241858,0.000241858,0.000241858
45,17275.6,1.55475,1.23771,0.00692,0.49867,0.54536,0.49825,0.2316,1.90076,1.54215,0.01116,0.000217225,0.000217225,0.000217225
46,17656.6,1.55365,1.23062,0.0069,0.50658,0.55521,0.5002,0.23478,1.90253,1.54406,0.01118,0.000193728,0.000193728,0.000193728
47,18036.3,1.55078,1.20311,0.00682,0.50122,0.56437,0.4988,0.23017,1.90372,1.55136,0.01115,0.000171429,0.000171429,0.000171429
48,18416.3,1.5328,1.19397,0.00689,0.53246,0.54449,0.50176,0.23443,1.89238,1.55847,0.01107,0.000150391,0.000150391,0.000150391
49,18796.3,1.53078,1.19293,0.00681,0.5192,0.54131,0.50393,0.23618,1.9103,1.54658,0.01119,0.000130671,0.000130671,0.000130671
50,19175.9,1.53181,1.17717,0.00678,0.50967,0.5571,0.49476,0.22844,1.91774,1.59825,0.01129,0.000112323,0.000112323,0.000112323
51,19558.6,1.53168,1.06459,0.0079,0.52797,0.55506,0.50883,0.23423,1.92636,1.54488,0.01134,9.53968e-05,9.53968e-05,9.53968e-05
52,19937.6,1.51083,1.03332,0.00781,0.51971,0.55367,0.50744,0.2346,1.91989,1.57048,0.01124,7.99397e-05,7.99397e-05,7.99397e-05
53,20320.5,1.49617,1.02479,0.00766,0.50929,0.56156,0.49835,0.23053,1.92078,1.6169,0.01127,6.59937e-05,6.59937e-05,6.59937e-05
54,20705.1,1.49258,1.00542,0.0076,0.51596,0.54998,0.49969,0.23057,1.93104,1.59773,0.0113,5.35971e-05,5.35971e-05,5.35971e-05
55,21087.8,1.48942,0.99119,0.00754,0.51394,0.54882,0.50304,0.2331,1.9343,1.59862,0.01136,4.27838e-05,4.27838e-05,4.27838e-05
56,21469.4,1.47915,0.99358,0.00751,0.50896,0.56603,0.50107,0.23111,1.94445,1.58833,0.01142,3.35834e-05,3.35834e-05,3.35834e-05
57,21850.9,1.48458,0.9801,0.00752,0.51899,0.55347,0.49906,0.23014,1.93693,1.61221,0.01138,2.60212e-05,2.60212e-05,2.60212e-05
58,22229.4,1.48639,0.97658,0.0076,0.5157,0.55696,0.5,0.2306,1.94516,1.59218,0.01141,2.01178e-05,2.01178e-05,2.01178e-05
59,22608.1,1.47798,0.97536,0.00747,0.51909,0.54981,0.49991,0.23011,1.94341,1.6063,0.01143,1.58896e-05,1.58896e-05,1.58896e-05
60,22986.8,1.47596,0.96892,0.00754,0.50755,0.55674,0.49653,0.2276,1.94685,1.60204,0.01144,1.3348e-05,1.3348e-05,1.3348e-05
