record_id,doi,title,year,source_databases,query_ids,abstract_available,abstract_screen_decision,abstract_screen_exclusion_code,abstract_screen_confidence,abstract_screen_basis,mechanism_evidence,global_output_evidence,full_text_status
R-351d77cffeee4d7a,10.21609/jiki.v9i1.287,,2016,OpenAlex,Q6,yes,exclude_abstract,EC1,high,"global production, yield, biomass, or land-use output; evidence: . Oil palm has increased significantly in Riau Province in every period, to determine the production development for the next few years with the functions and benefits of oil palm carried prediction production results that were seen from time series data last 8 years (2005-2013). In its prediction implementation, it was done by comparing the perf",,"global production, yield, biomass, or land-use output: . Oil palm has increased significantly in Riau Province in every period, to determine the production development for the next few years with the functions and benefits of oil palm carried prediction production results that were seen from time series data last 8 years (2005-2013). In its prediction implementation, it was done by comparing the perf",not_needed
R-ceb79d9565efcd01,10.1111/mee3.2018.9.issue-10,,2018,OpenAlex,Q3,yes,exclude_abstract,EC5,high,"abstract signal: cover or issue information; evidence: This issue’s cover image features a 70+ year old red pine (Pinus resinosa) stand on the property of the University of Michigan Biological Station (UMBS) located in Pellston,",,,not_needed
R-d2d8f9de4cc89191,10.35940/ijeat.10.3,,2021,OpenAlex,Q4,yes,exclude_abstract,EC5,high,"abstract signal: repeated issue listing; evidence: Beena Kumari, Deepa MehtaVolume-10 Issue-3 Modeling & Performance Scrutiny of Maximum Power Extraction Strategy in PMSG based Wind Energy Transformation System- Mohd Abdul Samad, Syed Nawazish Mehdi, Syed Khader bashaVolume-10 Issue-3 A Modified Cylinder Block - Ic Engine Experimentation- Yury BelkinVolume-10 Issue-3 Identification and Traceability of Spiritous Drinks based on UV-s",,,not_needed
R-165571378546e516,10.30559/jpn.v7i2.335,,2022,OpenAlex,Q6,yes,advance_fulltext,,low,"no high-confidence EC1, EC5, or EC6 exclusion; full-text review required",,,pending
R-c6994c21ebadb566,10.35957/algoritme.v3i1,,2022,OpenAlex,Q6,yes,advance_fulltext,,low,"no high-confidence EC1, EC5, or EC6 exclusion; full-text review required",,,pending
R-8068840b1cb4e88d,10.58346/jowua.2024.i1,,2023,OpenAlex,Q4,yes,advance_fulltext,,low,"no high-confidence EC1, EC5, or EC6 exclusion; full-text review required",,,pending
R-84eb93b922ddf720,10.1111/jec.v111.7,,2023,OpenAlex,Q3,yes,advance_fulltext,,low,"no high-confidence EC1, EC5, or EC6 exclusion; full-text review required",,,pending
R-a96e296dd6cb18ad,10.21227/adt8-4812,"""A High-Quality Apple Flower Detection Dataset for Precision Agriculture""",2026,OpenAlex,Q7,yes,advance_fulltext,,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: ""A High-Quality Apple Flower Detection Dataset for Precision Agriculture"". ""Accurate detection of apple flowers and buds at the ground level is a prerequisite for precision orchard managem","global production, yield, biomass, or land-use output: ing, facilitating critical management decisions such as site-specific flower thinning and yield estimation.""",pending
R-de09e8d28305be19,10.21227/a1c7-4919,"""Agricultural Robotics, Fine-Grained Classification, Dual-View Perception""",2026,OpenAlex,Q4,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: ew images were synthetically generated via an occlusion-sensitive cropping strategy using instance-level bounding box annotations to identify object regions. Crops were randomly rotated within [\u2212180\u00b0, 180\u00b0] to mimic the unconstrained orien",,pending
R-ac14023137c842b8,10.21227/t81f-y868,"""Cardamom Plantation Video and Image Dataset for Yield Estimation""",2026,OpenAlex,Q1;Q4,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: gmentation masks across three classes: unripe pod, ripe pod, and cluster, yielding 46,309 instance-level polygon annotations at a mean density of approximately 175 annotations per image. The class composition is 43.3% unripe pods, 11.3% ripe pods, and 45","global production, yield, biomass, or land-use output: ""Cardamom Plantation Video and Image Dataset for Yield Estimation"". ""The Cardamom Pod Detection and Yield dataset is an open-source image dataset designed to support reproducible research in cardamom pod detection,",pending
R-1863c5b66911adfa,10.21227/4fj5-m519,"""Cross-View 3D Object detection""",2026,OpenAlex,Q2,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: ""Cross-View 3D Object detection"". ""We introduce a large-scale cross-view benchmark that establishes precise geometric alignment between ground-level street-view imagery and overhead",,pending
R-50d3b05aad806740,10.5194/egusphere-egu24-19716,"""Fire impacts in the Cerrado:&amp;#160;Integrating LiDAR and field data to monitor vegetation structure and post-fire recovery.""",2024,OpenAlex,Q3,yes,exclude_abstract,EC1,high,"global production, yield, biomass, or land-use output; evidence: ata is ideally suited for scaling the impacts of fire on forest vegetation and associated carbon stocks. In this study, we are assessing key metrics of vegetation structure derived from a combination of LiDAR and field data collected at the Experimental Station Serra das Araras, Mato G",,"global production, yield, biomass, or land-use output: ata is ideally suited for scaling the impacts of fire on forest vegetation and associated carbon stocks. In this study, we are assessing key metrics of vegetation structure derived from a combination of LiDAR and field data collected at the Experimental Station Serra das Araras, Mato G",not_needed
R-ff59c4dcdd2a35c0,10.21227/94b0-jp44,"""GaussianPlant Dataset""",2025,OpenAlex,Q3,yes,advance_fulltext,,medium,retain because of mechanism signal: object or instance perception; full-text review required,"object or instance perception: s infeasible, so we only provide binary leaf-branch labels and exclude them from the leaf instance segmentation evaluation.""",,pending
