database,query_id,date_run,raw_file,raw_sha256,n_raw,n_unique_after_within_dedup,n_duplicates_within_query,n_missing_doi,n_missing_title_or_year,n_year_outside_2015_2026,n_global_records_present,n_cross_source_records_present
Scopus,Q1,2026-08-09,literature/search/raw/scopus_Q1_2026-08-09.csv,33aa4a18485f01480033676ec7992f2e69c0b963f3c6ee6038abc6ec7fcd743f,2001,1989,12,178,0,0,1989,492
Scopus,Q2,2026-08-09,literature/search/raw/scopus_Q2_2026-08-09.csv,d7985bac61e19e75c8df5385aed5485409bae98c54291d139b1ef7f2e873a6b6,2789,2723,66,292,0,0,2723,1167
Scopus,Q3,2026-08-09,literature/search/raw/scopus_Q3_2026-08-09.csv,d6ac14a3d1672f7c3d8520148e6c4fbb99647de626821308ac871b16c6847d2b,5648,5611,37,239,0,0,5611,3952
Scopus,Q4,2026-08-09,literature/search/raw/scopus_Q4_2026-08-09.csv,f566f0baa7903b95acd8814f4eebf087174f85cd2091d8e2b552b485ed9c0a68,2422,2413,9,109,0,0,2413,1382
Scopus,Q5,2026-08-09,literature/search/raw/scopus_Q5_2026-08-09.csv,4a384e1ca479380eaeb17a22c22bf2673cf1eef919ecc312c03b85d3e1f41d1f,662,661,1,11,0,0,661,347
Scopus,Q6,2026-08-09,literature/search/raw/scopus_Q6_2026-08-09.csv,3fee76cc3af3e3885790030ec989fd350ffd89fd22e3db54bbbe15df364588e2,995,992,3,131,0,0,992,657
Scopus,Q7,2026-08-09,literature/search/raw/scopus_Q7_2026-08-09.csv,17057bfa6ba92f2c11775d92138b223817feec79c3c40add35c86784b804db57,1205,1200,5,54,0,0,1200,859
OpenAlex,Q1,2026-08-09,literature/search-data/raw/openalex_Q1_2026-07-23.csv,6fab334273d63ef732906f9137b3be9f1a93d0679dbd8c34266d7267a1cfca9e,1849,1847,2,113,0,0,1847,464
OpenAlex,Q2,2026-08-09,literature/search-data/raw/openalex_Q2_2026-07-23.csv,a23b3c703a7a3ca2e8e94a720938d9ab967826ba961a06cf17dd5a23a0842688,1991,1988,3,175,0,0,1988,1165
OpenAlex,Q3,2026-08-09,literature/search-data/raw/openalex_Q3_2026-07-23.csv,35630e5176865d13e21530520dc5f7bd46a5d9cc26276e628d18b9f0026c7aa6,6422,6414,8,401,2,0,6414,3934
OpenAlex,Q4,2026-08-09,literature/search-data/raw/openalex_Q4_2026-07-23.csv,4fad7f8239837e2d8b8d19f34a697118834dc025b44d33e561fc5c9319f2f707,2757,2752,5,99,2,0,2752,1330
OpenAlex,Q5,2026-08-09,literature/search-data/raw/openalex_Q5_2026-07-23.csv,d745159955513624b386b09a39f6bfff9085ed6f05ee50711ff7ae805d9039df,1143,1142,1,27,0,0,1142,396
OpenAlex,Q6,2026-08-09,literature/search-data/raw/openalex_Q6_2026-07-23.csv,33241cf4f80faa94910ba90bc142e83a30b724897fbe594b31b4a69ed3280b32,1177,1176,1,113,3,2,1176,651
OpenAlex,Q7,2026-08-09,literature/search-data/raw/openalex_Q7_2026-07-23.csv,0afe3722a288bf3d5f3714f4543d9b2bda6b7e5105a1c59b1ad3ef1d4c53a00e,1317,1314,3,51,0,0,1314,819
