review_order,record_id,doi,title,year,venue,authors,source_databases,query_ids,openalex_ids,scopus_eids,scopus_links,abstract_available,abstract_screen_confidence,abstract_screen_basis,mechanism_evidence,review_status,retrieval_status,retrieval_source,fulltext_path,extraction_status,document_type,ic1,ic2,ic3,ic4,ic5,ec2,ec3,ec4,decision,exclusion_code,evidence_pages,evidence_quote,reviewer,review_date,review_notes,updated_at,evidence_type,study_design,modality,task_scope,identity_mechanism,class_attribute,evaluation,key_finding,limitations
1,M-3f8f02033fe9db3a,10.1109/cvprw67362.2025.00541,"AppleGrowthVision: A Large-Scale Stereo Dataset for Phenological Analysis, Fruit Detection, and 3D Reconstruction in Apple Orchards",2025,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,"Von Hirschhausen, Laura-Sophia (59539414800); Magnusson, Jannes S. (57221307049); Kovalenko, Mykyta (56585590300); Boye, Fredrik (25930736700); Rawat, Tanay (59939932200); Eisert, Peter (55892485300); Hilsmann, Anna (24830180600); Pretzsch, Sebastian (57515289100); Bosse, Sebstian (60127388700)",Scopus;OpenAlex,Q1;Q3;Q7,W4414198943;W4415021767,2-s2.0-105017852533,https://www.scopus.com/pages/publications/105017852533?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: AppleGrowthVision: A Large-Scale Stereo Dataset for Phenological Analysis, Fruit Detection, and 3D Reconstruction in Apple Orchards. Deep learning has transformed computer vision for precision agriculture, yet apple orchard monitoring remai",reviewed,retrieved,https://openaccess.thecvf.com/content/CVPR2025W/V4A/papers/von_Hirschhausen_AppleGrowthVision_A_large-scale_stereo_dataset_for_phenological_analysis_fruit_detection_CVPRW_2025_paper.pdf,literature/search/fulltext/00001_m-3f8f02033fe9db3a_applegrowthvision-a-large-scale-stereo-dataset-for-phenological-analysis-fruit-detection-a.pdf,pypdf_extracted_and_manual_page_review,primary_research,yes,yes,yes,yes,yes,no,no,no,include,,"1,2,3,4,5,6,7","pp.1,3: dataset contains 9,317 calibrated stereo images across six growth stages and 1,125 densely annotated images with 31,084 apple labels, p.3: 33 Jonagold trees were captured on 18 occasions from multiple views with calibrated stereo, p.5: Table 3 reports YOLOv8 F1 .715, .757, .760, .770 and Faster R-CNN F1 .681, .706, .528, .692, p.6: calibrated stereo reconstruction is evaluated and wind or motion are limitations.",agent,2026-08-10,Include as direct fruit evidence and transferable M4 geometry evidence. It uses BBCH phenological growth stage rather than fruit maturity. Source is the CVPRW 2025 Open Access PDF.,2026-08-09T19:00:19+00:00,direct_fruit_and_transfer,dataset_and_benchmark,calibrated_stereo_rgb_multiview,fruit_detection_phenology_3d_reconstruction,M4_geometry_no_explicit_cross_view_identity,BBCH_phenological_growth_stage,"object_detection_F1_AP_AR_mAP, BBCH_accuracy, qualitative_3D_reconstruction","The dataset supports fruit detection, phenological stage classification, and calibrated stereo reconstruction with quantitative detection metrics.","Per-instance fruit boxes and stereo views are explicit, but cross-view unique identity or deduplication is not evaluated, do not treat this paper as proof of duplicate-free inventory."
2,R-0eda6374aaf85fae,10.1016/j.compag.2026.111723,Horticultural temporal fruit monitoring via 3D instance segmentation and re-identification using colored point clouds,2026,Computers and Electronics in Agriculture,"Fusaro, Daniel (57278335600); Magistri, Federico (57208212994); Behley, Jens (35207956200); Pretto, Alberto (23393749700); Stachniss, Cyrill (6507517732)",Scopus;OpenAlex,Q1;Q3,W4404390341;W7148415365,2-s2.0-105035433692,https://www.scopus.com/pages/publications/105035433692?origin=resultslist,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,object or instance perception: Horticultural temporal fruit monitoring via 3D instance segmentation and re-identification using colored point clouds. Accurate and consistent fruit monitoring over time is a key step towards automated agricultural pro,reviewed,retrieved,https://arxiv.org/pdf/2411.07799,literature/search/fulltext/00002_r-0eda6374aaf85fae_horticultural-temporal-fruit-monitoring-via-3d-instance-segmentation-and-re-identification.pdf,pypdf_extracted_and_manual_page_review,primary_research,yes,yes,yes,yes,yes,no,no,no,include,,"1,2,5,6,7,9,12,13,14","pp.1-2: individual fruits are segmented from colored 3D point clouds, encoded by a learned 3D sparse-convolution descriptor, and matched with an attention-based probabilistic assignment including a no-match class. p.6: the strawberry benchmark contains three time-separated point clouds with 616, 556, and 159 annotated strawberries, with 56 and 5 unmatched instances in successive pairs. p.9: the proposed method achieves average mF1 65.1 percent with MinkPanoptic predictions and 51.7 percent with Superpoint Transformer predictions, exceeding the second-best method by 9.8 and 5.9 percentage points respectively. pp.13-14: five-fold validation and ablations are reported, while re-identification is evaluated only on strawberries and high-resolution LiDAR limits accessibility.",agent,2026-08-10,"Include as direct fruit evidence central to identity association. It directly evaluates fruit re-identification over time, but the benchmark is temporal rather than arbitrary multi-view around one oil-palm tree. Transfer to oil palm remains conditional on acquisition and training-data similarity. Source is the arXiv version of the 2026 Computers and Electronics in Agriculture article.",2026-08-09T19:01:28+00:00,direct_fruit,benchmark_method_evaluation,colored_3d_point_cloud_lidar,instance_segmentation_temporal_reidentification,M2_appearance_reid_plus_M3_temporal_plus_M4_3D,fruit_type_strawberry_apple,"PQ_SQ_RQ_IoU, F1p_F1n_mF1, five_fold_cross_validation, runtime","Learned fruit descriptors and attention-based matching improve temporal identity association over the compared baselines on the strawberry benchmark, while the instance segmentation module also performs across strawberry and apple datasets.","Re-identification is evaluated only on strawberries because temporally consistent instance annotations are unavailable for other fruits, and segmentation errors propagate into re-identification. The sensor is a high-resolution terrestrial LiDAR scanner."
3,R-ef035c5bd77e28e7,10.1016/j.plaphe.2026.100228,Dynamic sparse point voxel transformer for 3D point cloud instance segmentation of dormant apple trees,2026,Plant Phenomics,"Du, Ruiming (57788761800); Li, Sinuo (60763113800); Xu, Kenong (7403282024); Cheng, Lailiang (7403337037); Jiang, Yu (56422732600)",Scopus;OpenAlex,Q3;Q7,W7165162440,2-s2.0-105045934514,https://www.scopus.com/pages/publications/105045934514?origin=resultslist,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,object or instance perception: Dynamic sparse point voxel transformer for 3D point cloud instance segmentation of dormant apple trees. Three dimensional (3D) instance segmentation is essential for precision characterization of tree architecture at the branch l,needs_manual_retrieval,not_found_or_restricted,https://ars.els-cdn.com/content/image/1-s2.0-S2643651526000658-main.pdf | https://doi.org/10.1016/j.plaphe.2026.100228,,,,,,,,,,,,pending,,,,,,No legally accessible PDF retrieved automatically. https://ars.els-cdn.com/content/image/1-s2.0-S2643651526000658-main.pdf: HTTP Error 400: Bad Request | https://doi.org/10.1016/j.plaphe.2026.100228: response is not a PDF; content_type=text/html;charset=utf-8,2026-08-09T19:02:46+00:00,,,,,,,,,
4,R-143d70deec8d2b1d,10.48550/arxiv.1610.08120,Image Segmentation for Fruit Detection and Yield Estimation in Apple Orchards,2016,arXiv (Cornell University),Suchet Bargoti; James Underwood,OpenAlex,Q7,W2952751307;W4298345949,,,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: Image Segmentation for Fruit Detection and Yield Estimation in Apple Orchards. Ground vehicles equipped with monocular vision systems are a valuable source of high resolution image data fo",reviewed,retrieved,https://arxiv.org/pdf/1610.08120,literature/search/fulltext/00004_r-143d70deec8d2b1d_image-segmentation-for-fruit-detection-and-yield-estimation-in-apple-orchards.pdf,pypdf_extracted_and_manual_page_review,primary_research,yes,yes,yes,yes,yes,no,no,no,include,,"1,2,3,4,12,16,17,18,19,24",p.1: pixel-wise fruit segmentation is post-processed with Watershed and Circular Hough Transform algorithms to detect and count individual fruits in a commercial apple orchard. p.4: detections are accumulated over orchard rows and calibrated against ground-truth counts to produce a yield map. p.17: counting is evaluated with the coefficient of determination between detection counts and annotated counts. p.18: the CNN with Watershed detection obtains detection F1 0.858 and r-squared 0.770 for image-level count regression. p.19: row-yield estimation with CNN and Watershed obtains r-squared 0.826 plus mean error 10.84 percent. p.24: the pipeline detects and counts individual fruits but does not define cross-view identity.,agent,2026-08-10,Include as direct fruit evidence for the M0 detector and count baseline. It informs the distinction between per-instance detection metrics and a duplicate-free inventory metric. Source is the full arXiv PDF.,2026-08-09T19:04:29+00:00,direct_fruit,agricultural_benchmark_yield_estimation,monocular_rgb_ugv,fruit_segmentation_instance_detection_counting_yield,M0_intra_view_detection_no_cross_view_association,apple_vs_nonfruit,"pixel_F1, detection_F1, count_r_squared, yield_r_squared, yield_error",CNN segmentation followed by Watershed detection produced the reported best detection F1 of 0.858 and row-yield r-squared of 0.826 on the apple orchard data.,"The study counts detected fruits within images and aggregates rows, but it does not evaluate persistent identity or duplicate rejection across repeated views of one tree."
5,R-408d13511cac4177,10.3390/s16111915,"Image based mango fruit detection, localisation and yield estimation using multiple view geometry",2016,Sensors (Switzerland),"Stein, Madeleine (57191994380); Bargoti, Suchet (56811452600); Underwood, James (17347180400)",Scopus;OpenAlex,Q1;Q2;Q3,W2555576940,2-s2.0-84995783961,https://www.scopus.com/pages/publications/84995783961?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: Image based mango fruit detection, localisation and yield estimation using multiple view geometry. This paper presents a novel multi-sensor framework to efficiently identify, track, l",reviewed,retrieved,https://pmc.ncbi.nlm.nih.gov/articles/PMC5134574/,literature/search/fulltext/00005_r-408d13511cac4177_image-based-mango-fruit-detection-localisation-and-yield-estimation-using-multiple-view-ge.html,official_pmc_html_extracted_and_manual_section_review,primary_research,yes,yes,yes,yes,yes,no,no,no,include,,"HTML abstract, sections 1, 2, 3.3, 3.4, 3.5, 4.1, 4.4, 5","Abstract: the framework identifies, tracks, localises, and maps fruit using multiple viewpoints, Faster R-CNN, navigation-based pairwise correspondences, LiDAR canopy masks, and triangulation. Section 2: epipolar geometry and the Hungarian algorithm link detections, while LiDAR masks associate fruit with individual trees. Section 3.3: the multi-view estimate on 16 target trees has R-squared 0.90 and slope 1.014, equivalent to a 1.36 percent over-count. Section 3.5: triangulated fruit positions are evaluated against manual labels. Sections 4.1 and 4.4: occlusion is reduced but failures include missing frames, platform oscillation, track fragmentation, fruit bunching, and LiDAR mask errors. Section 5: further testing is needed for other fruit varieties and pruning regimes.",agent,2026-08-10,"Include as direct fruit evidence central to duplicate rejection and unique inventory. This is one of the strongest records for the review because the method explicitly tracks repeated detections, assigns fruit to trees, triangulates locations, and compares counts with field and harvest ground truth. Source is the official PMC full-text page.",2026-08-09T19:06:38+00:00,direct_fruit,multi_view_field_benchmark,rgb_gps_ins_lidar,multi_view_fruit_detection_tracking_counting_localisation_yield,M3_temporal_tracking_plus_M4_epipolar_geometry_and_3d,mango_fruit_count,"count_r_squared, slope, percentage_error, repeatability, triangulation_nearest_neighbour_distance",Multi-view tracking with epipolar geometry and tree masks converts repeated mango observations into tree-linked counts with near-unity calibration slope and 1.36 percent over-count on the 16-tree validation set.,"The evaluation is on mango orchard traversal data and depends on navigation quality, timing, image coverage, and LiDAR masks. The authors report that transfer to other fruit varieties or pruning regimes requires further testing."
6,R-6120aa0471e03cd8,10.1088/1755-1315/37/1/012039,"A study on the oil palm fresh fruit bunch (FFB) ripeness detection by using Hue, Saturation and Intensity (HSI) approach",2016,IOP Conference Series: Earth and Environmental Science,"Shabdin, Muhammad Kashfi (57190943960); Shariff, Abdul Rashid Mohamed (13612157400); Johari, Mohd Nazrul Azlan (57190948351); Saat, Nor Kamilah (8264458900); Abbas, Zulkifly (7005822035)",Scopus;OpenAlex,Q6,W2473849945,2-s2.0-84984621306,https://www.scopus.com/pages/publications/84984621306?origin=resultslist,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: A study on the oil palm fresh fruit bunch (FFB) ripeness detection by using Hue, Saturation and Intensity (HSI) approach. To increase the quality of palm oil means to accurately grade the oil palm fresh fruit bunches",reviewed,not_found_or_restricted,"https://psasir.upm.edu.my/id/eprint/54942/ (repository marks PDF restricted), https://doi.org/10.1088/1755-1315/37/1/012039, https://iopscience.iop.org/article/10.1088/1755-1315/37/1/012039/pdf",,official_metadata_and_abstract_only,primary_research_access_limited,uncertain,uncertain,yes,yes,uncertain,uncertain,yes,no,exclude,EC3,repository metadata abstract,"The repository abstract reports HSI color analysis for under-ripe and ripe FFB, with linear-regression success reported as 45 percent and ANN accuracy reported as 60 percent for under-ripe, 80 percent for ripe, and 70 percent overall. The repository marks the full PDF restricted to staff.",agent,2026-08-10,Access-limited exclusion under EC3. Official repository metadata and abstract were retained as provenance only. Reopen if the user supplies the PDF or an authorized full-text access path.,2026-08-09T19:08:23+00:00,direct_oil_palm_context,FFB_ripeness_classification,HSI_RGB,FFB_ripeness_detection,not_assessed_access_limited,FFB_ripeness_underipe_ripe,"reported_accuracy_45_percent, ANN_accuracy_60_80_70_percent","The accessible metadata indicates an oil-palm FFB ripeness classification study, but the full text was not available for the required per-instance and protocol verification.",Full text restricted at the institutional repository and publisher PDF endpoints returned HTML rather than the article PDF. No content-level inclusion decision is inferred from the abstract alone.
7,R-fb6e4a16ba69f796,10.1002/rob.21699,Image Segmentation for Fruit Detection and Yield Estimation in Apple Orchards,2017,Journal of Field Robotics,"Bargoti, Suchet (56811452600); Underwood, James P. (17347180400)",Scopus;OpenAlex,Q4;Q7,W2543665758,2-s2.0-85013149597,https://www.scopus.com/pages/publications/85013149597?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: Image Segmentation for Fruit Detection and Yield Estimation in Apple Orchards. Ground vehicles equipped with monocular vision systems are a valuable source of high‐resolution image data fo",reviewed,pending,,,not_retrieved_duplicate_version,journal_version_duplicate,yes,yes,yes,yes,uncertain,no,no,yes,exclude,EC4,metadata abstract,"The metadata record gives the identical title Image Segmentation for Fruit Detection and Yield Estimation in Apple Orchards, the same authors Suchet Bargoti and James P. Underwood, and DOI 10.1002/rob.21699 in Journal of Field Robotics 2017. The retained order-4 record is the openly accessible arXiv version of the same study.",agent,2026-08-10,Exclude as EC4 duplicate/version. Retain the full-text evidence under order 4 and cite the journal DOI there when the canonical bibliography is finalized.,2026-08-09T19:08:55+00:00,direct_fruit_duplicate,agricultural_benchmark_yield_estimation,monocular_rgb_ugv,fruit_segmentation_instance_detection_counting_yield,M0_intra_view_detection_no_cross_view_association,apple_vs_nonfruit,same_study_version_duplicate,This is the peer-reviewed journal version of the study retained at review order 4.,The journal version was not separately retrieved because retaining both versions would double-count one study.
8,M-9966d81433d61ed3,10.1109/iros.2018.8594239,"Robust Fruit Counting: Combining Deep Learning, Tracking, and Structure from Motion",2018,IEEE International Conference on Intelligent Robots and Systems,"Liu, Xu (57207948935); Chen, Steven W. (57203657925); Aditya, Shreyas (57207815155); Sivakumar, Nivedha (57217365471); Dcunha, Sandeep (57207818779); Qu, Chao (56640669900); Taylor, Camillo J. (7404823052); Das, Jnaneshwar (25823030300); Kumar, Vijay (57226667523)",Scopus;OpenAlex,Q1;Q3;Q7,W2796353124;W2963353662,2-s2.0-85062988241,https://www.scopus.com/pages/publications/85062988241?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: Robust Fruit Counting: Combining Deep Learning, Tracking, and Structure from Motion. We present a novel fruit counting pipeline that combines deep segmentation, frame to f",reviewed,retrieved,https://arxiv.org/pdf/1804.00307,literature/search/fulltext/00008_m-9966d81433d61ed3_robust-fruit-counting-combining-deep-learning-tracking-and-structure-from-motion.pdf,pypdf_extracted_and_manual_page_review,primary_research,yes,yes,yes,yes,yes,no,no,no,include,,"1,2,3,4,5,6,7,8","p.1: the pipeline combines FCN fruit segmentation, Hungarian assignment driven by a Kalman-corrected KLT tracker, and SfM 3D localization to reject outliers and double-counted tracks. p.5: duplicate tracks are close in 3D even when projected from different frames, so 3D localization is used for rejection. p.6: orange counts improve from L1 loss 593, mean error 17.2 percent, standard deviation 26.3 percent to 203, minus 0.2 percent, and 7.8 percent after correction. Apple counts improve from L1 loss 673, mean error 8.5 percent, standard deviation 4.7 percent to 322, 3.3 percent, and 4.1 percent. p.8: the method is evaluated against human visual counts on orange and apple sequences.",agent,2026-08-10,"Include as direct fruit evidence central to cross-observation deduplication. It demonstrates the distinction between tracking count and a corrected count, with an explicit 3D rejection step and before-after quantitative evaluation. Source is the full arXiv PDF, corresponding to the IROS 2018 paper.",2026-08-09T19:09:33+00:00,direct_fruit,sequence_counting_benchmark,monocular_rgb_video_sfm,fruit_segmentation_tracking_counting_duplicate_rejection,M3_temporal_tracking_plus_M4_SfM_3d_duplicate_rejection,fruit_type_orange_apple,"count_ground_truth, L1_loss, error_mean, error_standard_deviation, before_after_correction",The 3D reconstruction correction reduces duplicate and outlier tracks and substantially improves count error on both orange and apple sequences.,"The method uses relative 3D localization from monocular sequences and heuristic size and depth thresholds. Performance depends on illumination, occlusion, camera stability, and track continuity."
9,R-2d5f24c3cf6b6fcf,10.1016/j.inpa.2018.06.002,Apple fruit size estimation using a 3D machine vision system,2018,Information Processing in Agriculture,"Gongal, A. (56426348600); Karkee, M. (22950337200); Amatya, S. (55542425000)",Scopus;OpenAlex,Q7,W2897826490,2-s2.0-85048939502,https://www.scopus.com/pages/publications/85048939502?origin=resultslist,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required","target-specific detection, segmentation, tracking, or counting: ial for selective robotic harvesting and crop-load estimation. Machine vision systems for fruit detection and localization have been studied widely for robotic harvesting and crop-load estimation. However, only a few studies have been carried out to estimate fruit size in",needs_manual_retrieval,not_found_or_restricted,https://ars.els-cdn.com/content/image/1-s2.0-S2214317317302408-main.pdf | https://doi.org/10.1016/j.inpa.2018.06.002 | https://doaj.org/article/c11c73b2eff742d4ad120ac40a2cdf59,,,,,,,,,,,,pending,,,,,,No legally accessible PDF retrieved automatically. https://ars.els-cdn.com/content/image/1-s2.0-S2214317317302408-main.pdf: HTTP Error 400: Bad Request | https://doi.org/10.1016/j.inpa.2018.06.002: response is not an accepted full-text artifact; content_type=text/html;charset=utf-8 | https://doaj.org/article/c11c73b2eff742d4ad120ac40a2cdf59: HTTP Error 403: Forbidden,2026-08-09T19:09:54+00:00,,,,,,,,,
10,R-97003608b250cdc5,10.17576/jkukm-2018-30(1)-12,A Rapid and Non-Destructive Technique in Determining The Ripeness of Oil Palm Fresh Fruit Bunch (FFB),2018,Jurnal Kejuruteraan,Fazida Hanim Hashim; Zuhaira Mohd Zulkifli; Thinal Raj; Aqilah Baseri Huddin,OpenAlex,Q3;Q6,W2862052286,,,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,"broad visual target-operation evidence: A Rapid and Non-Destructive Technique in Determining The Ripeness of Oil Palm Fresh Fruit Bunch (FFB). Oil palm industry is one of the main industries in Malaysia that contributes to the country's gross domestic product (GDP). In the oil palm industrial sector, methods of planting, detection and assessment are very important to produce high q",reviewed,retrieved,https://doi.org/10.17576/jkukm-2018-30(1)-12,literature/search/fulltext/00010_r-97003608b250cdc5_a-rapid-and-non-destructive-technique-in-determining-the-ripeness-of-oil-palm-fresh-fruit-.pdf,pypdf_extracted_and_manual_page_review,primary_research,yes,yes,yes,yes,yes,no,no,no,include,,"1,4,5,6,8","p.1: a LiDAR scanning system is used to classify oil-palm fruit at under-ripe, ripe, and over-ripe levels from reflectance intensity. p.4: FFB samples from the Khazanah UKM plantation are scanned in laboratory and field experiments and assigned to three ripeness categories. p.5: reported intensity ranges are 75-105 for over-ripe, 105-126 for ripe, and 112-135 for under-ripe, with corresponding reflectance bands of 0-50, 51-85, and 86-100 percent. p.6: four trees are scanned in the field and fruit-to-leaf ratio is compared with observed FFB counts. p.8: the authors conclude that three ripeness levels were classified from intensity point clouds in lab and field settings.",agent,2026-08-10,"Include as direct oil-palm evidence for class attributes and LiDAR modality. Use it to support the review statement that maturity is one possible instance attribute, not as evidence of duplicate-free inventory or a validated deployment metric.",2026-08-09T19:11:12+00:00,direct_oil_palm,lab_and_field_sensor_prototype,lidar_intensity_point_cloud_905nm,FFB_instance_ripeness_classification_and_field_count_context,M0_intra_view_attribute_classification_no_cross_view_association,FFB_ripeness_under_ripe_ripe_over_ripe,"intensity_ranges, reflectance_bands, four_tree_field_scan, fruit_to_leaf_ratio",LiDAR intensity point clouds provide a preliminary non-destructive way to separate three FFB ripeness levels and support field-level fruit-to-leaf observations.,The paper does not report a conventional held-out classification accuracy or cross-view identity metric. The experiment uses a small number of fruitlets per category and four field-scanned trees.
