review_id,normalized_title,year,candidate_record_ids,candidate_dedup_keys,candidate_dois,candidate_titles,source_row_refs,reason,resolution,reviewer_notes
MR-0001,1kmforesttreeheightcoverplantareaindexandfoliageheightdiversityfortheconus,2022,R-080bb4a63eac355d;R-50a5c903341d2b57,doi:10.5281/zenodo.6525900 || doi:10.5281/zenodo.6525901,10.5281/zenodo.6525900;10.5281/zenodo.6525901,"1-km forest tree height, cover, plant area index, and foliage height diversity for the CONUS",OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=5473 || OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=5475,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0002,3dfeaturecharacterizationofflotationfrothbasedonadualattentionencodingvolumestereomatchingmodelandbinocularstereovisionextraction,2024,R-fddaf7dab0fb8951;R-7e3038ed0bdf12be,doi:10.1016/j.mineng.2024.108903 || doi:10.2139/ssrn.4858692,10.1016/j.mineng.2024.108903;10.2139/ssrn.4858692,3D feature characterization of flotation froth based on a dual-attention encoding volume stereo matching model and binocular stereo vision extraction || 3d Feature Characterization of Flotation Froth Based on a Dual-Attention Encoding Volume Stereo Matching Model and Binocular Stereo Vision Extraction,OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=1692 || OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=4484 || Scopus|Q3|literature/search/raw/scopus_Q3_2026-08-09.csv|row=1529,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0003,3dgeodetgeneralpurposegeometryawareimagebased3dobjectdetection,2025,R-9e6462e3dd119cdb;R-67e9ae2c88a12710,doi:10.1109/tmm.2025.3581780 || doi:10.48550/arxiv.2506.09541,10.1109/tmm.2025.3581780;10.48550/arxiv.2506.09541,3DGeoDet: General-Purpose Geometry-Aware Image-Based 3D Object Detection || 3DGeoDet: General-purpose Geometry-aware Image-based 3D Object Detection,OpenAlex|Q2|literature/search-data/raw/openalex_Q2_2026-07-23.csv|row=1399 || OpenAlex|Q2|literature/search-data/raw/openalex_Q2_2026-07-23.csv|row=670 || Scopus|Q2|literature/search/raw/scopus_Q2_2026-08-09.csv|row=771,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0004,3dhumanreconstructioninthewildwithcollaborativeaerialcameras,2021,R-949add3d701455b7;R-3d3a3a5a7ad83c03,doi:10.1109/iros51168.2021.9636745 || doi:10.48550/arxiv.2108.03936,10.1109/iros51168.2021.9636745;10.48550/arxiv.2108.03936,3D Human Reconstruction in the Wild with Collaborative Aerial Cameras,OpenAlex|Q2|literature/search-data/raw/openalex_Q2_2026-07-23.csv|row=1110 || OpenAlex|Q2|literature/search-data/raw/openalex_Q2_2026-07-23.csv|row=1825 || Scopus|Q2|literature/search/raw/scopus_Q2_2026-08-09.csv|row=1728,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0005,3dintphystowardsmoregeneralized3dgroundedvisualintuitivephysicsunderchallengingscenes,2023,R-a54c5aa889d30d40;R-7aab3d8b5aaee2e3;R-cbc1c5b93ebafb3d,doi:10.1109/cvprw59228.2023.00370 || doi:10.48550/arxiv.2304.11470 || titleyear:3dintphystowardsmoregeneralized3dgroundedvisualintuitivephysicsunderchallengingscenes|2023,10.1109/cvprw59228.2023.00370;10.48550/arxiv.2304.11470,3D-IntPhys: Towards More Generalized 3D-grounded Visual Intuitive Physics under Challenging Scenes,OpenAlex|Q2|literature/search-data/raw/openalex_Q2_2026-07-23.csv|row=1622 || OpenAlex|Q2|literature/search-data/raw/openalex_Q2_2026-07-23.csv|row=1956 || Scopus|Q2|literature/search/raw/scopus_Q2_2026-08-09.csv|row=1520 || Scopus|Q2|literature/search/raw/scopus_Q2_2026-08-09.csv|row=1847,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0006,3dphotogrammetricreconstructionsofindividualchickpeaplants,2020,R-168812138a261ebc;R-b1212121057b9c48,doi:10.5281/zenodo.4018241 || doi:10.5281/zenodo.4018242,10.5281/zenodo.4018241;10.5281/zenodo.4018242,3D photogrammetric reconstructions of individual chickpea plants,OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=5064 || OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=5068,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0007,3dplantphenotypingallyouneedislabelledpointclouddata,2020,R-01429ec57d3333cd;R-c3adaf39402dcf0e,doi:10.1007/978-3-030-65414-6_18 || titleyear:3dplantphenotypingallyouneedislabelledpointclouddata|2020,10.1007/978-3-030-65414-6_18,3D Plant Phenotyping: All You Need is Labelled Point Cloud Data || 3D Plant Phenotyping: All You Need is Labelled Point Cloud Data,OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=1198 || OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=318 || Scopus|Q3|literature/search/raw/scopus_Q3_2026-08-09.csv|row=4258,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0008,3dpointcloudandstemcurvedatafortropismcharacterisationstudyhartleyetal2026,2026,R-6d86c4d325040375;R-6bda375958a95b46,doi:10.6084/m9.figshare.32248617 || doi:10.6084/m9.figshare.32248617.v1,10.6084/m9.figshare.32248617;10.6084/m9.figshare.32248617.v1,"3D point cloud and stem curve data for tropism characterisation study (Hartley et al., 2026).",OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=4400 || OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=4406,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0009,3dpointclouddatasetoffababeanviciafabalwithspadandbiomassgroundtruth,2025,R-244023083d7a216d;R-0ca090381bd107d3,doi:10.5281/zenodo.20788755 || doi:10.5281/zenodo.20788756,10.5281/zenodo.20788755;10.5281/zenodo.20788756,3D Point Cloud Dataset of Faba Bean (Vicia faba L.) with SPAD and Biomass Ground Truth,OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=4392 || OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=4396,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
MR-0010,3dreconstructionandknowledgedistillationtoimprovemultiviewimagemodelstoexplorespikevolumeestimationinwheat,2026,R-b9b5d50d60e041af;R-f10e03905761d07a,doi:10.48550/arxiv.2605.20940 || titleyear:3dreconstructionandknowledgedistillationtoimprovemultiviewimagemodelstoexplorespikevolumeestimationinwheat|2026,10.48550/arxiv.2605.20940,3D Reconstruction and Knowledge Distillation to Improve Multi-View Image Models to Explore Spike Volume Estimation in Wheat,OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=5925 || OpenAlex|Q3|literature/search-data/raw/openalex_Q3_2026-07-23.csv|row=5928,same normalized title and year mapped to multiple dedup keys,merge_all_author_match,same normalized title/year and pairwise author overlap >= 0.75
