wave_rank,shortlist_rank,selection_stage,priority_rank,record_id,doi,title,year,venue,authors,abstract,source_databases,query_ids,abstract_available,abstract_screen_confidence,abstract_screen_basis,priority_score,core_score,fruit_score,oil_palm_score,instance_score,review_score,transfer_score,penalty_score,priority_tier,priority_bucket,priority_reason,priority_penalties,rule_version,review_status,retrieval_status,ledger_decision,ledger_review_order
1,1,quota:oil_palm_direct,1,M-6b0be7fade421819,10.1016/j.dib.2026.112990,SawitMVC: A multi-view oil palm fruit bunch dataset for detection and counting,2026,Data in Brief,"Indriani, Fatma (57215665392); Saputro, Setyo Wahyu (58958396800); Muttaqin, Muhammad Zainal (60439234000); Rahmi, Alia (57962559500); Saragih, Triando Hamonangan (57202789655); Budianoor, Rahmat (60624699500); Hartoni (60414064200); Kartini, Dwi (58022883100); Said, Naufal (60705184800)","Oil palm ( Elaeis guineensis ) plantation yield is estimated periodically through the Black Bunch Census (BBC), a field practice in which trained staff count and classify fruit bunches to project output for the coming months. Photographing each tree from multiple positions captures all visible bunches but introduces a cross-view deduplication problem: the same bunch appears in several images, and naive summation of detections far exceeds the true unique count. No publicly available oil palm dataset addresses this problem with annotated ground truth. SawitMVC contains 3,992 smartphone images of 953 oil palm trees collected from two commercial plantations in Kabupaten Tanah Laut, Kalimantan, Indonesia (DAMIMAS plantation: 854 trees; LONSUM plantation: 99 trees), each photographed from four sides at 90-degree intervals or eight sides at 45-degree intervals. Bunches are annotated across four BBC maturity classes by estimated months until harvest: B1 (≤1 month), B2 (∼2 months), B3 (∼3 months), and B4 (∼4 months), in YOLO bounding box format for detection and classification tasks. A separate per-tree JSON ground truth layer records 9,823 unique bunches with their cross-view appearance links, supporting direct evaluation of counting algorithms independently of detection performance.",Scopus;OpenAlex,Q1;Q2;Q4;Q6;Q7,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",281,122,64,54,18,12,0,0,B,oil_palm_direct,unique inventory; duplicate resolution; cross-view association; counting or inventory; oil-palm target; ripeness or variety attribute; fruit target; horticultural setting,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,70
2,4,quota:fruit_multiview_or_3d,4,R-062fd4abeac79a2c,10.1016/j.inpa.2025.02.005,Assessment of the tomato cluster yield estimation algorithms via tracking-by-detection approaches,2025,Information Processing in Agriculture,"Qi, Zhongxian (58196719000); Zhang, Tianxue (57164159800); Yuan, Ting (57205195453); Zhou, Wei (57899683700); Zhang, Wenqiang (35217009900)","• A database with more than 165,172 tomato cluster instances was built for tracking. • Two SOTA real-time object detection algorithms were compared. • Motion tracking and appearance tracking algorithms were compared in MOT datasets. • MOT trackers were compared by reducing the frame rate of the camera. Automated vision-based detection and counting are critical for accurate tomato yield estimation, which contribute to precise yield management strategies and an efficient food supply chains. Special conditions, including background clutter, occlusion, and varying sunlight, affect the accuracy of crop detection and counting. To determine the most suitable algorithms for this yield estimation context, we herein establish a public multi-object tracking (MOT) dataset for tomato cluster counts, while evaluating and comparing state-of-the-art target detection and MOT-based algorithms. The evaluated detectors consist of YOLOv8 and RT-DETR, which represent algorithms that achieve a balance between accuracy and speed. The tracking algorithms included state-of-the-art methodologies such as SORT, DeepSort, ByteTrack, and BotSort. Initially, the performance of the detectors was rigorously evaluated, followed by a comprehensive assessment of the four tracking algorithms within a multi-target tracking database tailored for this research and structured in the MOT context. The findings reveal that YOLOv8 and RT-DETR achieve 93.6% and 94.9% results at mAP@75, respectively, with RT-DETR exhibiting fewer false detections. When combined with the RT-DETR detector, the ByteTrack-based algorithm registers the highest counting accuracy at 95.5%, whereas BotSort achieves the highest MOTA score with 84.6%. Notably, the trackers without the ReID module (i.e., SORT and ByteTrack) demonstrate greater adaptability to frame rate variations in the test videos. At a 30-fps frame rate, the incorporation of ReID modules in DeepSort and BotSort algorithms significantly enhances the MOTA metric. Looking ahead, we plan to leverage these algorithms into an autonomous inspection platform that aims to estimate crop yield in real-time.",Scopus;OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,231,79,54,0,23,36,28,0,B,fruit_multiview_or_3d,re-identification; tracking identity; counting or inventory; fruit target; fruit instance operation; instance perception; quantitative evaluation; prior review,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,1437
3,6,quota:transfer_mechanism,6,M-6e180cda3c4e3522,10.24385/lincoln.32982638,AGHRI: A dataset for multimodal robot perception of humans in agricultural and off-road environments,2026,Lincoln repository,Leonardo Guevara; Prabuddhi Wariyapperuma; Zhuoling Huang; Hai Vu,"AGHRI is a multimodal dataset for robot perception of humans in agricultural and off-road environments. AGHRI provides synchronized RGB, depth, fisheye, and 3D LiDAR data collected with a compact mobile robot across diverse settings, including strawberry polytunnels, vineyards, footpaths, and farmsides, under variable lighting and weather conditions. AGHRI comprises 65 sequences totalling 27.4 minutes of multimodal robot sensor data, including 138,741 camera image frames and 13,963 LiDAR frames, with 154,002 annotated 2D human bounding boxes, 27,311 annotated 3D human bounding boxes, 454 camera-specific 2D tracks, and 136 3D tracks. The dataset includes challenging multi-person and occlusion-rich interactions and provides frame-level 2D and 3D annotations with consistent human identities to support 2D/3D detection and tracking tasks.The AGHRI dataset is divided into 10 ZIP archives (from dataset_part1.zip to dataset_part10.zip), each containing multiple data subfolders. Within each data subfolder, the extracted multimodal sensor observations are stored alongside their corresponding annotations and metadata. Sensor calibration files are stored separately in a shared calibration folder (calibration.zip). In addition, an occlusion annotation file (occlusion_log.csv) is provided at the dataset root level, together with a dataset summary file (dataset_summary.csv) that describes the contents of each data subfolder and indicates the ZIP archive to which it belongs. This organization allows users to selectively download only the ZIP archives relevant to their needs, rather than downloading the entire dataset.AGHRI dataset is accompanied by a set of conversion and utility tools that support common perception workflows/formats, including YOLO, COCO, KITTI, MMDetection, MOT, and ROS 2. The code for the conversion and utility tools can be found at https://github.com/LCAS/AGHRI-dataset-toolsFinally, to complement the dataset, we provide benchmark analyses for 2D/3D human detection, 2D/3D multi-object tracking, and person re-identification. These benchmarks enable the systematic evaluation of state-of-the-art methods and facilitate the assessment of cross-domain generalisation to agricultural and off-road human-sensing environments. The implementation code and evaluation protocols used in the benchmark analyses are available at https://github.com/LCAS/AGHRI-dataset-benchmark.",OpenAlex,Q3,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,229,89,30,0,18,36,48,0,D,transfer_mechanism,re-identification; tracking identity; depth or point cloud; fruit target; instance perception; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,7385
4,7,quota:transfer_mechanism,7,R-624c07b4c09481dc,10.1109/iccvw69036.2025.00558,DepthTrack: Cluster Meets BEV for Multi-Camera Multi-Target 3D Tracking,2025,"Proceedings - 2025 IEEE/CVF International Conference on Computer Vision Workshops, ICCV-W 2025","Tran, Tai Huu-Phuong (58835819100); Tran, Duong Nguyen-Ngoc (57196243655); Huynh, Ngoc Doan-Minh (59367761800); Tran, Chi Dai (57670632700); Pham, Long Hoang (56719255100); Ho, Quoc Pham-Nam (59368558700); Nguyen, Huy-Hung (58594220200); Vu, Duong Khac (58001759300); Jeon, Hyung-Min (57202455298); Jeon, Hyung-Joon (57207104383); Phan, Son Hong (58001116100); Khanh, Trinh Le Ba (57218829353); Jeont, Jae Wook (60569078000)","Object perception using multi-view cameras is essential for intelligent systems operating in indoor environments such as warehouses, retail stores, and hospitals. Traditional multi-target multi-camera (MTMC) detection and tracking approaches typically depend on 2D object detection and single-view multi-object tracking (MOT), without properly exploiting 3D spatial information. While point cloud-based 3D detection models offer high accuracy, their adoption is hindered by expensive deployment requirements. Besides, most existing MTMC tracking methods are designed for daytime scenarios, neglecting the challenge posed by lowlight conditions. In this paper, we introduce DepthTrack, a novel MTMC tracking framework for all-day tracking without requiring high-precision 3D sensors to produce 3D bounding boxes. At the core of DepthTrack is our Tracklet-Cluster Mapping (TCM) strategy, which seamlessly integrates 3D object clusters with bird's-eye view (BEV) tracklets to achieve robust 3D tracking. Experiments conducted on the AICity'25 dataset validate the strong generalization of DepthTrack across diverse lighting conditions. In the 2025 AI City Challenge Track 1, our team secured the second position with an accuracy (HOTA) of 63.1396. The code will be released at https://github.com/SKKUAutoLab/AIC25_Track_01",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,227,79,54,0,23,12,48,0,D,transfer_mechanism,cross-view association; tracking identity; depth or point cloud; fruit target; fruit instance operation; instance perception; quantitative evaluation; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2287
5,10,quota:fruit_multiview_or_3d,10,M-131e746397967c56,10.5281/zenodo.17969390,SEEmear: High-Resolution Georeferenced Proximal RGB-D Data for Niagara Grapes in the Field,2025,Zenodo (CERN European Organization for Nuclear Research),"Teixeira Santos, Thiago; Koenigkan, Luciano; Bharti, Dheeraj; Gebler, Luciano","This dataset contains high-resolution geo-referenced RGB-D data collected in vineyards using the SEEmear proximal sensing system. The data were acquired at farms in São Miguel Arcanjo, São Paulo, Brazil, during field tests conducted in December 2025. Data Collection System The SEEmear integrates stereo cameras (ZED X, Stereolabs Inc.) with high-resolution global shutter sensors (1920 × 1200 pixels), wide-angle lenses, and integrated IMUs, mounted on a mobile platform. The system includes RTK-GNSS positioning (Reach M2 rover and Reach RS3 base station) for centimeter-level accuracy, enabling precise georeferencing of all captured data. Dataset Contents RGB-D stereo images at 30 fps IMU measurements synchronized with camera frames RTK GNSS positioning data GPS time synchronization for temporal consistency Applications This dataset supports research in precision agriculture, plant phenotyping, and agricultural robotics, including fruit detection and counting, 3D reconstruction and mapping, trunk and canopy structure analysis, SLAM algorithm development, and multi-view stereo reconstruction. Data Format Complete RGB-D camera footage with associated IMU readings (SVO2 files) and geo-referenced positioning data (POS), enabling accurate 3D point cloud generation and temporal mapping of vineyard structures with sub-centimeter resolution. For reading SVO2 data, users should use Stereolabs' ZED SDK, available free of charge.",OpenAlex,Q1;Q3,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",219,88,40,0,23,12,48,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; counting or inventory; fruit target; horticultural setting; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,522
6,11,quota:fruit_multiview_or_3d,11,M-d0cffa18f757c714,10.5281/zenodo.17750202,SEEmear: high-resolution georeferenced RGB-D data from apple orchard under palmette training system,2025,Zenodo (CERN European Organization for Nuclear Research),"Brazilian Agricultural Research Corporation; Teixeira Santos, Thiago; Koenigkan, Luciano; Bharti, Dheeraj","This dataset contains high-resolution georeferenced RGB-D data collected from apple orchards using the SEEmear proximal sensing system. The data was acquired at Embrapa's Temperate Climate Fruit Growing Experimental Station (EFCT) in Vacaria, Rio Grande do Sul, Brazil, during field tests conducted in March 2025. Data Collection System: SEEmear integrates stereo cameras (ZED X, Stereolabs Inc.) with high-resolution global-shutter sensors (1920 × 1200 pixels), wide-angle lenses, and integrated IMUs, mounted on a mobile platform. The system includes RTK-GNSS positioning (Reach M2 rover and Reach RS3 base station) for centimeter-level accuracy, enabling precise georeferencing of all captured data. Dataset Contents: RGB-D stereo imagery at 30 fps IMU measurements synchronized with camera frames GNSS RTK positioning data GPS time synchronization for temporal consistency Orchard Characteristics: Apple cultivars: Fuji Training systems: palmette Camera-to-tree distance: 1.0-1.5 meters Data acquisition speed: approximately 5 km/h Applications: This dataset supports research in precision agriculture, plant phenotyping, and agricultural robotics, including: fruit detection and counting, 3D reconstruction and mapping, trunk and canopy structure analysis, SLAM algorithm development, and multi-view stereo reconstruction. Data Format: Complete RGB-D camera footage with associated IMU readings (SVO2 files) and georeferenced positioning data (POS), enabling accurate 3D point cloud generation and temporal mapping of orchard structures at sub-centimeter resolution. For reading data from SVO2, users should use the freely available Stereolabs ZED SDK.",OpenAlex,Q1;Q3,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",219,88,40,0,23,12,48,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; counting or inventory; fruit target; horticultural setting; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,526
7,12,quota:fruit_multiview_or_3d,12,R-74aceb0b2fa24bac,10.18174/681804,From perception to phenotyping: drone-based simultaneous localization and mapping for precision woody crop management,2026,,Kaiwen Wang,"Global agriculture increasingly requires production systems that can deliver higher efficiency, lower environmental impact, and more precise management under conditions of labor scarcity, climate variability, and sustainability pressure. In perennial woody crop systems such as orchards and vineyards, this requires spatially consistent information at plant and fruit level. This thesis, From Perception to Phenotyping: Drone-based Simultaneous Localization and Mapping for Precision Woody Crop Management, advances UAV-based monocular SLAM and 3D perception methods for robust, semantically meaningful mapping in complex agricultural environments.The thesis first reviews the state of UAV-based SLAM in outdoor environments through a systematic scoping review of 97 studies published between 2003 and 2022. The review shows that existing research is largely algorithm-oriented and often evaluated in urban or simulated environments, while agricultural scenarios and field-based benchmarking remain underrepresented. Building on these gaps, the thesis benchmarks monocular UAV-based localization and mapping methods in vineyards, comparing Structure-from-Motion, ORB-SLAM3, and DROID-SLAM under different flight patterns, viewing geometries, and illumination conditions. Results demonstrate that deep learning-based SLAM can substantially improve positional accuracy and point cloud resolution compared with feature-based SLAM, whereas feature-based methods remain advantageous for real-time efficiency.The thesis then moves from geometric reconstruction toward semantic and instance-aware mapping by proposing a UAV-based monocular panoptic mapping framework for apple orchards. By integrating Grounded-SAM2 for instance segmentation and tracking, Structure-from-Motion for multi-view reconstruction, and DeepSDF for implicit fruit shape completion, the framework enables sparse-view 3D reconstruction of individual fruits within orchard scenes. This demonstrates the potential of linking UAV-based spatial mapping with fruit-level phenotyping despite occlusions and partial observations.Finally, the thesis addresses visual SLAM robustness in agrivoltaic orchards, where photovoltaic panels introduce persistent shadows, high contrast, and unstable illumination. A Retinex-based illumination-aware enhancement strategy is investigated to improve localization, mapping, and tree-level phenotypic trait estimation. Results indicate reduced absolute pose error and more consistent tree height estimation after enhancement.Overall, this thesis demonstrates that UAV-based monocular SLAM, when combined with semantic perception and shape completion, can bridge the gap between robotic perception and precision orchard phenotyping. The findings contribute to the development of lightweight, flexible, and field-relevant aerial robotic systems for sustainable woody crop management.",OpenAlex,Q2;Q3;Q5,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,219,76,40,0,23,24,48,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; fruit target; horticultural setting; instance perception; quantitative evaluation; prior review,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,7657
8,14,quota:fruit_multiview_or_3d,14,R-386be29fc903a185,,Fruit Detection and Tree Segmentation for Yield Mapping in Orchards,2017,The Sydney eScholarship Repository (The University of Sydney),Suchet Bargoti,"Accurate information gathering and processing is critical for precision horticulture, as growers aim to optimise their farm management practices. An accurate inventory of the crop that details its spatial distribution along with health and maturity, can help farmers efficiently target processes such as chemical and fertiliser spraying, crop thinning, harvest management, labour planning and marketing. Growers have traditionally obtained this information by using manual sampling techniques, which tend to be labour intensive, spatially sparse, expensive, inaccurate and prone to subjective biases. Recent advances in sensing and automation for field robotics allow for key measurements to be made for individual plants throughout an orchard in a timely and accurate manner. Farmer operated machines or unmanned robotic platforms can be equipped with a range of sensors to capture a detailed representation over large areas. Robust and accurate data processing techniques are therefore required to extract high level information needed by the grower to support precision farming. This thesis focuses on yield mapping in orchards using image and light detection and ranging (LiDAR) data captured using an unmanned ground vehicle (UGV). The contribution is the framework and algorithmic components for orchard mapping and yield estimation that is applicable to different fruit types and orchard configurations. The framework includes detection of fruits in individual images and tracking them over subsequent frames. The fruit counts are then associated to individual trees, which are segmented from image and LiDAR data, resulting in a structured spatial representation of yield. The first contribution of this thesis is the development of a generic and robust fruit detection algorithm. Images captured in the outdoor environment are susceptible to highly variable external factors that lead to significant appearance variations. Specifically in orchards, variability is caused by changes in illumination, target pose, tree types, etc. The proposed techniques address these issues by using state-of-the-art feature learning approaches for image classification, while investigating the utility of orchard domain knowledge for fruit detection. Detection is performed using both pixel-wise classification of images followed instance segmentation, and bounding-box regression approaches. The experimental results illustrate the versatility of complex deep learning approaches over a multitude of fruit types. The second contribution of this thesis is a tree segmentation approach to detect the individual trees that serve as a standard unit for structured orchard information systems. The work focuses on trellised trees, which present unique challenges for segmentation algorithms due to their intertwined nature. LiDAR data are used to segment the trellis face, and to generate proposals for individual trees trunks. Additional trunk proposals are provided using pixel-wise classification of the image data. The multi-modal observations are fine-tuned by modelling trunk locations using a hidden semi-Markov model (HSMM), within which prior knowledge of tree spacing is incorporated. The final component of this thesis addresses the visual occlusion of fruit within geometrically complex canopies by using a multi-view detection and tracking approach. Single image fruit detections are tracked over a sequence of images, and associated to individual trees or farm rows, with the spatial distribution of the fruit counting forming a yield map over the farm. The results show the advantage of using multi-view imagery (instead of single view analysis) for fruit counting and yield mapping. This thesis includes extensive experimentation in almond, apple and mango orchards, with data captured by a UGV spanning a total of 5 hectares of farm area, over 30 km of vehicle traversal and more than 7,000 trees. The validation of the different processes is performed using manual annotations, which includes",OpenAlex,Q1;Q2;Q3;Q4;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,217,64,64,18,23,24,20,0,B,fruit_multiview_or_3d,cross-view association; depth or point cloud; counting or inventory; ripeness or variety attribute; fruit target; horticultural setting; fruit instance operation; instance perception,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,2433
9,15,quota:core_identity_or_inventory,15,R-f79247ca29502469,10.1109/tase.2026.3700861,Semantic NeRF-Oriented 3-D Object Counting for Industrial Fruit Harvesting,2026,IEEE Transactions on Automation Science and Engineering,"Wang, Yimo (57424632900); Kang, Bin (55802401800); Liu, Jian (57188882180); Sun, Changyin (35249817500)","Object counting is the core of perception components in the industry system. Nevertheless, real-world occlusion and dense clustering pose significant challenges to fruit harvesting. Existing methods closely rely on physics-agnostic 2D clustering with rigid thresholds, neglecting critical 3D geometric cues in complex scenes. Thus, they suffer from the multi-view double-counting issue. In this paper, we propose a 3D object counting framework that integrates semantic Neural Radiance Fields (NeRF) with a physics-guided adaptive clustering algorithm. In particular, we employ a semantic NeRF to achieve implicit 3D scene reconstruction, which effectively isolates target objects from the background. Based on the semantic NeRF, we introduce a physics-guided adaptive clustering algorithm that exploits physically interpretable features, including surface normals and elevation gradients, for accurate unsupervised point cloud segmentation. Subsequently, an energy function optimization mechanism is utilized to autonomously aggregate multi-dimensional features for dynamically adjusting clustering thresholds, which enables the 3D counting to adapt to diverse fruit morphologies without manual parameter tuning. Extensive experiments on both synthetic and real-world datasets demonstrate the superiority of the proposed framework, which improves counting accuracy by an average of 9.0 percentage points (6.9 pp on synthetic, 7.2 pp on real-world, and 12.9 pp on Fuji) over the state-of-the-art 3-D baseline.",Scopus;OpenAlex,Q1;Q2;Q3,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",211,102,54,0,0,24,20,0,A,core_identity_or_inventory,duplicate resolution; cross-view association; depth or point cloud; counting or inventory; fruit target; fruit instance operation; prior review; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,1772
10,16,quota:fruit_multiview_or_3d,16,R-c901063b9cc69fc9,10.1016/j.dib.2021.107629,PFuji-Size dataset: A collection of images and photogrammetry-derived 3D point clouds with ground truth annotations for Fuji apple detection and size estimation in field conditions,2021,Data in Brief,"Gené-Mola, Jordi (57208647898); Sanz-Cortiella, Ricardo (37068026200); Rosell-Polo, Joan R. (36839827400); Escolà, Alexandre (15073933600); Gregorio, Eduard (15834312900)","Borkh. cv. Fuji) scanned at different maturity stages and annotated for fruit detection and size estimation. Structure-from-motion and multi-view stereo techniques were used to generate the 3D point clouds of 6 complete Fuji apple trees containing a total of 615 apples. The resulting point clouds were 3D segmented by identifying the 3D points corresponding to each apple (3D instance segmentation), obtaining a single point cloud for each apple. All segmented apples were labelled with ground truth diameter annotations. Since the data was acquired in field conditions and at different maturity stages, the set includes different fruit diameters -from 26.9 mm to 94.8 mm- and different fruit occlusion percentages due to foliage. In addition, 25 apples were photographed 360° in laboratory conditions, obtaining high resolution 3D point clouds of this sub-set. To the best of the authors' knowledge, this is the first publicly available dataset for apple size estimation in field conditions. This dataset was used to evaluate different fruit size estimation methods in the research article titled ""In-field apple size estimation using photogrammetry-derived 3D point clouds: comparison of 4 different methods considering fruit occlusion"" (Gené-Mola et al., 2021).",Scopus;OpenAlex,Q3;Q4,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,209,76,54,18,18,12,20,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; ripeness or variety attribute; fruit target; fruit instance operation; instance perception; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,782
