scope,category,count,rule_version
all_ranked,core_identity_or_inventory,306,priority-v1.0-title-abstract-scored-diversified
all_ranked,fruit_instance_baseline,997,priority-v1.0-title-abstract-scored-diversified
all_ranked,fruit_multiview_or_3d,287,priority-v1.0-title-abstract-scored-diversified
all_ranked,oil_palm_direct,49,priority-v1.0-title-abstract-scored-diversified
all_ranked,prior_review_or_positioning,365,priority-v1.0-title-abstract-scored-diversified
all_ranked,supporting_or_uncertain,12676,priority-v1.0-title-abstract-scored-diversified
all_ranked,transfer_mechanism,5355,priority-v1.0-title-abstract-scored-diversified
all_ranked,tier_A,306,priority-v1.0-title-abstract-scored-diversified
all_ranked,tier_B,336,priority-v1.0-title-abstract-scored-diversified
all_ranked,tier_C,997,priority-v1.0-title-abstract-scored-diversified
all_ranked,tier_D,5720,priority-v1.0-title-abstract-scored-diversified
all_ranked,tier_E,12676,priority-v1.0-title-abstract-scored-diversified
shortlist,core_identity_or_inventory,60,priority-v1.0-title-abstract-scored-diversified
shortlist,fruit_instance_baseline,40,priority-v1.0-title-abstract-scored-diversified
shortlist,fruit_multiview_or_3d,65,priority-v1.0-title-abstract-scored-diversified
shortlist,oil_palm_direct,45,priority-v1.0-title-abstract-scored-diversified
shortlist,prior_review_or_positioning,10,priority-v1.0-title-abstract-scored-diversified
shortlist,transfer_mechanism,30,priority-v1.0-title-abstract-scored-diversified
shortlist,review_status_needs_manual_retrieval,11,priority-v1.0-title-abstract-scored-diversified
shortlist,review_status_pending,213,priority-v1.0-title-abstract-scored-diversified
shortlist,review_status_reviewed,26,priority-v1.0-title-abstract-scored-diversified
