shortlist_rank,selection_stage,priority_rank,record_id,doi,title,year,venue,authors,abstract,source_databases,query_ids,abstract_available,abstract_screen_confidence,abstract_screen_basis,priority_score,core_score,fruit_score,oil_palm_score,instance_score,review_score,transfer_score,penalty_score,priority_tier,priority_bucket,priority_reason,priority_penalties,rule_version,review_status,retrieval_status,ledger_decision,ledger_review_order
1,quota:oil_palm_direct,1,M-6b0be7fade421819,10.1016/j.dib.2026.112990,SawitMVC: A multi-view oil palm fruit bunch dataset for detection and counting,2026,Data in Brief,"Indriani, Fatma (57215665392); Saputro, Setyo Wahyu (58958396800); Muttaqin, Muhammad Zainal (60439234000); Rahmi, Alia (57962559500); Saragih, Triando Hamonangan (57202789655); Budianoor, Rahmat (60624699500); Hartoni (60414064200); Kartini, Dwi (58022883100); Said, Naufal (60705184800)","Oil palm ( Elaeis guineensis ) plantation yield is estimated periodically through the Black Bunch Census (BBC), a field practice in which trained staff count and classify fruit bunches to project output for the coming months. Photographing each tree from multiple positions captures all visible bunches but introduces a cross-view deduplication problem: the same bunch appears in several images, and naive summation of detections far exceeds the true unique count. No publicly available oil palm dataset addresses this problem with annotated ground truth. SawitMVC contains 3,992 smartphone images of 953 oil palm trees collected from two commercial plantations in Kabupaten Tanah Laut, Kalimantan, Indonesia (DAMIMAS plantation: 854 trees; LONSUM plantation: 99 trees), each photographed from four sides at 90-degree intervals or eight sides at 45-degree intervals. Bunches are annotated across four BBC maturity classes by estimated months until harvest: B1 (≤1 month), B2 (∼2 months), B3 (∼3 months), and B4 (∼4 months), in YOLO bounding box format for detection and classification tasks. A separate per-tree JSON ground truth layer records 9,823 unique bunches with their cross-view appearance links, supporting direct evaluation of counting algorithms independently of detection performance.",Scopus;OpenAlex,Q1;Q2;Q4;Q6;Q7,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",281,122,64,54,18,12,0,0,B,oil_palm_direct,unique inventory; duplicate resolution; cross-view association; counting or inventory; oil-palm target; ripeness or variety attribute; fruit target; horticultural setting,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,70
2,quota:core_identity_or_inventory,2,R-00f82e0f404d691b,10.1109/lra.2019.2901987,Monocular Camera Based Fruit Counting and Mapping with Semantic Data Association,2019,IEEE Robotics and Automation Letters,"Liu, Xu (57207948935); Chen, Steven W. (57203657925); Liu, Chenhao (57208017184); Shivakumar, Shreyas S. (57197792098); Das, Jnaneshwar (25823030300); Taylor, Camillo J. (7404823052); Underwood, James (17347180400); Kumar, Vijay (57226667523)","In this letter, we present a cheap, lightweight, and fast fruit counting pipeline. Our pipeline relies only on a monocular camera, and achieves counting performance comparable to a state-of-the-art fruit counting system that utilizes an expensive sensor suite including a monocular camera, LiDAR and GPS/INS on a mango dataset. Our pipeline begins with a fruit and tree trunk detection component that uses state-of-the-art convolutional neural networks (CNNs). It then tracks fruits and tree trunks across images, with a Kalman Filter fusing measurements from the CNN detectors and an optical flow estimator. Finally, fruit count and map are estimated by an efficient fruit-as-feature semantic structure from motion algorithm that converts two-dimensional (2-D) tracks of fruits and trunks into 3-D landmarks, and uses these landmarks to identify double counting scenarios. There are many benefits of developing such a low cost and lightweight fruit counting system, including applicability to agriculture in developing countries, where monetary constraints or unstructured environments necessitate cheaper hardware solutions.",Scopus;OpenAlex,Q1;Q3;Q7,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",250,124,54,0,5,36,20,0,A,core_identity_or_inventory,duplicate resolution; association; 3D reconstruction; depth or point cloud; counting or inventory; fruit target; fruit instance operation; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,reviewed,retrieved,include,13
3,quota:fruit_multiview_or_3d,3,R-2d972b94554c6cd1,10.1109/metroagrifor58484.2023.10424135,Video-Based Fruit Detection and Tracking for Apple Counting and Mapping,2023,"2023 IEEE International Workshop on Metrology for Agriculture and Forestry, MetroAgriFor 2023 - Proceedings","Gené-Mola, Jordi (57208647898); Felip-Pomés, Marc (58916714200); Net-Barnés, Francesc (58636386500); Morros, Josep-Ramon (35587745500); Miranda, Juan C. (57947116100); Arnó, Jaume (22978662800); Asín, Luís (6508223638); Lordan, Jaume (56303682600); Ruiz-Hidalgo, Javier (34969474900); Gregorio, Eduard (15834312900)","Automatic fruit counting systems have garnered interest from farmers and agronomists to monitor fruit production, predict yields in advance, and identify production variability across orchards. However, accurately counting fruits poses challenges, particularly due to occlusions. This study proposes a multi-view sensing approach using continuous motion videos captured by a camera moved along the row of trees, followed by fruit detection in all video frames and application of Multi-Object Tracking (MOT) algorithms to prevent double-counting. Three tracking methods, namely SORT, DeepSORT, and ByteTrack, are compared for fruit counting using the YOLOv5x object detector. The methodology is applied to map fruit production in an experimental apple orchard at two different dates: four weeks and one week before harvest. The results demonstrate that ByteTrack (MOTA=0.682; IDF1=0.837; HOTA=0.689) outperforms SORT and DeepSORT, indicating its superior tracking performance. Computational efficiency analysis reveals similar processing times between SORT and ByteTrack (about 15 ms), while DeepSORT requires significantly more processing time per image (128 ms). Fruit counting evaluation shows reasonably accurate yield predictions on both dates, with reduced errors and improved performance closer to the harvest date (MAPE=7.47 %; $R^{2}$=0.70). The system proves effective in estimating orchard fruit production using computer vision technology, offering valuable insights for yield forecasting. These findings contribute to optimizing fruit production and supporting precision agriculture practices. The code and the dataset have been made publicly available and a video visualization of results is accessible at http://www.grap.udl.cat/en/publications/video_fruit_counting.",Scopus;OpenAlex,Q1;Q2;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,245,107,64,0,23,12,28,0,B,fruit_multiview_or_3d,duplicate resolution; cross-view association; tracking identity; counting or inventory; fruit target; horticultural setting; fruit instance operation; instance perception,,priority-v1.0-title-abstract-scored-diversified,reviewed,retrieved,include,33
4,quota:fruit_multiview_or_3d,4,R-062fd4abeac79a2c,10.1016/j.inpa.2025.02.005,Assessment of the tomato cluster yield estimation algorithms via tracking-by-detection approaches,2025,Information Processing in Agriculture,"Qi, Zhongxian (58196719000); Zhang, Tianxue (57164159800); Yuan, Ting (57205195453); Zhou, Wei (57899683700); Zhang, Wenqiang (35217009900)","• A database with more than 165,172 tomato cluster instances was built for tracking. • Two SOTA real-time object detection algorithms were compared. • Motion tracking and appearance tracking algorithms were compared in MOT datasets. • MOT trackers were compared by reducing the frame rate of the camera. Automated vision-based detection and counting are critical for accurate tomato yield estimation, which contribute to precise yield management strategies and an efficient food supply chains. Special conditions, including background clutter, occlusion, and varying sunlight, affect the accuracy of crop detection and counting. To determine the most suitable algorithms for this yield estimation context, we herein establish a public multi-object tracking (MOT) dataset for tomato cluster counts, while evaluating and comparing state-of-the-art target detection and MOT-based algorithms. The evaluated detectors consist of YOLOv8 and RT-DETR, which represent algorithms that achieve a balance between accuracy and speed. The tracking algorithms included state-of-the-art methodologies such as SORT, DeepSort, ByteTrack, and BotSort. Initially, the performance of the detectors was rigorously evaluated, followed by a comprehensive assessment of the four tracking algorithms within a multi-target tracking database tailored for this research and structured in the MOT context. The findings reveal that YOLOv8 and RT-DETR achieve 93.6% and 94.9% results at mAP@75, respectively, with RT-DETR exhibiting fewer false detections. When combined with the RT-DETR detector, the ByteTrack-based algorithm registers the highest counting accuracy at 95.5%, whereas BotSort achieves the highest MOTA score with 84.6%. Notably, the trackers without the ReID module (i.e., SORT and ByteTrack) demonstrate greater adaptability to frame rate variations in the test videos. At a 30-fps frame rate, the incorporation of ReID modules in DeepSort and BotSort algorithms significantly enhances the MOTA metric. Looking ahead, we plan to leverage these algorithms into an autonomous inspection platform that aims to estimate crop yield in real-time.",Scopus;OpenAlex,Q1;Q7,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,231,79,54,0,23,36,28,0,B,fruit_multiview_or_3d,re-identification; tracking identity; counting or inventory; fruit target; fruit instance operation; instance perception; quantitative evaluation; prior review,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,1437
5,quota:fruit_multiview_or_3d,5,R-0eda6374aaf85fae,10.1016/j.compag.2026.111723,Horticultural temporal fruit monitoring via 3D instance segmentation and re-identification using colored point clouds,2026,Computers and Electronics in Agriculture,"Fusaro, Daniel (57278335600); Magistri, Federico (57208212994); Behley, Jens (35207956200); Pretto, Alberto (23393749700); Stachniss, Cyrill (6507517732)","Accurate and consistent fruit monitoring over time is a key step towards automated agricultural production systems. However, this task is inherently difficult due to variations in fruit size, shape, occlusion, orientation, and the dynamic nature of orchards where fruits may appear or disappear between observations. In this article, we propose a novel method for fruit instance segmentation and re-identification on 3D terrestrial point clouds collected over time. Our approach directly operates on dense colored point clouds, capturing fine-grained 3D spatial detail. We segment individual fruits using a learning-based instance segmentation method applied directly to the point cloud. For each segmented fruit, we extract a compact and discriminative descriptor using a 3D sparse convolutional neural network. To track fruits across different times, we introduce an attention-based matching network that associates fruits with their counterparts from previous sessions. Matching is performed using a probabilistic assignment scheme, selecting the most likely associations across time. We evaluate our approach on real-world datasets of strawberries and apples, demonstrating that it outperforms existing methods in both instance segmentation and temporal re-identification, enabling robust and precise fruit monitoring across complex and dynamic orchard environments. • We propose a new performant approach to autonomous fruit tracking in real greenhouses. • It segments fruits using learning-based instance segmentation and RGB 3D point clouds. • Segmented fruits are encoded by a 3D CNN and matched via attentive data association. • Experiments on real strawberry and apple datasets show our method outperforms others. • Our approach enables precise temporal fruit monitoring in real and complex scenarios.",Scopus;OpenAlex,Q1;Q3,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,230,117,64,0,18,0,20,0,B,fruit_multiview_or_3d,re-identification; association; tracking identity; depth or point cloud; fruit target; horticultural setting; fruit instance operation; instance perception,,priority-v1.0-title-abstract-scored-diversified,reviewed,retrieved,include,2
6,quota:transfer_mechanism,6,M-6e180cda3c4e3522,10.24385/lincoln.32982638,AGHRI: A dataset for multimodal robot perception of humans in agricultural and off-road environments,2026,Lincoln repository,Leonardo Guevara; Prabuddhi Wariyapperuma; Zhuoling Huang; Hai Vu,"AGHRI is a multimodal dataset for robot perception of humans in agricultural and off-road environments. AGHRI provides synchronized RGB, depth, fisheye, and 3D LiDAR data collected with a compact mobile robot across diverse settings, including strawberry polytunnels, vineyards, footpaths, and farmsides, under variable lighting and weather conditions. AGHRI comprises 65 sequences totalling 27.4 minutes of multimodal robot sensor data, including 138,741 camera image frames and 13,963 LiDAR frames, with 154,002 annotated 2D human bounding boxes, 27,311 annotated 3D human bounding boxes, 454 camera-specific 2D tracks, and 136 3D tracks. The dataset includes challenging multi-person and occlusion-rich interactions and provides frame-level 2D and 3D annotations with consistent human identities to support 2D/3D detection and tracking tasks.The AGHRI dataset is divided into 10 ZIP archives (from dataset_part1.zip to dataset_part10.zip), each containing multiple data subfolders. Within each data subfolder, the extracted multimodal sensor observations are stored alongside their corresponding annotations and metadata. Sensor calibration files are stored separately in a shared calibration folder (calibration.zip). In addition, an occlusion annotation file (occlusion_log.csv) is provided at the dataset root level, together with a dataset summary file (dataset_summary.csv) that describes the contents of each data subfolder and indicates the ZIP archive to which it belongs. This organization allows users to selectively download only the ZIP archives relevant to their needs, rather than downloading the entire dataset.AGHRI dataset is accompanied by a set of conversion and utility tools that support common perception workflows/formats, including YOLO, COCO, KITTI, MMDetection, MOT, and ROS 2. The code for the conversion and utility tools can be found at https://github.com/LCAS/AGHRI-dataset-toolsFinally, to complement the dataset, we provide benchmark analyses for 2D/3D human detection, 2D/3D multi-object tracking, and person re-identification. These benchmarks enable the systematic evaluation of state-of-the-art methods and facilitate the assessment of cross-domain generalisation to agricultural and off-road human-sensing environments. The implementation code and evaluation protocols used in the benchmark analyses are available at https://github.com/LCAS/AGHRI-dataset-benchmark.",OpenAlex,Q3,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,229,89,30,0,18,36,48,0,D,transfer_mechanism,re-identification; tracking identity; depth or point cloud; fruit target; instance perception; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,7385
7,quota:transfer_mechanism,7,R-624c07b4c09481dc,10.1109/iccvw69036.2025.00558,DepthTrack: Cluster Meets BEV for Multi-Camera Multi-Target 3D Tracking,2025,"Proceedings - 2025 IEEE/CVF International Conference on Computer Vision Workshops, ICCV-W 2025","Tran, Tai Huu-Phuong (58835819100); Tran, Duong Nguyen-Ngoc (57196243655); Huynh, Ngoc Doan-Minh (59367761800); Tran, Chi Dai (57670632700); Pham, Long Hoang (56719255100); Ho, Quoc Pham-Nam (59368558700); Nguyen, Huy-Hung (58594220200); Vu, Duong Khac (58001759300); Jeon, Hyung-Min (57202455298); Jeon, Hyung-Joon (57207104383); Phan, Son Hong (58001116100); Khanh, Trinh Le Ba (57218829353); Jeont, Jae Wook (60569078000)","Object perception using multi-view cameras is essential for intelligent systems operating in indoor environments such as warehouses, retail stores, and hospitals. Traditional multi-target multi-camera (MTMC) detection and tracking approaches typically depend on 2D object detection and single-view multi-object tracking (MOT), without properly exploiting 3D spatial information. While point cloud-based 3D detection models offer high accuracy, their adoption is hindered by expensive deployment requirements. Besides, most existing MTMC tracking methods are designed for daytime scenarios, neglecting the challenge posed by lowlight conditions. In this paper, we introduce DepthTrack, a novel MTMC tracking framework for all-day tracking without requiring high-precision 3D sensors to produce 3D bounding boxes. At the core of DepthTrack is our Tracklet-Cluster Mapping (TCM) strategy, which seamlessly integrates 3D object clusters with bird's-eye view (BEV) tracklets to achieve robust 3D tracking. Experiments conducted on the AICity'25 dataset validate the strong generalization of DepthTrack across diverse lighting conditions. In the 2025 AI City Challenge Track 1, our team secured the second position with an accuracy (HOTA) of 63.1396. The code will be released at https://github.com/SKKUAutoLab/AIC25_Track_01",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,227,79,54,0,23,12,48,0,D,transfer_mechanism,cross-view association; tracking identity; depth or point cloud; fruit target; fruit instance operation; instance perception; quantitative evaluation; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2287
8,quota:fruit_multiview_or_3d,8,R-b2e0e9aabad17a97,10.3390/agriculture15151574,Phenotypic Trait Acquisition Method for Tomato Plants Based on RGB-D SLAM,2025,Agriculture (Switzerland),"Wang, Penggang (59046962700); He, Yuejun (57799174500); Zhang, Jiguang (57190230977); Liu, Jiandong (58916858100); Chen, Ran (60013822000); Zhuang, Xiang (60014255300)","The acquisition of plant phenotypic traits is essential for selecting superior varieties, improving crop yield, and supporting precision agriculture and agricultural decision-making. Therefore, it plays a significant role in modern agriculture and plant science research. Traditional manual measurements of phenotypic traits are labor-intensive and inefficient. In contrast, combining 3D reconstruction technologies with autonomous vehicles enables more intuitive and efficient trait acquisition. This study proposes a 3D semantic reconstruction system based on an improved ORB-SLAM3 framework, which is mounted on an unmanned vehicle to acquire phenotypic traits in tomato cultivation scenarios. The vehicle is also equipped with the A * algorithm for autonomous navigation. To enhance the semantic representation of the point cloud map, we integrate the BiSeNetV2 network into the ORB-SLAM3 system as a semantic segmentation module. Furthermore, a two-stage filtering strategy is employed to remove outliers and improve the map accuracy, and OctoMap is adopted to store the point cloud data, significantly reducing the memory consumption. A spherical fitting method is applied to estimate the number of tomato fruits. The experimental results demonstrate that BiSeNetV2 achieves a mean intersection over union (mIoU) of 95.37% and a frame rate of 61.98 FPS on the tomato dataset, enabling real-time segmentation. The use of OctoMap reduces the memory consumption by an average of 96.70%. The relative errors when predicting the plant height, canopy width, and volume are 3.86%, 14.34%, and 27.14%, respectively, while the errors concerning the fruit count and fruit volume are 14.36% and 14.25%. Localization experiments on a field dataset show that the proposed system achieves a mean absolute trajectory error (mATE) of 0.16 m and a root mean square error (RMSE) of 0.21 m, indicating high localization accuracy. Therefore, the proposed system can accurately acquire the phenotypic traits of tomato plants, providing data support for precision agriculture and agricultural decision-making.",Scopus;OpenAlex,Q1;Q3,yes,medium,retain because of mechanism signal: operation on a named target; full-text review required,224,58,54,18,23,12,48,0,B,fruit_multiview_or_3d,3D reconstruction; depth or point cloud; counting or inventory; ripeness or variety attribute; fruit target; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,reviewed,retrieved,include,1578
9,quota:core_identity_or_inventory,9,M-1210e3ea00486b68,10.1109/iros58592.2024.10802065,FruitNeRF: A Unified Neural Radiance Field based Fruit Counting Framework,2024,IEEE International Conference on Intelligent Robots and Systems,"Meyer, Lukas (58027874700); Gilson, Andreas (58205562200); Schmid, Ute (56032455700); Stamminger, Marc (55906526700)","We introduce FruitNeRF, a unified novel fruit counting framework that leverages state-of-the-art view synthesis methods to count any fruit type directly in 3D. Our framework takes an unordered set of posed images captured by a monocular camera and segments fruit in each image. To make our system independent of the fruit type, we employ a foundation model that generates binary segmentation masks for any fruit. Utilizing both modalities, RGB and semantic, we train a semantic neural radiance field. Through uniform volume sampling of the implicit Fruit Field, we obtain fruit-only point clouds. By applying cascaded clustering on the extracted point cloud, our approach achieves precise fruit count. The use of neural radiance fields provides significant advantages over conventional methods such as object tracking or optical flow, as the counting itself is lifted into 3D. Our method prevents double counting fruit and avoids counting irrelevant fruit. We evaluate our methodology using both real-world and synthetic datasets. The real-world dataset consists of three apple trees with manually counted ground truths, a benchmark apple dataset with one row and ground truth fruit location, while the synthetic dataset comprises various fruit types including apple, plum, lemon, pear, peach, and mango. Additionally, we assess the performance of fruit counting using the foundation model compared to a U-Net.",Scopus;OpenAlex,Q1;Q3,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,220,99,54,0,0,36,20,0,A,core_identity_or_inventory,duplicate resolution; tracking identity; depth or point cloud; counting or inventory; fruit target; fruit instance operation; prior review; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,reviewed,retrieved,include,412
10,quota:fruit_multiview_or_3d,10,M-131e746397967c56,10.5281/zenodo.17969390,SEEmear: High-Resolution Georeferenced Proximal RGB-D Data for Niagara Grapes in the Field,2025,Zenodo (CERN European Organization for Nuclear Research),"Teixeira Santos, Thiago; Koenigkan, Luciano; Bharti, Dheeraj; Gebler, Luciano","This dataset contains high-resolution geo-referenced RGB-D data collected in vineyards using the SEEmear proximal sensing system. The data were acquired at farms in São Miguel Arcanjo, São Paulo, Brazil, during field tests conducted in December 2025. Data Collection System The SEEmear integrates stereo cameras (ZED X, Stereolabs Inc.) with high-resolution global shutter sensors (1920 × 1200 pixels), wide-angle lenses, and integrated IMUs, mounted on a mobile platform. The system includes RTK-GNSS positioning (Reach M2 rover and Reach RS3 base station) for centimeter-level accuracy, enabling precise georeferencing of all captured data. Dataset Contents RGB-D stereo images at 30 fps IMU measurements synchronized with camera frames RTK GNSS positioning data GPS time synchronization for temporal consistency Applications This dataset supports research in precision agriculture, plant phenotyping, and agricultural robotics, including fruit detection and counting, 3D reconstruction and mapping, trunk and canopy structure analysis, SLAM algorithm development, and multi-view stereo reconstruction. Data Format Complete RGB-D camera footage with associated IMU readings (SVO2 files) and geo-referenced positioning data (POS), enabling accurate 3D point cloud generation and temporal mapping of vineyard structures with sub-centimeter resolution. For reading SVO2 data, users should use Stereolabs' ZED SDK, available free of charge.",OpenAlex,Q1;Q3,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",219,88,40,0,23,12,48,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; depth or point cloud; counting or inventory; fruit target; horticultural setting; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,needs_manual_retrieval,not_found_or_restricted,pending,522
