record_id,doi,title,year,source_databases,query_ids,title_screen_decision,title_screen_exclusion_code,title_screen_confidence,title_screen_basis,abstract_screen_status,abstract_screen_priority
R-351d77cffeee4d7a,10.21609/jiki.v9i1.287,,2016,OpenAlex,Q6,advance_to_abstract,,medium,title is missing; use abstract and source metadata,pending,high_missing_title
R-ceb79d9565efcd01,10.1111/mee3.2018.9.issue-10,,2018,OpenAlex,Q3,advance_to_abstract,,medium,title is missing; use abstract and source metadata,pending,high_missing_title
R-d2d8f9de4cc89191,10.35940/ijeat.10.3,,2021,OpenAlex,Q4,advance_to_abstract,,medium,title is missing; use abstract and source metadata,pending,high_missing_title
R-165571378546e516,10.30559/jpn.v7i2.335,,2022,OpenAlex,Q6,advance_to_abstract,,medium,title is missing; use abstract and source metadata,pending,high_missing_title
R-c6994c21ebadb566,10.35957/algoritme.v3i1,,2022,OpenAlex,Q6,advance_to_abstract,,medium,title is missing; use abstract and source metadata,pending,high_missing_title
R-8068840b1cb4e88d,10.58346/jowua.2024.i1,,2023,OpenAlex,Q4,advance_to_abstract,,medium,title is missing; use abstract and source metadata,pending,high_missing_title
R-84eb93b922ddf720,10.1111/jec.v111.7,,2023,OpenAlex,Q3,advance_to_abstract,,medium,title is missing; use abstract and source metadata,pending,high_missing_title
R-a96e296dd6cb18ad,10.21227/adt8-4812,"""A High-Quality Apple Flower Detection Dataset for Precision Agriculture""",2026,OpenAlex,Q7,advance_to_abstract,,high,title contains domain and visual/mechanism terms; retain for abstract screening,pending,high_relevance_signal
R-de09e8d28305be19,10.21227/a1c7-4919,"""Agricultural Robotics, Fine-Grained Classification, Dual-View Perception""",2026,OpenAlex,Q4,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-ac14023137c842b8,10.21227/t81f-y868,"""Cardamom Plantation Video and Image Dataset for Yield Estimation""",2026,OpenAlex,Q1;Q4,advance_to_abstract,,high,title contains domain and visual/mechanism terms; retain for abstract screening,pending,high_relevance_signal
R-1863c5b66911adfa,10.21227/4fj5-m519,"""Cross-View 3D Object detection""",2026,OpenAlex,Q2,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-50d3b05aad806740,10.5194/egusphere-egu24-19716,"""Fire impacts in the Cerrado:&amp;#160;Integrating LiDAR and field data to monitor vegetation structure and post-fire recovery.""",2024,OpenAlex,Q3,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-ff59c4dcdd2a35c0,10.21227/94b0-jp44,"""GaussianPlant Dataset""",2025,OpenAlex,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-9244b6c6c618526c,10.21227/8bc9-av37,"""Handheld SLAM\u2013LiDAR Stem Modeling: A Benchmark and Robust Pipeline""",2026,OpenAlex,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-2e792ceaed1dc110,10.21227/2194-m629,"""INDTomatoMSTD: A Multi-Scale Tomato Disease Dataset for Tiny and Large Lesion Detection Using Deep Transfer Learning""",2026,OpenAlex,Q4,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-e6397d452b3a8eda,10.21227/6fx8-jh04,"""MangoVision Dataset: Annotated Images for Mango Detection and Automated Counting""",2026,OpenAlex,Q7,advance_to_abstract,,high,title contains domain and visual/mechanism terms; retain for abstract screening,pending,high_relevance_signal
R-c3caaaf6ab73c8fc,10.21227/hq1q-jp43,"""SPVD-Field: A Multi-source, Multi-task Visual Dataset for Sweet Potato Virus Disease under Real Field Conditions""",2026,OpenAlex,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-a8de7147f2f4e7b3,10.15228/anst.2023.v03.i03-4.p10,"""The Impact of Different Types of Soilless Media on Some Significant Biological Parameters of Cucumber (Cucumis sativus L.) """,2023,OpenAlex,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-b60592aca97d621e,,"""The Pleasures of Eating"": Alternative hedonism in Yeh Yilan and Li Ziqi",2024,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-bdf15d2c0870829b,10.1117/12.2585950,"""where does that module live?"" the difficulty of extending SOSA into smaller, expendable applications",2021,Scopus,Q2,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-1c86147a812d5100,10.1371/journal.pone.0351627,# Tracking the narrative: A data-driven analysis of media coverage of Russia and Ukraine 2013–2024,2026,Scopus,Q1,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
R-698449d0c6fec84e,10.1093/ndt/gfad063c_6891,#6891 MACHINE LEARNING NEPHROPATHOLOGY DIAGNOSTICS OF THROMBOTIC MICROANGIOPATHIES,2023,OpenAlex,Q4,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-fc0702cb95e458c1,10.13031/aim.201801193,&amp;lt;i&amp;gt;Multiple Object Tracking-by-Detection for Fruit Counting on an Apple Tree Canopy&amp;lt;/i&amp;gt;,2018,OpenAlex,Q1;Q7,advance_to_abstract,,high,title contains domain and visual/mechanism terms; retain for abstract screening,pending,high_relevance_signal
R-6fc24a496e838311,10.2139/ssrn.5371210,&lt;b&gt;&lt;i&gt;DEVISE &lt;/i&gt;&lt;/b&gt;: Depth-Aware Vegetation Indexing System,2025,OpenAlex,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-8e362f98faf102b8,10.1956/jge.v22i3.929,"&lt;b&gt;IoT Machine Learning, and Cloud-Based Intelligent Soil Fertility Assessment: A Systematic Review&lt;/b&gt;",2026,OpenAlex,Q5,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-072bb4601e8f8c1a,10.65372/jhe6g573,&lt;b&gt;Mapping Proportions of Eastern Redcedar in Kansas Using Sentinel-2 Imagery and Random Forest Model&lt;/b&gt;,2026,OpenAlex,Q3,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-f1949d570da33c06,10.21063/jtif.2026.v14.1.24-46,&lt;b&gt;Threshold Based Vegetation Classification Using Sentinel-2 and GoogleEarth Engine in Siak-Riau&lt;/b&gt;,2026,OpenAlex,Q6,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-b1dd4cb2921a906f,10.52578/3134-8556-2026-2-450-459,&lt;b&gt;НЕКОТОРЫЕ АСПЕКТЫ ЭКОЛОГИИ БЕЛКИ ОБЫКНОВЕННОЙ (SCIURUS VULGARIS) В ЛЕСАХ РУДНОГО АЛТАЯ&lt;/b&gt;,2026,OpenAlex,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-5277e3c0a73fcc14,10.5281/zenodo.4037707,(([Enola Holmes])) #FuLLMoViE 【Eng-Sub Free】(2020)~HD,2020,OpenAlex,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-818e9ae8643e15a9,10.5281/zenodo.4040247,(([The Tax Collector])) #FuLLMoViE 【Eng-Sub Free】(2020)~HD,2020,OpenAlex,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-3d4846d75eefe36a,10.1525/gfc.2026.26.1.94,(Don’t) Let Them Eat Cake,2026,OpenAlex,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-68d010020e2006b0,10.1109/dcoss-iot65416.2025.00046,(Poster) ARSecure: A Novel End-to-End Encryption Messaging System using Augmented Reality,2025,Scopus,Q1,advance_to_abstract,,high,no decisive title-level exclusion; retain to protect recall,pending,low_relevance_signal
R-0f6b39297ccac0b4,10.1167/jov.24.7.1,(The limits of) eye-tracking with iPads,2024,OpenAlex,Q1,advance_to_abstract,,high,title contains one target signal; retain for abstract screening,pending,normal_relevance_signal
