query_id,database,date_run,n_raw,n_dedup_within,n_dedup_across,n_screened,n_excl_EC1,n_excl_EC2,n_excl_EC3,n_excl_EC4,n_excl_EC5,n_excl_EC6,n_fulltext_sought,n_retrieved,n_included,notes
Q1,Scopus,2026-08-09,2001,1989,1989,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q2,Scopus,2026-08-09,2789,2723,2723,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q3,Scopus,2026-08-09,5648,5611,5611,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q4,Scopus,2026-08-09,2422,2413,2413,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q5,Scopus,2026-08-09,662,661,661,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q6,Scopus,2026-08-09,995,992,992,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q7,Scopus,2026-08-09,1205,1200,1200,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q1,OpenAlex,2026-08-09,1849,1847,1847,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q2,OpenAlex,2026-08-09,1991,1988,1988,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q3,OpenAlex,2026-08-09,6422,6414,6414,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q4,OpenAlex,2026-08-09,2757,2752,2752,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q5,OpenAlex,2026-08-09,1143,1142,1142,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q6,OpenAlex,2026-08-09,1177,1176,1176,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
Q7,OpenAlex,2026-08-09,1317,1314,1314,,,,,,,,,,,n_dedup_across is distinct master records represented by this query; per-query values are not additive because queries overlap.
ALL,Scopus+OpenAlex,2026-08-09,32378,32222,22269,,,,,,,,,,,Union across all Scopus/OpenAlex queries after within-query and across-source deduplication; screening fields are pending.
