"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Singh Chouhan S.; Saxena E.; Shukla A.; Kumar Patel R.; Pratap Singh U.","Singh Chouhan, Siddharth (57200530718); Saxena, Esha (60190141700); Shukla, Anju (7202963707); Kumar Patel, Rajneesh (58280799600); Pratap Singh, Uday (56581160200)","57200530718; 60190141700; 7202963707; 58280799600; 56581160200","Optimizing YOLO-Based Models for Real-Time Guava Detection with Probabilistic Fused Wiener Filter-Enhanced Feature Fusion","2025","Applied Fruit Science","67","5","383","","","27","10.1007/s10341-025-01613-2","https://www.scopus.com/pages/publications/105017148026?origin=resultslist","School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Department of Mathematics, Central University of Jammu, Jammu and Kashmir, Jammu, 180001, India","Singh Chouhan S., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Saxena E., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Shukla A., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Kumar Patel R., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Pratap Singh U., Department of Mathematics, Central University of Jammu, Jammu and Kashmir, Jammu, 180001, India","R. Kumar Patel; School of Computing Science and Engineering, VIT Bhopal University, Sehore, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, 466114, India; email: patelrajneesh90@gmail.com","","Springer Science and Business Media Deutschland GmbH","29482623","","","","English","Appl. Fruit Sci.","Article","Final","","Scopus","2-s2.0-105017148026"
"Wahyuni I.D.; Shabrina N.H.; Suputa; Sari R.F.","Wahyuni, Indah Desri (57224565683); Shabrina, Nabila Husna (57200232709); Suputa (23969694000); Sari, Riya Fatma (59707757900)","57224565683; 57200232709; 23969694000; 59707757900","Comparative Evaluation of Object Detection Models for Identifying Fruit Flies in Snake Fruit Cultivation","2025","Proceedings of the 4th 2025 International Conference on Smart Cities, Automation and Intelligent Computing Systems, ICON-SONICS 2025","","","","122","127","0","10.1109/ICON-SONICS67145.2025.11309262","https://www.scopus.com/pages/publications/105032373462?origin=resultslist","Universitas Multimedia Nusantara, Faculty of Engineering and Informatics, Department of Computer Engineering, Tangerang, Indonesia; Universitas Gadjah Mada, Faculty of Agriculture, Department of Plant Protection, Yogyakarta, Indonesia","Wahyuni I.D., Universitas Multimedia Nusantara, Faculty of Engineering and Informatics, Department of Computer Engineering, Tangerang, Indonesia; Shabrina N.H., Universitas Multimedia Nusantara, Faculty of Engineering and Informatics, Department of Computer Engineering, Tangerang, Indonesia; Suputa, Universitas Gadjah Mada, Faculty of Agriculture, Department of Plant Protection, Yogyakarta, Indonesia; Sari R.F., Universitas Gadjah Mada, Faculty of Agriculture, Department of Plant Protection, Yogyakarta, Indonesia","I.D. Wahyuni; Universitas Multimedia Nusantara, Faculty of Engineering and Informatics, Department of Computer Engineering, Tangerang, Indonesia; email: indah.desri@student.umn.ac.id","","Institute of Electrical and Electronics Engineers Inc.","","979-833158763-5","","","English","Proc. Int. Conf. Smart Cities, Autom. Intell. Comput. Syst., ICON-SONICS","Conference paper","Final","","Scopus","2-s2.0-105032373462"
"Liu H.; Wang F.; Wang Y.; Huang Z.; Su C.","Liu, Hui (59251643800); Wang, Fangxiu (23993131600); Wang, Yi (60404076300); Huang, Zibo (59715225000); Su, Chen (59385386500)","59251643800; 23993131600; 60404076300; 59715225000; 59385386500","Lightweight improved RT-DETR algorithm for grape leaf disease detection; [轻量级改进 RT-DETR 的葡萄叶片病害检测算法]","2026","Zhejiang Daxue Xuebao (Gongxue Ban)/Journal of Zhejiang University (Engineering Science)","60","3","","604","613","1","10.3785/j.issn.1008-973X.2026.03.016","https://www.scopus.com/pages/publications/105030466232?origin=resultslist","School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, 430048, China","Liu H., School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, 430048, China; Wang F., School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, 430048, China; Wang Y., School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, 430048, China; Huang Z., School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, 430048, China; Su C., School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, 430048, China","F. Wang; School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, 430048, China; email: wfx323@whpu.edu.cn","","Zhejiang University","1008973X","","CHHPD","","Chinese","Zhejiang Daxue Xuebao (Gongxue Ban)","Article","Final","","Scopus","2-s2.0-105030466232"
"Li J.; Yang H.; Hou G.; Xu J.; Zhu J.; Zhang Z.; Li J.; Li S.","Li, Jingyue (60661626300); Yang, Hongfei (57223894706); Hou, Guangchuan (60738880600); Xu, Junqi (60738510600); Zhu, Jinyong (60738155300); Zhang, Zhiyuan (57195314294); Li, Jingbin (60516045600); Li, Shuanming (38862170300)","60661626300; 57223894706; 60738880600; 60738510600; 60738155300; 57195314294; 60516045600; 38862170300","YOLO-SPM: Lightweight Apple Detection Algorithm in Complex Orchard Environments","2026","Agriculture (Switzerland)","16","13","1395","","","0","10.3390/agriculture16131395","https://www.scopus.com/pages/publications/105044666219?origin=resultslist","College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China; Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China; National, Local Joint Engineering Laboratory for Specialty Crop Production Machinery and Equipment, Shihezi, 832003, China","Li J., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China, National, Local Joint Engineering Laboratory for Specialty Crop Production Machinery and Equipment, Shihezi, 832003, China; Yang H., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China, National, Local Joint Engineering Laboratory for Specialty Crop Production Machinery and Equipment, Shihezi, 832003, China; Hou G., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China; Xu J., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China; Zhu J., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China; Zhang Z., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China, National, Local Joint Engineering Laboratory for Specialty Crop Production Machinery and Equipment, Shihezi, 832003, China; Li J., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China, National, Local Joint Engineering Laboratory for Specialty Crop Production Machinery and Equipment, Shihezi, 832003, China; Li S., College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China, Xinjiang Production and Construction Corps Key Laboratory of Modern Agricultural Machinery, Shihezi, 832003, China","J. Li; College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China; email: lijingbin@shzu.edu.cn; S. Li; College of Mechanical and Electrical Engineering, Shihezi University, Shihezi, 832003, China; email: lsm_inf@shzu.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","20770472","","","","English","Agric.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105044666219"
"Olzhayev O.; Imanbayeva N.; Mamikov S.; Baibek B.","Olzhayev, Olzhas (60172800000); Imanbayeva, Nurbibi (57241702100); Mamikov, Satmyrza (57222723126); Baibek, Bibigul (60263343500)","60172800000; 57241702100; 57222723126; 60263343500","A Novel YOLO-Like Multi-Branch Architecture for Accurate Apple Detection and Segmentation Under Orchard Constraints","2025","International Journal of Advanced Computer Science and Applications","16","11","","273","284","3","10.14569/IJACSA.2025.0161130","https://www.scopus.com/pages/publications/105026342928?origin=resultslist","Joldasbekov Institute of Mechaniks and Engeeniring, Kazakhstan; International Information Technology University, Almaty, Kazakhstan; University of Friendship of People’s Academician, A. Kuatbekov, Shymkent, Kazakhstan; Satbayev University, Almaty, Kazakhstan","Olzhayev O., Joldasbekov Institute of Mechaniks and Engeeniring, Kazakhstan; Imanbayeva N., International Information Technology University, Almaty, Kazakhstan, Satbayev University, Almaty, Kazakhstan; Mamikov S., University of Friendship of People’s Academician, A. Kuatbekov, Shymkent, Kazakhstan; Baibek B., University of Friendship of People’s Academician, A. Kuatbekov, Shymkent, Kazakhstan","","","Science and Information Organization","2158107X","","","","English","Intl. J. Adv.  Comput. Sci. Appl.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105026342928"
"Wang B.; Li H.; Chen X.; Yao W.","Wang, Baoyu (60008475400); Li, Hantang (60008942300); Chen, Xiyong (60008942400); Yao, Wei (60008015400)","60008475400; 60008942300; 60008942400; 60008015400","Mango Target-Detection Algorithm Based on YOLOv8 Integrated with Adaptive Spatial Pyramid; [融合渐进空间金字塔的 YOLOv8 芒果目标检测算法研究]","2025","Laser and Optoelectronics Progress","62","14","1415002","","","2","10.3788/LOP242205","https://www.scopus.com/pages/publications/105011244087?origin=resultslist","Institute of Scientific and Technical Information, Chinese Academy of Tropical Agricultural Sciences, Hainan, Haikou, 571101, China; Key Laboratory of Applied Research on Tropical Crop Information Technology of Hainan Province, Hainan, Haikou, 571101, China","Wang B., Institute of Scientific and Technical Information, Chinese Academy of Tropical Agricultural Sciences, Hainan, Haikou, 571101, China, Key Laboratory of Applied Research on Tropical Crop Information Technology of Hainan Province, Hainan, Haikou, 571101, China; Li H., Institute of Scientific and Technical Information, Chinese Academy of Tropical Agricultural Sciences, Hainan, Haikou, 571101, China, Key Laboratory of Applied Research on Tropical Crop Information Technology of Hainan Province, Hainan, Haikou, 571101, China; Chen X., Institute of Scientific and Technical Information, Chinese Academy of Tropical Agricultural Sciences, Hainan, Haikou, 571101, China, Key Laboratory of Applied Research on Tropical Crop Information Technology of Hainan Province, Hainan, Haikou, 571101, China; Yao W., Institute of Scientific and Technical Information, Chinese Academy of Tropical Agricultural Sciences, Hainan, Haikou, 571101, China, Key Laboratory of Applied Research on Tropical Crop Information Technology of Hainan Province, Hainan, Haikou, 571101, China","B. Wang; Institute of Scientific and Technical Information, Chinese Academy of Tropical Agricultural Sciences, Haikou, Hainan, 571101, China; email: wangbaoyu_2021@163.com","","Universitat zu Koln","10064125","","","","Chinese","Laser Optoelectron. Prog.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105011244087"
"Shrawne S.; Jadhav A.; Gupte S.; Panch S.; Thombre S.; Dhore V.; Sambhe V.","Shrawne, Seema (58032253800); Jadhav, Aishwarya (57217305710); Gupte, Saniya (60346204700); Panch, Sayali (60345511900); Thombre, Sakshi (60345934700); Dhore, Vaibhav (59161607400); Sambhe, Vijay (24829832100)","58032253800; 57217305710; 60346204700; 60345511900; 60345934700; 59161607400; 24829832100","Improving Fruit Detection and Counting Using RetinaNet Model","2026","Lecture Notes in Networks and Systems","1758 LNNS","","","59","68","1","10.1007/978-3-032-13419-6_7","https://www.scopus.com/pages/publications/105028255695?origin=resultslist","Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India","Shrawne S., Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India; Jadhav A., Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India; Gupte S., Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India; Panch S., Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India; Thombre S., Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India; Dhore V., Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India; Sambhe V., Veermata Jijabai Technological Institute, Matunga, Mumbai, 400019, India","S. Shrawne; Veermata Jijabai Technological Institute, Mumbai, Matunga, 400019, India; email: scshrawne@ce.vjti.ac.in","Iglesias A.; Shin J.; Bhatt N.; Joshi A.","Springer Science and Business Media Deutschland GmbH","23673370","978-303213418-9","","","English","Lect. Notes Networks Syst.","Conference paper","Final","","Scopus","2-s2.0-105028255695"
"Birla L.; Bharadwaj A.; Jain R.; Deb C.K.; Sehgal V.K.; Ramasubramanian V.","Birla, Lalit (59905268500); Bharadwaj, Anshu (56252234000); Jain, Rajni (55449844500); Deb, Chandan Kumar (57170045600); Sehgal, Vinay Kumar (39762625900); Ramasubramanian, V. (57252635900)","59905268500; 56252234000; 55449844500; 57170045600; 39762625900; 57252635900","Deep learning model BiFPN-YOLOv8m for tree counting in mango orchards using satellite remote sensing data​","2025","Scientific Reports","15","1","33791","","","4","10.1038/s41598-025-97562-7","https://www.scopus.com/pages/publications/105017761847?origin=resultslist","The Graduate School, ICAR-Indian Agricultural Research Institute, New Delhi, 110012, India; Division of Computer Application, ICAR-Indian Agricultural Statistics Research Institute, Library Avenue, Delhi, New Delhi, 110012, India; ICAR-National Institute of Agricultural Economics and Policy Research, New Delhi, 110012, India; Division of Agricultural Physics, ICAR-Indian Agricultural Research Institute, Delhi, New Delhi, 110012, India; ICAR-National Academy of Agricultural Research Management, Hyderabad, 500030, India","Birla L., The Graduate School, ICAR-Indian Agricultural Research Institute, New Delhi, 110012, India; Bharadwaj A., Division of Computer Application, ICAR-Indian Agricultural Statistics Research Institute, Library Avenue, Delhi, New Delhi, 110012, India; Jain R., ICAR-National Institute of Agricultural Economics and Policy Research, New Delhi, 110012, India; Deb C.K., Division of Computer Application, ICAR-Indian Agricultural Statistics Research Institute, Library Avenue, Delhi, New Delhi, 110012, India; Sehgal V.K., Division of Agricultural Physics, ICAR-Indian Agricultural Research Institute, Delhi, New Delhi, 110012, India; Ramasubramanian V., ICAR-National Academy of Agricultural Research Management, Hyderabad, 500030, India","L. Birla; The Graduate School, ICAR-Indian Agricultural Research Institute, New Delhi, 110012, India; email: lbirla64@gmail.com; A. Bharadwaj; Division of Computer Application, ICAR-Indian Agricultural Statistics Research Institute, New Delhi, Library Avenue, Delhi, 110012, India; email: anshu.bharadwaj@icar.gov.in","","Nature Research","20452322","","","41028215","English","Sci. Rep.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017761847"
"Li Z.; Xu R.; Li C.; Munoz P.; Takeda F.; Leme B.","Li, Zhengkun (57880517400); Xu, Rui (56574594100); Li, Changying (57203273426); Munoz, Patricio (59157683700); Takeda, Fumiomi (7103100927); Leme, Bruno (57197868391)","57880517400; 56574594100; 57203273426; 59157683700; 7103100927; 57197868391","In-field blueberry fruit phenotyping with a MARS-PhenoBot and customized BerryNet","2025","Computers and Electronics in Agriculture","232","","110057","","","30","10.1016/j.compag.2025.110057","https://www.scopus.com/pages/publications/85217036844?origin=resultslist","Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Horticultural Science Department, University of Florida, Gainesville, FL, United States; Berry Innovation LLC, Scottsdale, AZ, United States","Li Z., Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Xu R., Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Li C., Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Munoz P., Horticultural Science Department, University of Florida, Gainesville, FL, United States; Takeda F., Berry Innovation LLC, Scottsdale, AZ, United States; Leme B., Horticultural Science Department, University of Florida, Gainesville, FL, United States","C. Li; Department of Agricultural and Biological Engineering, University of Florida, Gainesville, United States; email: cli2@ufl.edu","","Elsevier B.V.","01681699","","CEAGE","","English","Comput. Electron. Agric.","Article","Final","","Scopus","2-s2.0-85217036844"
"Park D.; Ko K.; Pyo D.; Kang J.","Park, Daesung (60408954700); Ko, Kwangeun (59681888300); Pyo, Dongbum (48261379000); Kang, Jaehyeon (55959366200)","60408954700; 59681888300; 48261379000; 55959366200","Incremental 3D Crop Model Association for Real-Time Counting in Dense Orchards","2026","IEEE Robotics and Automation Letters","11","3","","3860","3866","0","10.1109/LRA.2026.3662648","https://www.scopus.com/pages/publications/105030650333?origin=resultslist","Korea Institute of Industrial Technology, Human-Centric Robotics R&D Department, Ansan, 15588, South Korea; Gachon University, Department of Computer Engineering, Seongnam, 13120, South Korea","Park D., Korea Institute of Industrial Technology, Human-Centric Robotics R&D Department, Ansan, 15588, South Korea; Ko K., Korea Institute of Industrial Technology, Human-Centric Robotics R&D Department, Ansan, 15588, South Korea; Pyo D., Korea Institute of Industrial Technology, Human-Centric Robotics R&D Department, Ansan, 15588, South Korea; Kang J., Gachon University, Department of Computer Engineering, Seongnam, 13120, South Korea","J. Kang; Gachon University, Department of Computer Engineering, Seongnam, 13120, South Korea; email: jhkang@gachon.ac.kr","","Institute of Electrical and Electronics Engineers Inc.","23773766","","","","English","IEEE Robot. Autom.","Article","Final","","Scopus","2-s2.0-105030650333"
